DateTime,Entries,UniqueIPs
1538274503,9775,9775
1538277391,9072,9072
1538279300,7972,7972
1538281216,8021,8021
1538283136,8050,8050
1538285074,8041,8041
1538286986,8085,8085
1538288897,8178,8178
1538291793,8170,8170
1538293703,8197,8197
1538295636,8331,8331
1538297550,8325,8325
1538299473,8351,8351
1538301382,8335,8335
1538303319,8111,8111
1538306195,7799,7799
1538308356,7795,7795
1538310271,7794,7794
1538312172,7777,7777
1538314107,7792,7792
1538316028,7753,7753
1538317954,7909,7909
1538319857,7917,7917
1538321791,7257,7257
1538323742,6967,6967
1538325627,6977,6977
1538327550,6970,6970
1538329461,7026,7026
1538331378,6488,6488
1538333292,6505,6505
1538335227,6512,6512
1538337152,6497,6497
1538339054,6500,6500
1538340993,6506,6506
1538342888,6478,6478
1538344853,6354,6354
1538346746,6280,6280
1538348661,6205,6205
1538350568,6194,6194
1538352520,6824,6824
1538354436,7939,7939
1538356339,8757,8757
1538358274,9593,9593
1538360201,9510,9510
1538362103,9492,9492
1538364037,9491,9491
1538365937,9471,9471
1538368110,9665,9665
1538370036,9643,9643
1538371941,9671,9671
1538373878,9535,9535
1538375789,10538,10538
1538377720,10562,10562
1538379610,10545,10545
1538381555,10372,10372
1538383453,10290,10290
1538385401,10266,10266
1538387291,10256,10256
1538389230,10196,10196
1538391157,10217,10217
1538393177,9904,9904
1538395283,10164,10164
1538397143,10834,10834
1538399086,11475,11475
1538401004,12016,12016
1538402900,12483,12483
1538404834,12365,12365
1538406765,12361,12361
1538408666,12389,12389
1538410594,12382,12382
1538412504,12359,12359
1538414417,12412,12412
1538416344,12432,12432
1538418260,12431,12431
1538420182,12436,12436
1538422105,12442,12442
1538424081,12450,12450
1538425947,12448,12448
1538427873,12455,12455
1538430025,12456,12456
1538431946,12435,12435
1538433859,12532,12532
1538435803,12520,12520
1538437701,12531,12531
1538439617,11408,11408
1538441539,10541,10541
1538443470,10235,10235
1538445384,10960,10960
1538447768,11077,11077
1538449723,11071,11071
1538451633,11057,11057
1538453556,11060,11060
1538455699,10834,10834
1538457635,10814,10814
1538459536,10745,10745
1538461473,10738,10738
1538463371,10038,10038
1538465291,10046,10046
1538467252,10067,10067
1538469400,10078,10078
1538471328,10084,10084
1538473216,10101,10101
1538475157,10062,10062
1538477081,10020,10020
1538478977,10004,10004
1538480919,9925,9925
1538483079,9528,9528
1538484990,8931,8931
1538486889,8612,8612
1538488843,8149,8149
1538490744,8132,8132
1538492675,8154,8154
1538494595,8766,8766
1538496548,8732,8732
1538498433,8717,8717
1538500358,8681,8681
1538502274,8610,8610
1538504186,8592,8592
1538506103,8589,8589
1538508023,8611,8611
1538509942,8616,8616
1538511849,8634,8634
1538514989,8676,8676
1538516909,8696,8696
1538518841,8725,8725
1538520739,9038,9038
1538522674,9068,9068
1538524602,9101,9101
1538526495,9152,9152
1538528467,9054,9054
1538530348,7322,7322
1538532289,5491,5491
1538534427,5279,5279
1538536333,5312,5312
1538538251,5325,5325
1538540201,5392,5392
1538542253,5484,5484
1538544264,5548,5548
1538546202,5555,5555
1538548120,5580,5580
1538550993,5475,5475
1538552916,5465,5465
1538554827,5481,5481
1538556757,5467,5467
1538558674,5465,5465
1538560597,5446,5446
1538562496,5448,5448
1538564457,5440,5440
1538566367,5460,5460
1538568331,5428,5428
1538570436,5443,5443
1538572337,5370,5370
1538574276,5366,5366
1538576180,5358,5358
1538578100,5332,5332
1538580027,5328,5328
1538581956,5324,5324
1538583869,5338,5338
1538585801,5528,5528
1538587693,5484,5484
1538589653,5431,5431
1538591547,5438,5438
1538593490,5438,5438
1538595366,5420,5420
1538597309,5435,5435
1538599463,5442,5442
1538601403,5439,5439
1538603303,5429,5429
1538605218,5404,5404
1538607136,5108,5108
1538609073,5091,5091
1538610983,5077,5077
1538612901,5070,5070
1538615066,5061,5061
1538616976,5056,5056
1538618909,5038,5038
1538620823,5031,5031
1538622741,5026,5026
1538624683,5011,5011
1538626591,4976,4976
1538628502,4812,4812
1538630410,4769,4769
1538632325,4770,4770
1538634264,4755,4755
1538636199,4691,4691
1538638111,4679,4679
1538640067,4685,4685
1538641957,4653,4653
1538643860,4661,4661
1538645797,4661,4661
1538647721,4666,4666
1538649637,4660,4660
1538651566,4656,4656
1538653474,4679,4679
1538655666,4701,4701
1538657544,4700,4700
1538659475,4702,4702
1538661409,4694,4694
1538663290,4960,4960
1538666201,4908,4908
1538668119,4557,4557
1538670040,4704,4704
1538671961,4500,4500
1538673870,4504,4504
1538675778,4543,4543
1538677716,4546,4546
1538680588,4606,4606
1538682518,4597,4597
1538684438,4597,4597
1538686333,4577,4577
1538688270,4572,4572
1538690192,4574,4574
1538692114,4773,4773
1538694066,4628,4628
1538695947,4625,4625
1538697896,4617,4617
1538699771,4620,4620
1538701713,4618,4618
1538703869,4626,4626
1538705798,4635,4635
1538707725,4645,4645
1538709629,4653,4653
1538711548,4659,4659
1538713476,4669,4669
1538715383,4672,4672
1538717316,4677,4677
1538719267,4669,4669
1538721149,4589,4589
1538723093,4599,4599
1538724968,4593,4593
1538726922,4588,4588
1538728813,4611,4611
1538730994,4617,4617
1538732901,4614,4614
1538734832,4621,4621
1538736748,4628,4628
1538738663,4611,4611
1538740587,4600,4600
1538742518,4597,4597
1538744475,4592,4592
1538746350,4606,4606
1538748288,4695,4695
1538750423,4708,4708
1538752344,4167,4167
1538754290,3928,3928
1538756192,3877,3877
1538758343,4032,4032
1538760282,4188,4188
1538762186,4164,4164
1538764226,4155,4155
1538766062,4161,4161
1538767973,4123,4123
1538769874,4135,4135
1538771802,4143,4143
1538773703,4150,4150
1538775643,4159,4159
1538777563,4120,4120
1538779462,3912,3912
1538781392,3918,3918
1538783327,3935,3935
1538785233,3941,3941
1538787161,3939,3939
1538789116,3935,3935
1538791022,3908,3908
1538792932,3925,3925
1538794860,3994,3994
1538796756,4014,4014
1538798670,3983,3983
1538800608,3941,3941
1538802531,3914,3914
1538804569,3900,3900
1538806852,3880,3880
1538808763,3753,3753
1538810664,3724,3724
1538812601,3691,3691
1538814502,3656,3656
1538817383,3604,3604
1538819298,3580,3580
1538821216,3543,3543
1538823140,3508,3508
1538825062,3522,3522
1538826987,3956,3956
1538828897,3977,3977
1538830830,4196,4196
1538832993,4270,4270
1538834915,4176,4176
1538836815,4177,4177
1538838752,4177,4177
1538840661,4194,4194
1538842583,4186,4186
1538844494,4106,4106
1538846421,3993,3993
1538848336,3825,3825
1538850257,3766,3766
1538852177,3760,3760
1538854098,3734,3734
1538856028,3732,3732
1538857943,3721,3721
1538859867,3716,3716
1538861783,3710,3710
1538863722,3702,3702
1538865636,3681,3681
1538867552,3681,3681
1538869461,3665,3665
1538871390,3658,3658
1538873294,3653,3653
1538875253,3773,3773
1538877160,3943,3943
1538879057,3937,3937
1538881010,3937,3937
1538882893,3933,3933
1538884837,3936,3936
1538886757,3944,3944
1538888666,3943,3943
1538890596,3945,3945
1538892504,3961,3961
1538894423,3886,3886
1538896351,3901,3901
1538898260,3905,3905
1538900190,3981,3981
1538902127,3986,3986
1538904014,3997,3997
1538905938,3997,3997
1538907858,3997,3997
1538909774,4006,4006
1538911715,4016,4016
1538914594,3591,3591
1538916507,3593,3593
1538918430,3593,3593
1538920366,4189,4189
1538922265,4749,4749
1538924200,4752,4752
1538926099,4749,4749
1538928071,4745,4745
1538929946,4738,4738
1538931873,4735,4735
1538933688,4626,4626
1538935496,5160,5160
1538937390,5173,5173
1538939314,5176,5176
1538941217,5184,5184
1538943137,5186,5186
1538945072,5192,5192
1538946993,5203,5203
1538948898,5239,5239
1538950817,5251,5251
1538952740,5253,5253
1538954657,5244,5244
1538956575,5250,5250
1538958497,6509,6509
1538960469,7512,7512
1538962352,8529,8529
1538964277,8760,8760
1538966173,8762,8762
1538968121,9106,9106
1538970033,9111,9111
1538971952,9146,9146
1538973861,9133,9133
1538975806,9603,9603
1538977721,9921,9921
1538979876,9955,9955
1538981773,9946,9946
1538983712,9949,9949
1538985650,9934,9934
1538987535,9876,9876
1538989455,9868,9868
1538991622,9860,9860
1538993545,9863,9863
1538995478,9864,9864
1538997400,9952,9952
1538999298,9949,9949
1539001228,9945,9945
1539003143,9941,9941
1539005081,9933,9933
1539007017,9318,9318
1539009145,8830,8830
1539011104,8839,8839
1539012982,8677,8677
1539014949,8638,8638
1539016816,8847,8847
1539018738,8859,8859
1539020678,8258,8258
1539022601,8215,8215
1539024518,8210,8210
1539026697,8224,8224
