DateTime,AddedIPs,RemovedIPs
1538197962,2,1
1538201799,1,1
1538203700,1,1
1538205619,1,3
1538207541,3,0
1538209465,0,2
1538211389,4,4
1538213294,0,3
1538215300,1,5
1538217155,0,1
1538219323,0,3
1538221234,2,1
1538223140,0,1
1538225071,0,2
1538228906,1,4
1538230830,2,0
1538232758,0,3
1538234665,1,0
1538236574,0,3
1538238490,1,1
1538241395,2,5
1538243319,3,2
1538245230,3,0
1538247153,1,3
1538249067,2,4
1538250992,0,4
1538252890,1,5
1538254878,2,2
1538256756,0,2
1538258664,2,1
1538260591,3,0
1538262518,1,0
1538264430,3,0
1538266357,1,4
1538268254,3,3
1538270188,1,1
1538272094,2,1
1538274034,0,2
1538275940,2,0
1538277868,1,3
1538279769,1,0
1538281790,4,0
1538283667,0,2
1538287476,2,2
1538289370,1,1
1538291330,1,0
1538293245,6,1
1538295147,0,3
1538297073,0,1
1538298987,2,6
1538300915,0,1
1538304739,1,0
1538306658,0,2
1538308898,3,1
1538312706,2,0
1538316502,2,2
1538320345,1,0
1538322264,0,1
1538324192,2,1
1538326106,1,1
1538328022,2,3
1538329938,2,3
1538331866,1,1
1538333791,2,1
1538335698,1,2
1538338605,4,2
1538340502,5,1
1538342420,3,1
1538344338,2,1
1538346261,1,1
1538348189,0,3
1538350101,1,2
1538352093,1,1
1538353943,2,2
1538355886,0,2
1538357776,0,1
1538359707,5,1
1538361695,2,1
1538363550,4,3
1538365478,1,0
1538367554,2,5
1538369549,4,0
1538373879,2,2
1538375790,1,1
1538377721,0,1
1538379611,0,6
1538381556,1,0
1538383454,1,0
1538385405,2,2
1538387293,1,0
1538389231,1,0
1538391159,0,1
1538395304,2,2
1538397144,1,1
1538399112,2,1
1538401006,1,0
1538402902,2,1
1538406766,0,1
1538410596,1,2
1538412506,1,0
1538414418,2,2
1538416349,2,3
1538418261,1,2
1538420183,1,2
1538422107,2,1
1538424111,5,4
1538425948,5,3
1538427878,2,3
1538430027,2,2
1538431948,1,1
1538433861,0,1
1538435804,1,0
1538437703,3,2
1538441549,1,2
1538443472,1,0
1538445385,1,2
1538447773,1,6
1538449731,2,3
1538451637,1,2
1538453557,0,2
1538455700,2,4
1538459537,1,1
1538461474,1,2
1538463373,56,0
1538465292,57,0
1538467294,58,1
1538469401,58,1
1538471330,54,2
1538473218,59,1
1538475158,54,0
1538477082,50,1
1538478978,16,0
1538480929,0,1
1538483081,1,1
1538484991,2,3
1538486890,1,0
1538488888,1,3
1538490745,2,1
1538492677,2,0
1538494596,3,1
1538496550,1,0
1538498434,0,2
1538500359,0,2
1538502276,4,1
1538504187,0,2
1538506104,1,0
1538508024,1,3
1538509943,1,1
1538511850,2,7
1538514993,3,2
1538516910,4,1
1538518842,4,1
1538520740,1,1
1538524604,0,2
1538526496,2,0
1538528498,0,1
1538530349,1,2
1538532290,1,0
1538534427,1,1
1538536334,0,2
1538538252,1,1
1538540202,1,0
1538542254,3,2
1538544265,2,0
1538548121,3,1
1538550077,0,58
1538551997,0,53
1538553873,2,54
1538555807,0,50
1538557732,2,52
1538559640,1,60
1538561558,0,54
1538563462,2,54
1538565411,2,18
1538567326,1,0
1538569465,3,1
1538571373,0,2
1538573316,1,1
1538576181,2,4
1538578101,0,1
1538580028,1,4
1538581956,0,2
1538583869,1,0
1538585802,0,1
1538587693,1,1
1538589678,2,5
1538591547,1,0
1538595367,2,2
1538597310,2,1
1538599473,2,2
1538601404,2,3
1538603303,2,4
1538605220,3,4
1538607137,0,1
1538609073,0,1
1538612902,1,2
1538615067,1,1
1538616977,0,4
1538618909,1,0
1538620824,3,0
1538624683,1,1
1538626591,0,1
1538628503,2,2
1538630411,0,4
1538632326,2,1
1538634265,0,3
1538636199,1,1
1538638112,0,1
1538640073,2,2
1538641957,1,0
1538643862,0,2
1538645798,4,1
1538647722,3,0
1538649638,0,2
1538651567,1,3
1538653474,2,0
1538655666,2,2
1538657545,1,0
1538659475,3,1
1538661410,2,1
1538663291,2,1
1538665259,2,0
1538667161,2,1
1538669082,0,1
1538672928,4,0
1538674832,2,1
1538676739,0,4
1538680589,4,1
1538682519,3,3
1538684440,1,0
1538686333,0,2
1538688271,0,3
1538690192,1,4
1538694092,2,0
1538695948,1,0
1538697897,2,0
1538699772,1,1
1538701714,5,1
1538703870,3,0
1538705799,2,3
1538707726,1,1
1538709630,1,0
1538711549,2,1
1538713482,1,0
1538715384,3,2
1538717316,2,0
1538719279,1,2
1538721150,1,0
1538723110,1,1
1538726924,0,2
1538728814,1,1
1538730995,1,2
1538732902,0,2
1538734833,2,2
1538736749,1,0
1538738664,3,2
1538740588,0,3
1538742520,2,3
1538744497,2,0
1538746351,1,3
1538748293,0,3
1538750424,1,1
1538752345,0,4
1538754291,1,0
1538756193,0,1
1538758344,0,2
1538760283,0,3
1538762197,0,1
1538766082,1,2
1538767973,5,2
1538769876,2,2
1538771803,1,0
1538773704,2,0
1538775644,3,0
1538777564,0,1
1538779463,1,0
1538781393,2,2
1538783328,5,1
1538785234,2,2
1538787162,1,3
1538789117,0,3
1538791023,2,4
1538792932,0,2
1538796757,2,2
1538798670,0,1
1538800609,1,3
1538802532,1,3
1538804570,2,2
1538806853,1,1
1538808764,0,1
1538810667,4,0
1538812602,1,0
1538814503,0,1
1538816473,0,1
1538820273,1,1
1538822214,0,2
1538824104,2,2
1538826020,2,1
1538827956,2,1
1538829877,1,3
1538831783,1,0
1538833959,1,1
1538837792,2,1
1538842583,4,1
