DateTime,Entries,UniqueIPs
1538283701,336,336
1538285544,335,335
1538287479,331,331
1538289372,315,315
1538291340,308,308
1538293248,308,308
1538295149,310,310
1538297085,312,312
1538298998,314,314
1538300918,315,315
1538302821,317,317
1538304741,312,312
1538306660,308,308
1538308905,308,308
1538310749,297,297
1538312713,290,290
1538314580,288,288
1538316504,283,283
1538318429,283,283
1538320348,280,280
1538322267,283,283
1538324194,286,286
1538326108,287,287
1538328025,283,283
1538329941,277,277
1538331868,282,282
1538333802,291,291
1538335702,301,301
1538337650,300,300
1538339546,305,305
1538341467,309,309
1538343400,314,314
1538345314,317,317
1538347225,322,322
1538349141,324,324
1538351083,316,316
1538352988,312,312
1538354906,311,311
1538356818,315,315
1538358748,319,319
1538360672,321,321
1538362576,324,324
1538364499,328,328
1538366469,327,327
1538368339,332,332
1538370294,333,333
1538372453,332,332
1538374366,331,331
1538376278,329,329
1538378194,329,329
1538380120,326,326
1538382021,327,327
1538383947,326,326
1538385859,326,326
1538387804,326,326
1538389700,326,326
1538391650,333,333
1538393546,333,333
1538395724,335,335
1538397633,340,340
1538399561,340,340
1538401463,343,343
1538403410,346,346
1538405302,347,347
1538407238,347,347
1538409157,347,347
1538411072,342,342
1538412974,339,339
1538414917,345,345
1538416882,343,343
1538418763,335,335
1538420689,331,331
1538422599,323,323
1538424522,321,321
1538426445,324,324
1538428614,324,324
1538430519,315,315
1538432411,304,304
1538434365,305,305
1538436277,308,308
1538438192,313,313
1538440100,311,311
1538442076,304,304
1538443952,306,306
1538445873,302,302
1538447779,300,300
1538449742,301,301
1538451640,297,297
1538453560,295,295
1538455703,293,293
1538457646,296,296
1538459540,293,293
1538461477,292,292
1538463376,291,291
1538465294,291,291
1538467305,288,288
1538469404,290,290
1538471334,289,289
1538473221,283,283
1538475170,282,282
1538477085,278,278
1538478981,276,276
1538480932,279,279
1538483083,276,276
1538484994,278,278
1538486892,279,279
1538488900,278,278
1538490748,280,280
1538492722,277,277
1538494598,275,275
1538496553,271,271
1538498436,274,274
1538500372,269,269
1538502280,263,263
1538504190,265,265
1538506107,267,267
1538508035,315,315
1538509946,316,316
1538511853,313,313
1538514074,315,315
1538515946,320,320
1538517876,330,330
1538519775,362,362
1538521726,385,385
1538523641,407,407
1538525563,430,430
1538527458,459,459
1538529388,475,475
1538531313,488,488
1538533232,501,501
1538535151,519,519
1538537073,533,533
1538538979,552,552
1538540899,572,572
1538543121,586,586
1538545013,600,600
1538547187,613,613
1538549081,640,640
1538550996,658,658
1538552918,668,668
1538554830,670,670
1538556760,666,666
1538558686,679,679
1538560600,685,685
1538562499,690,690
1538564482,691,691
1538566378,700,700
1538568344,700,700
1538570440,706,706
1538572340,705,705
1538574290,705,705
1538576183,710,710
1538578103,709,709
1538580031,713,713
1538581959,714,714
1538583872,727,727
1538585804,735,735
1538587696,738,738
1538589689,744,744
1538591549,746,746
1538593520,748,748
1538595378,704,704
1538597312,714,714
1538599475,732,732
1538601406,746,746
1538603305,750,750
1538605223,734,734
1538607148,710,710
1538609076,688,688
1538610986,675,675
1538612904,656,656
1538615070,645,645
1538616984,630,630
1538618912,617,617
1538620827,610,610
1538622744,600,600
1538624685,584,584
1538626594,572,572
1538628505,562,562
1538630413,555,555
1538632328,551,551
1538634267,532,532
1538636201,515,515
1538638114,500,500
1538640082,501,501
1538641960,507,507
1538643864,513,513
1538645800,510,510
1538647724,517,517
1538649641,508,508
1538651569,522,522
1538653476,541,541
1538655669,560,560
1538657547,558,558
1538659478,560,560
1538661413,558,558
1538663293,551,551
1538665282,552,552
1538667163,552,552
1538669085,549,549
1538670999,537,537
1538672931,530,530
1538674835,527,527
1538676741,530,530
1538678690,531,531
1538680591,528,528
1538682521,514,514
1538684442,506,506
1538686336,477,477
1538688274,466,466
1538690195,462,462
1538692117,468,468
1538694098,469,469
1538695950,464,464
1538697916,456,456
1538699774,457,457
1538701717,460,460
1538703872,466,466
1538705801,473,473
1538707732,486,486
1538709632,490,490
1538711551,486,486
