DateTime,AddedIPs,RemovedIPs
1538279772,5,7
1538281795,8,9
1538283702,8,8
1538285545,6,8
1538287480,9,11
1538289373,8,9
1538291340,6,5
1538293249,6,3
1538295150,4,11
1538297085,6,11
1538298999,6,6
1538300918,10,10
1538302821,5,9
1538304742,5,9
1538306661,4,6
1538308906,7,8
1538310759,3,10
1538312713,8,9
1538314581,4,7
1538316505,5,8
1538318430,3,8
1538320348,6,7
1538322268,8,12
1538324195,5,9
1538326109,4,13
1538328026,6,16
1538329941,7,4
1538331869,7,6
1538333803,7,8
1538335702,6,3
1538337676,3,7
1538339546,4,12
1538341467,4,10
1538343401,7,10
1538345315,1,2
1538347225,5,7
1538349142,9,10
1538351083,2,11
1538352988,4,7
1538354907,4,10
1538356819,3,5
1538358749,7,5
1538360673,5,5
1538362577,2,9
1538364500,5,4
1538366488,0,4
1538368340,16,8
1538370306,6,9
1538372454,6,7
1538374367,8,13
1538376279,4,8
1538378194,2,6
1538380120,9,9
1538382022,3,6
1538383948,1,7
1538385860,4,9
1538387804,6,11
1538389709,6,6
1538391671,3,5
1538393546,4,4
1538395725,3,5
1538397634,0,4
1538399562,4,3
1538401464,0,6
1538403411,1,6
1538405303,3,6
1538407239,5,0
1538409158,2,10
1538411072,4,4
1538412974,0,4
1538414918,6,5
1538416891,4,5
1538418764,7,4
1538420692,3,7
1538422599,3,6
1538424522,4,1
1538426445,6,2
1538428615,3,5
1538430520,4,7
1538432411,8,3
1538434366,5,5
1538436278,2,6
1538438193,3,4
1538440101,3,4
1538442091,6,4
1538443952,2,6
1538445875,2,3
1538447780,1,4
1538449743,7,8
1538451641,6,1
1538453561,3,15
1538455704,4,5
1538457647,3,4
1538459541,0,9
1538461478,4,5
1538463377,5,2
1538465301,4,5
1538467306,2,7
1538469405,3,3
1538471335,2,0
1538473221,0,11
1538475171,8,2
1538477086,1,9
1538478981,3,6
1538480933,4,4
1538483084,3,0
1538484994,2,3
1538486893,0,1
1538488902,1,2
1538490748,2,3
1538492724,2,3
1538494599,1,4
1538496553,5,5
1538498437,3,2
1538500373,2,2
1538502280,3,5
1538504191,2,9
1538506108,5,1
1538508035,7,8
1538509947,2,3
1538511860,4,8
1538514078,1,1
1538515947,2,3
1538517876,4,10
1538519776,3,5
1538521726,4,4
1538523641,2,5
1538527458,5,6
1538529389,2,3
1538531313,3,3
1538533232,1,2
1538535152,4,3
1538537073,1,5
1538538980,3,5
1538540900,6,2
1538543122,1,4
1538547188,2,3
1538549082,5,5
1538550996,3,3
1538552918,2,3
1538554831,3,2
1538556760,2,2
1538558686,0,2
1538560600,19,4
1538562500,1,5
1538564484,0,3
1538566379,7,4
1538568345,5,1
1538570440,3,6
1538572340,2,1
1538574290,7,0
1538576183,2,1
1538578103,3,2
1538580032,7,2
1538581959,3,3
1538583872,6,4
1538585804,3,2
1538587696,4,1
1538589689,2,5
1538591554,1,3
1538593522,10,7
1538595378,6,5
1538597312,6,3
1538599475,1,3
1538601406,3,2
1538603306,5,3
1538605223,5,0
1538607148,4,5
1538609076,4,5
1538610986,4,1
1538612905,2,3
1538615070,4,2
1538616984,4,1
1538618912,4,5
1538620827,3,1
1538622744,3,1
1538624686,3,0
1538626594,2,8
1538628505,7,2
1538630413,0,1
1538632328,2,1
1538634268,10,3
1538636202,4,3
1538638115,5,6
1538640084,4,1
1538641960,5,4
1538643865,3,2
1538645800,2,0
1538647725,1,18
1538649642,4,0
1538651570,5,1
1538653477,7,7
1538655669,4,4
1538657548,5,3
1538659478,5,1
1538661414,2,7
1538663293,2,3
1538665283,4,4
1538667163,2,2
1538669086,3,1
1538671002,5,7
1538672931,6,4
1538674835,4,3
1538676742,2,3
1538678691,4,4
1538680592,7,7
1538682522,6,4
1538684443,4,5
1538686336,0,1
1538688275,3,4
1538690195,3,5
1538692118,3,3
1538694099,5,6
1538695950,6,4
1538697926,4,3
1538699775,3,3
1538701717,2,3
1538703873,7,5
1538705802,3,3
1538707732,3,4
1538709633,4,1
1538711552,3,3
1538713510,2,3
1538715387,2,5
1538717319,8,1
1538719284,5,4
1538721153,3,9
1538723113,1,5
1538724971,4,5
1538726928,5,6
1538728818,5,6
1538730998,3,2
1538732905,2,2
1538734836,4,0
1538736753,4,4
1538738667,4,8
1538740591,4,6
1538742523,0,5
1538744500,3,6
1538746354,4,7
1538748317,3,3
1538750427,3,1
1538752348,1,5
1538754293,2,3
1538756195,5,3
1538758347,1,5
1538760286,3,7
1538762200,0,3
1538764230,1,4
1538766092,1,6
1538767976,4,3
1538769881,3,5
1538771805,4,3
1538773706,4,1
1538775647,4,1
1538777567,0,6
1538779465,4,3
1538781396,3,3
1538783331,6,10
1538785238,2,1
1538787171,3,3
1538789135,2,4
1538791026,1,5
1538792940,5,1
1538794891,2,4
1538796761,4,6
1538798673,2,0
1538800612,5,4
1538802535,1,8
1538804573,4,1
1538806856,7,5
1538808768,2,0
1538810669,1,3
1538812605,3,7
1538814506,6,4
1538816499,2,2
1538818343,4,2
1538820279,1,0
1538822218,5,5
1538824108,4,5
1538826023,2,6
1538827959,9,1
1538829880,0,3
1538831787,2,2
1538833962,3,5
1538835876,2,1
1538837795,2,1
1538839698,4,1
1538841684,3,8
1538843559,2,0
1538845510,1,1
1538847379,5,4
1538849329,3,1
1538851223,1,2
1538853146,3,0
1538855066,1,5
1538856998,4,7
1538858898,6,1
1538860838,2,7
1538862745,1,1
1538864686,2,2
1538866588,6,3
1538868504,5,4
1538870455,0,6
1538872359,5,1
1538874729,3,4
1538876686,3,0
1538878601,3,2
1538880515,0,4
1538882445,4,5
1538884339,1,2
1538886276,6,6
1538888214,4,2
1538890096,3,2
1538892177,5,6
1538894428,4,5
1538896355,4,3
1538898264,3,1
1538900194,1,6
1538902132,2,4
1538904028,4,4
1538905942,4,1
1538907865,3,5
1538909779,3,2
1538911719,3,4
1538914598,4,5
1538916511,5,1
1538918436,3,2
1538920371,1,3
1538922269,7,1
1538924205,14,3
1538926104,3,2
1538928112,1,2
1538929951,1,3
1538931921,3,1
1538933782,3,5
1538935963,3,3
1538937860,6,2
1538939802,1,2
1538941711,7,2
1538943629,5,1
1538945561,2,6
1538947481,4,2
1538949375,4,2
1538951325,2,1
1538953282,2,6
1538955168,1,4
1538957095,1,0
1538959219,5,6
1538961405,3,5
1538963308,6,2
1538965236,3,4
1538967154,5,0
1538969082,2,4
1538970986,1,2
1538972908,3,5
1538974887,3,5
1538976765,2,3
1538978682,2,4
1538980574,2,2
1538982507,2,3
1538984433,0,4
1538986362,2,1
1538988263,0,4
1538990202,3,5
1538992127,6,4
1538994038,2,2
1538995964,4,3
1538997862,2,3
1538999797,2,2
1539001717,3,3
1539003696,4,6
1539005557,5,2
1539007459,1,2
1539009639,2,6
1539011547,4,16
1539013478,3,3
1539015390,3,2
1539017294,4,1
1539019236,6,4
1539021151,10,2
1539023079,3,5
1539024979,8,2
1539027154,2,3
1539029100,2,5
1539030982,2,4
1539032869,4,2
1539034840,6,4
1539036765,0,6
1539038678,4,2
1539040614,3,1
1539042507,0,2
1539044440,3,4
1539046368,2,5
1539048305,5,1
1539050201,6,5
1539052097,0,3
1539054094,1,7
1539055960,1,2
1539057892,1,2
1539059810,2,2
1539061728,4,4
1539063623,8,1
1539065833,6,2
1539067704,5,4
1539069630,4,1
1539071805,4,1
1539073753,7,0
1539075864,3,1
1539078027,3,7
1539079955,5,3
1539081888,2,3
1539083793,1,2
1539085724,3,2
1539087632,5,3
1539089547,4,0
1539091587,6,3
1539093698,7,3
1539095552,3,1
1539097537,2,1
1539099633,1,3
1539101552,3,4
1539103486,1,4
1539105390,8,6
1539107325,12,12
1539109238,6,3
1539111147,8,9
1539113099,12,2
1539114999,6,3
1539116913,10,0
1539118888,11,5
1539120743,5,3
1539122679,16,4
1539124591,5,0
1539126530,7,4
1539128445,6,1
1539130365,19,3
1539132268,38,2
1539134185,6,7
1539136128,9,3
1539138025,7,4
1539139970,7,2
1539141867,8,1
1539143780,5,2
1539145719,11,4
1539147687,9,5
1539149566,6,5
1539151475,9,8
1539153407,4,4
1539155333,4,6
1539157249,10,5
1539159169,9,4
1539161066,4,4
1539163016,6,2
1539164907,9,6
1539166849,14,1
1539168760,4,2
1539170668,7,1
1539172587,6,3
1539174528,7,4
1539176481,4,4
1539178371,3,6
1539180513,10,5
1539182445,5,3
1539184788,2,2
1539186732,3,2
1539188687,4,4
1539190581,4,3
1539192505,4,7
1539194487,3,11
1539196376,6,6
1539198267,7,11
1539200197,9,6
1539202125,2,8
1539204019,7,7
1539205965,4,9
1539207865,2,8
1539209784,5,12
1539211719,9,7
1539213629,2,7
1539215563,4,6
1539217478,4,20
1539219679,7,34
1539221587,3,7
1539223482,6,7
1539225407,4,4
1539227301,4,14
1539229242,4,6
1539231147,9,10
1539233059,4,6
1539235008,6,6
1539237034,4,9
1539238835,5,8
1539240763,3,1
1539242680,10,9
1539244581,9,5
1539246519,5,6
1539248482,6,4
1539250365,9,7
1539252269,2,9
