DateTime,Entries,UniqueIPs
1538283702,1054,1054
1538285545,1053,1053
1538287481,1045,1045
1538289373,1040,1040
1538291341,1016,1016
1538293249,995,995
1538295150,1015,1015
1538297086,1007,1007
1538298999,1005,1005
1538300919,1004,1004
1538302822,991,991
1538304743,967,967
1538306662,951,951
1538308907,929,929
1538310759,928,928
1538312714,918,918
1538314581,903,903
1538316505,906,906
1538318430,921,921
1538320348,931,931
1538322268,919,919
1538324195,924,924
1538326109,931,931
1538328026,943,943
1538329942,954,954
1538331869,956,956
1538333803,946,946
1538335702,958,958
1538337680,958,958
1538339547,957,957
1538341468,955,955
1538343401,933,933
1538345315,938,938
1538347226,956,956
1538349142,966,966
1538351084,988,988
1538352989,991,991
1538354907,986,986
1538356820,977,977
1538358749,983,983
1538360674,1040,1040
1538362577,1093,1093
1538364500,1109,1109
1538366492,1103,1103
1538368340,1096,1096
1538370308,1088,1088
1538372454,1115,1115
1538374367,1137,1137
1538376280,1167,1167
1538378195,1198,1198
1538380121,1209,1209
1538382022,1250,1250
1538383948,1284,1284
1538385860,1297,1297
1538387805,1306,1306
1538389709,1313,1313
1538391679,1357,1357
1538393546,1368,1368
1538395726,1389,1389
1538397634,1406,1406
1538399562,1424,1424
1538401464,1458,1458
1538403411,1453,1453
1538405303,1441,1441
1538407239,1473,1473
1538409158,1490,1490
1538411073,1492,1492
1538412975,1505,1505
1538414918,1509,1509
1538416897,1528,1528
1538418764,1532,1532
1538420693,1549,1549
1538422600,1553,1553
1538424523,1575,1575
1538426446,1621,1621
1538428615,1616,1616
1538430520,1609,1609
1538432412,1604,1604
1538434366,1586,1586
1538436278,1574,1574
1538438193,1558,1558
1538440101,1561,1561
1538442095,1598,1598
1538443953,1599,1599
1538445876,1590,1590
1538447780,1554,1554
1538449743,1518,1518
1538451641,1510,1510
1538453562,1516,1516
1538455704,1522,1522
1538457648,1522,1522
1538459541,1483,1483
1538461478,1454,1454
1538463377,1426,1426
1538465301,1403,1403
1538467306,1387,1387
1538469405,1325,1325
1538471335,1303,1303
1538473222,1286,1286
1538475171,1289,1289
1538477086,1266,1266
1538478982,1252,1252
1538480933,1237,1237
1538483085,1208,1208
1538484995,1195,1195
1538486893,1149,1149
1538488902,1134,1134
1538490749,1113,1113
1538492725,1096,1096
1538494600,1051,1051
1538496554,1032,1032
1538498438,1016,1016
1538500373,987,987
1538502281,938,938
1538504191,927,927
1538506108,912,912
1538508036,885,885
1538509947,849,849
1538511860,825,825
1538514079,795,795
1538515947,795,795
1538517877,798,798
1538519776,789,789
1538521727,796,796
1538523642,787,787
1538525564,788,788
1538527459,756,756
1538529389,731,731
1538531314,715,715
1538533233,698,698
1538535152,670,670
1538537074,657,657
1538538980,627,627
1538540900,610,610
1538543122,589,589
1538545014,576,576
1538547188,558,558
1538549082,554,554
1538550996,545,545
1538552919,536,536
1538554831,529,529
1538556761,520,520
1538558687,642,642
1538560600,818,818
1538562500,979,979
1538564484,1153,1153
1538566379,1324,1324
1538568345,1493,1493
1538570441,1693,1693
1538572341,1856,1856
1538574291,2048,2048
1538576184,2132,2132
1538578103,2175,2175
1538580032,2241,2241
1538581959,2316,2316
1538583873,2323,2323
1538585804,2333,2333
1538587696,2376,2376
1538589690,2418,2418
1538591555,2513,2513
1538593522,2544,2544
1538595379,2608,2608
1538597313,2631,2631
1538599476,2657,2657
1538601407,2675,2675
1538603306,2688,2688
1538605224,2710,2710
1538607148,2718,2718
1538609077,2762,2762
1538610986,2799,2799
1538612905,2817,2817
1538615070,2825,2825
1538616985,2831,2831
1538618912,2836,2836
1538620828,2842,2842
1538622745,2839,2839
1538624686,2844,2844
1538626594,2873,2873
1538628505,2898,2898
1538630413,2914,2914
1538632329,2928,2928
1538634268,2941,2941
1538636202,2956,2956
1538638115,2969,2969
1538640084,2978,2978
1538641961,2985,2985
1538643865,3013,3013
1538645801,2851,2851
1538647725,2686,2686
1538649642,2523,2523
1538651570,2372,2372
1538653477,2225,2225
1538655669,2045,2045
1538657548,1877,1877
1538659479,1707,1707
1538661414,1528,1528
1538663294,1473,1473
1538665284,1431,1431
1538667164,1367,1367
1538669088,1345,1345
1538671012,1349,1349
1538672932,1342,1342
1538674836,1318,1318
1538676742,1280,1280
1538678692,1196,1196
1538680592,1164,1164
1538682522,1122,1122
1538684443,1093,1093
1538686337,1085,1085
1538688275,1075,1075
1538690196,1071,1071
1538692118,1067,1067
1538694100,1053,1053
1538695951,1019,1019
1538697927,985,985
1538699775,968,968
1538701718,966,966
1538703873,954,954
1538705802,946,946
1538707732,936,936
1538709633,944,944
1538711552,947,947
1538713510,919,919
1538715388,888,888
1538717320,870,870
1538719284,873,873
1538721153,869,869
1538723114,855,855
1538724972,839,839
1538726928,841,841
1538728818,825,825
1538730998,818,818
1538732905,810,810
1538734837,800,800
1538736753,776,776
1538738667,752,752
1538740591,726,726
1538742523,703,703
1538744501,689,689
1538746354,676,676
1538748317,663,663
1538750427,651,651
1538752349,644,644
1538754294,620,620
1538756195,604,604
1538758347,577,577
1538760286,558,558
1538762200,546,546
1538764230,535,535
1538766092,529,529
1538767976,519,519
1538769882,512,512
1538771805,510,510
1538773706,505,505
1538775647,492,492
1538777567,485,485
1538779465,472,472
1538781396,463,463
1538783332,457,457
1538785238,462,462
1538787171,474,474
1538789136,473,473
1538791026,472,472
1538792940,474,474
1538794891,459,459
1538796761,455,455
1538798674,466,466
1538800613,465,465
