DateTime,Entries,UniqueIPs
1538282669,6067,6067
1538284581,6091,6091
1538286506,6086,6086
1538288434,6100,6100
1538290347,6123,6123
1538292266,6176,6176
1538294192,6166,6166
1538296098,6170,6170
1538298074,6174,6174
1538299940,6159,6159
1538301865,6171,6171
1538303804,4420,4420
1538305802,2839,2839
1538307641,2832,2832
1538309794,2837,2837
1538311699,2818,2818
1538313626,2823,2823
1538315551,2830,2830
1538317470,2777,2777
1538319389,2799,2799
1538321297,2800,2800
1538323272,2809,2809
1538325161,2806,2806
1538327069,2808,2808
1538328989,2806,2806
1538330912,2817,2817
1538332825,2793,2793
1538334739,2784,2784
1538336663,2781,2781
1538338608,2792,2792
1538340508,2784,2784
1538342432,2798,2798
1538344342,2782,2782
1538346264,2778,2778
1538348192,2719,2719
1538350105,2723,2723
1538352103,2730,2730
1538353947,2722,2722
1538355894,2706,2706
1538357780,2714,2714
1538359711,2709,2709
1538361698,2689,2689
1538363554,2664,2664
1538365482,2651,2651
1538367558,2647,2647
1538369559,2633,2633
1538371946,2616,2616
1538373906,2614,2614
1538375794,2583,2583
1538377725,2531,2531
1538379615,2508,2508
1538381560,2529,2529
1538383458,2510,2510
1538385409,2516,2516
1538387297,2526,2526
1538389243,2520,2520
1538391163,2537,2537
1538393182,2545,2545
1538395310,2552,2552
1538397156,2551,2551
1538399127,2552,2552
1538401010,2554,2554
1538402906,2568,2568
1538404839,2572,2572
1538406770,2575,2575
1538408672,2575,2575
1538410607,2585,2585
1538412510,2583,2583
1538414422,2580,2580
1538416359,2583,2583
1538418266,2587,2587
1538420188,2576,2576
1538422118,2581,2581
1538424118,2563,2563
1538425952,2593,2593
1538427895,2596,2596
1538430038,2590,2590
1538431952,2586,2586
1538433865,2594,2594
1538435809,2570,2570
1538437707,2581,2581
1538439640,2565,2565
1538441553,2571,2571
1538443476,2583,2583
1538445390,2573,2573
1538447786,2568,2568
1538449745,2568,2568
1538451644,2566,2566
1538453565,2572,2572
1538455707,2536,2536
1538457658,2521,2521
1538459543,2524,2524
1538461481,2509,2509
1538463379,2519,2519
1538465303,2526,2526
1538467309,2523,2523
1538469408,2519,2519
1538471338,2512,2512
1538473224,2513,2513
1538475174,2525,2525
1538477089,2517,2517
1538478984,2528,2528
1538480935,2526,2526
1538483088,2551,2551
1538484997,2562,2562
1538486896,2557,2557
1538488904,2562,2562
1538490751,2550,2550
1538492729,3059,3059
1538494602,3045,3045
1538496557,3022,3022
1538498440,3047,3047
1538500376,3039,3039
1538502283,3040,3040
1538504194,3034,3034
1538506128,3026,3026
1538508038,3045,3045
1538509949,3031,3031
1538511863,3021,3021
1538514093,3026,3026
1538515950,3039,3039
1538517879,3059,3059
1538519778,3085,3085
1538521737,3071,3071
1538523646,3066,3066
1538525566,3060,3060
1538527461,3065,3065
1538529399,3074,3074
1538531316,3066,3066
1538533243,3081,3081
1538535155,3075,3075
1538537077,3077,3077
1538538990,3074,3074
1538540902,3092,3092
1538543127,3117,3117
1538545017,3114,3114
1538547194,3146,3146
1538549085,3163,3163
1538550999,3150,3150
1538552921,3167,3167
1538554834,3189,3189
1538556764,3185,3185
1538558689,3209,3209
1538560603,3199,3199
1538562506,3185,3185
1538564492,3178,3178
1538566396,3208,3208
1538568348,3193,3193
1538570443,3170,3170
1538572343,3175,3175
1538574293,3179,3179
1538576186,3197,3197
1538578106,2673,2673
1538580037,2692,2692
1538581962,2710,2710
1538583876,2719,2719
1538585807,2699,2699
1538587707,2698,2698
1538589693,2707,2707
1538591557,2727,2727
1538593534,2741,2741
1538595381,2727,2727
1538597315,2745,2745
1538599478,2747,2747
1538601409,2755,2755
1538603309,2768,2768
1538605228,2767,2767
1538607151,2780,2780
1538609079,2819,2819
1538610989,2840,2840
1538612908,2868,2868
1538615073,2876,2876
1538616987,2902,2902
1538618914,2909,2909
1538620837,2934,2934
1538622747,2947,2947
1538624688,2977,2977
1538626597,2975,2975
1538628507,2981,2981
1538630415,2981,2981
1538632331,2989,2989
1538634271,2981,2981
1538636204,2990,2990
1538638118,2999,2999
1538640086,3000,3000
1538641963,3014,3014
1538643867,3013,3013
1538645803,3007,3007
1538647727,3014,3014
1538649652,3018,3018
1538651586,3009,3009
1538653479,2993,2993
1538655672,3004,3004
1538657550,2992,2992
1538659481,2968,2968
1538661424,2958,2958
1538663296,2961,2961
1538665301,2949,2949
1538667166,2967,2967
1538669097,2987,2987
1538671024,3010,3010
1538672934,3040,3040
1538674839,3071,3071
1538676744,3079,3079
1538678694,3114,3114
1538680595,3140,3140
1538682529,3170,3170
1538684446,3180,3180
1538686348,3195,3195
1538688277,3231,3231
1538690198,3269,3269
1538692120,3278,3278
1538694103,3322,3322
1538695953,3351,3351
