DateTime,Entries,UniqueIPs
1538269282,3751,3751
1538271145,3751,3751
1538273079,3754,3754
1538274975,3760,3760
1538276922,3763,3763
1538278840,3762,3762
1538280751,3758,3758
1538282671,3756,3756
1538284583,3756,3756
1538286507,3757,3757
1538288436,3759,3759
1538290349,3774,3774
1538292267,3836,3836
1538294194,3838,3838
1538296100,3840,3840
1538298078,3837,3837
1538301867,3837,3837
1538303806,2069,2069
1538305804,478,478
1538307646,477,477
1538309796,476,476
1538311701,476,476
1538313627,480,480
1538315553,481,481
1538317471,424,424
1538319391,423,423
1538321299,425,425
1538323282,427,427
1538325163,428,428
1538327077,432,432
1538328991,429,429
1538330923,430,430
1538332827,431,431
1538334740,431,431
1538336665,430,430
1538338610,432,432
1538340512,435,435
1538342433,437,437
1538344344,435,435
1538346266,433,433
1538348194,373,373
1538350106,374,374
1538352105,382,382
1538353948,387,387
1538355896,387,387
1538357782,391,391
1538359712,392,392
1538361700,384,384
1538363555,380,380
1538365483,378,378
1538367560,380,380
1538369560,382,382
1538371948,392,392
1538373908,400,400
1538375796,388,388
1538377727,329,329
1538379617,323,323
1538381562,325,325
1538383460,329,329
1538385411,332,332
1538387298,335,335
1538389257,334,334
1538391165,335,335
1538393184,335,335
1538395313,337,337
1538397157,338,338
1538399129,340,340
1538401011,343,343
1538402907,344,344
1538404840,346,346
1538406772,341,341
1538408673,339,339
1538410609,339,339
1538412512,342,342
1538414424,342,342
1538416360,339,339
1538418267,342,342
1538420190,343,343
1538422120,338,338
1538424120,334,334
1538425962,336,336
1538427934,337,337
1538430040,334,334
1538431953,338,338
1538433866,339,339
1538435811,342,342
1538437715,341,341
1538439642,337,337
1538441555,332,332
1538443477,335,335
1538445391,332,332
1538447788,331,331
1538449747,334,334
1538451648,331,331
1538453566,340,340
1538455708,341,341
1538457659,336,336
1538459545,328,328
1538463382,329,329
1538465305,330,330
1538467310,337,337
1538469409,344,344
1538471339,341,341
1538473243,344,344
1538475176,341,341
1538477100,339,339
1538478986,343,343
1538480937,344,344
1538483089,344,344
1538484999,341,341
1538486897,337,337
1538488906,338,338
1538490752,334,334
1538492730,336,336
1538494604,335,335
1538496558,333,333
1538498442,331,331
1538500378,330,330
1538502285,334,334
1538504195,329,329
1538506130,325,325
1538508040,326,326
1538509951,326,326
1538511864,326,326
1538514096,328,328
1538515951,330,330
1538517881,333,333
1538519780,332,332
1538521739,330,330
1538523647,329,329
1538525567,319,319
1538527471,319,319
1538529401,317,317
1538531317,319,319
1538533248,322,322
1538535157,321,321
1538537078,317,317
1538538992,308,308
1538540903,313,313
1538543128,311,311
1538545018,312,312
1538547202,311,311
1538549086,311,311
1538551000,314,314
1538552923,315,315
1538554839,313,313
1538556766,307,307
1538558691,328,328
1538560604,324,324
1538562508,321,321
1538564498,315,315
1538566398,316,316
1538568349,312,312
1538570444,313,313
1538572345,317,317
1538574295,320,320
1538576188,325,325
1538578108,332,332
1538580038,333,333
1538581963,330,330
1538583878,329,329
1538585809,327,327
1538587709,327,327
1538589695,331,331
1538591558,333,333
1538593536,334,334
1538595382,338,338
1538597317,337,337
1538599480,337,337
1538601411,343,343
1538603310,343,343
1538605229,344,344
1538607156,343,343
1538609081,344,344
1538610990,346,346
1538612916,345,345
1538615076,343,343
1538616988,345,345
1538618916,345,345
1538620839,342,342
1538622748,343,343
1538624690,341,341
1538626598,339,339
1538628509,338,338
1538630417,332,332
1538632332,334,334
1538634273,336,336
1538636206,342,342
1538638119,339,339
1538640088,338,338
1538641964,339,339
1538643869,342,342
1538645804,318,318
1538647729,324,324
1538649654,325,325
1538651588,326,326
1538653481,327,327
1538655673,326,326
1538657552,324,324
1538659482,329,329
1538661425,325,325
1538663297,324,324
1538665304,319,319
1538667168,321,321
1538669103,324,324
1538671026,329,329
1538672935,326,326
1538674841,328,328
1538676755,325,325
1538678696,324,324
1538680596,326,326
1538682531,328,328
1538684451,333,333
1538686356,338,338
1538688279,338,338
1538690199,341,341
1538692122,339,339
1538694104,338,338
1538695954,336,336
1538697932,337,337
1538699779,333,333
1538701726,337,337
1538703878,333,333
1538705816,334,334
1538707749,332,332
1538709637,330,330
1538711556,329,329
1538713522,333,333
1538715392,342,342
1538717324,343,343
1538719289,341,341
1538721157,346,346
1538723119,353,353
1538724975,356,356
1538726933,348,348
1538728833,351,351
1538731013,352,352
1538732909,352,352
1538734840,353,353
1538736759,352,352
1538738672,353,353
1538740596,356,356
1538742528,355,355
1538744505,355,355
1538746358,355,355
1538748327,354,354
1538750432,352,352
1538752354,354,354
1538754298,351,351
