DateTime,AddedIPs,RemovedIPs
1538282670,37,21
1538284582,37,34
1538286507,31,36
1538288435,42,31
1538290348,34,32
1538292267,28,34
1538294193,27,34
1538296100,38,33
1538298078,39,28
1538299942,34,40
1538301866,33,33
1538303805,23,34
1538305803,23,34
1538307645,30,37
1538309795,40,25
1538311700,34,46
1538313627,27,25
1538315553,24,26
1538317471,30,24
1538319390,38,37
1538321299,30,27
1538323281,25,28
1538325162,35,27
1538327073,32,28
1538328991,25,29
1538330923,40,23
1538332826,34,46
1538334740,31,24
1538336664,44,43
1538338610,25,25
1538340511,22,36
1538342433,37,25
1538344344,27,45
1538346265,26,33
1538348193,31,35
1538350106,29,22
1538352104,19,29
1538353948,22,38
1538355895,18,29
1538357781,30,19
1538359712,26,24
1538361700,36,47
1538363555,21,41
1538365483,19,19
1538367559,28,31
1538369560,43,39
1538371948,29,43
1538373907,25,36
1538375795,22,40
1538377726,26,31
1538379616,18,34
1538381561,39,30
1538383460,19,42
1538385410,35,37
1538387298,33,28
1538389256,31,30
1538391165,28,18
1538393184,34,24
1538395312,27,40
1538397157,28,36
1538399128,35,33
1538401011,23,22
1538402907,37,23
1538404840,34,43
1538406772,25,25
1538408673,31,30
1538410609,34,23
1538412511,21,40
1538414424,26,24
1538416360,41,35
1538418267,30,32
1538420189,26,39
1538422119,37,34
1538424119,33,39
1538425962,37,18
1538427932,33,42
1538430039,34,33
1538431953,22,20
1538433866,30,25
1538435810,22,45
1538437714,26,14
1538439642,21,25
1538441555,27,17
1538443477,25,29
1538445391,18,31
1538447788,31,36
1538449746,26,22
1538451647,28,18
1538453566,15,20
1538455708,14,48
1538457659,16,26
1538459545,35,23
1538461493,10,26
1538463380,32,21
1538465305,37,23
1538467310,25,23
1538469409,36,38
1538471339,29,24
1538473243,32,41
1538475176,33,30
1538477099,30,26
1538478985,32,28
1538480936,26,31
1538483089,36,24
1538484998,28,29
1538486897,25,30
1538488906,38,30
1538490752,26,30
1538492730,565,32
1538494604,26,24
1538496558,17,31
1538498442,46,23
1538500378,32,24
1538502285,36,36
1538504195,26,23
1538506129,27,29
1538508039,51,35
1538509950,25,34
1538511864,37,35
1538514096,52,43
1538515951,33,24
1538517881,41,21
1538519779,33,22
1538521738,28,28
1538523647,25,22
1538525567,28,23
1538527471,32,27
1538529400,36,21
1538531317,20,25
1538533247,25,18
1538535156,28,25
1538537078,28,30
1538538991,33,22
1538540903,30,12
1538543128,44,12
1538545018,35,38
1538547202,51,12
1538549086,35,18
1538551000,25,41
1538552922,41,26
1538554839,42,37
1538556765,28,26
1538558690,28,31
1538560604,35,32
1538562508,39,34
1538564497,41,32
1538566397,42,21
1538568349,25,25
1538570444,32,32
1538572345,37,29
1538574294,29,30
1538576188,37,27
1538578107,32,576
1538580038,63,33
1538581963,36,21
1538583877,38,31
1538585808,23,41
1538587709,30,31
1538589695,35,42
1538591558,36,20
1538593536,45,33
1538595382,34,44
1538597316,25,29
1538599480,37,50
1538601410,46,40
1538603310,42,33
1538605229,51,44
1538607156,33,22
1538609081,47,29
1538610990,38,29
1538612916,43,29
1538615076,25,31
1538616988,50,29
1538618916,28,25
1538620839,30,30
1538622748,35,29
1538624689,40,26
1538626598,32,30
1538628509,29,28
1538630416,27,35
1538632332,29,35
1538634272,25,40
1538636206,28,38
1538638119,38,31
