DateTime,AddedIPs,RemovedIPs
1538227004,2,2
1538230839,1,1
1538232773,0,1
1538234674,1,1
1538236596,1,1
1538238509,3,2
1538240478,1,0
1538242359,0,2
1538244281,0,1
1538246197,0,1
1538248116,0,2
1538250033,1,1
1538251957,2,0
1538253864,1,1
1538255801,0,1
1538263473,2,1
1538265389,1,0
1538267301,1,0
1538269282,4,0
1538273079,3,1
1538274976,2,1
1538276923,2,2
1538278840,2,0
1538280756,1,3
1538282671,1,1
1538284583,2,4
1538286508,1,1
1538288436,3,1
1538290349,1,0
1538292268,0,1
1538294194,0,4
1538296100,1,2
1538298079,0,1
1538299943,1,7
1538301867,0,1
1538303806,0,582
1538305804,1,1
1538307646,2,1
1538309796,2,0
1538311701,1,0
1538313628,2,1
1538315553,3,0
1538317472,2,1
1538319391,3,0
1538321299,0,1
1538323283,0,1
1538325163,1,3
1538327090,1,2
1538334740,0,1
1538336665,1,1
1538338610,0,2
1538340514,4,1
1538342434,1,0
1538346266,1,0
1538350106,0,1
1538352105,3,1
1538353949,2,1
1538355896,2,4
1538357782,2,0
1538359712,2,4
1538361701,0,4
1538365484,0,2
1538367560,0,1
1538369561,0,1
1538371948,4,3
1538373908,1,1
1538375796,0,2
1538377727,1,1
1538379617,1,0
1538381562,1,0
1538383460,0,2
1538385411,2,1
1538387299,3,0
1538389257,1,0
1538391165,2,0
1538393184,1,1
1538395315,1,1
1538397158,0,1
1538399129,1,1
1538401012,1,4
1538402908,0,1
1538404841,1,1
1538406772,0,2
1538408673,2,0
1538410609,1,0
1538412512,1,0
1538418268,1,1
1538420190,0,2
1538422120,1,1
1538424120,3,0
1538425962,2,1
1538427935,6,3
1538430040,1,0
1538431954,8,0
1538433867,8,1
1538435811,6,0
1538437715,6,3
1538439643,4,1
1538441555,2,3
1538443477,2,2
1538445392,2,2
1538447788,2,2
1538449747,1,0
1538451648,1,0
1538453566,2,1
1538455708,6,0
1538457660,2,2
1538459545,3,2
1538461494,8,0
1538463382,2,0
1538465305,5,3
1538467311,1,2
1538469409,7,0
