DateTime,Entries,UniqueIPs
1538282676,19437,19437
1538284586,19511,19511
1538286511,19366,19366
1538288453,19515,19515
1538290360,19114,19114
1538292271,19126,19126
1538294197,19772,19772
1538296103,19676,19676
1538298083,20006,20006
1538299946,19962,19962
1538301870,19945,19945
1538303809,19802,19802
1538305816,19876,19876
1538307649,19853,19853
1538309799,19821,19821
1538311704,19766,19766
1538313638,19732,19732
1538315556,19332,19332
1538317475,19241,19241
1538319394,19209,19209
1538321302,19214,19214
1538323286,19150,19150
1538325166,19204,19204
1538327117,19119,19119
1538328994,19160,19160
1538330926,18602,18602
1538332830,18721,18721
1538334743,18753,18753
1538336668,18611,18611
1538338630,18608,18608
1538340520,18613,18613
1538342437,18612,18612
1538344347,18355,18355
1538346269,18252,18252
1538348197,18110,18110
1538350115,17775,17775
1538352109,18270,18270
1538353951,19863,19863
1538355901,20846,20846
1538357785,21702,21702
1538359716,21127,21127
1538361704,20927,20927
1538363559,20959,20959
1538365487,20950,20950
1538367563,20510,20510
1538369566,20155,20155
1538371952,19869,19869
1538373912,19274,19274
1538375799,18886,18886
1538377730,18877,18877
1538379620,18763,18763
1538381566,17502,17502
1538383464,16951,16951
1538385418,16900,16900
1538387302,16795,16795
1538389270,16376,16376
1538391169,16294,16294
1538393188,16234,16234
1538395318,16114,16114
1538397161,16112,16112
1538399134,16121,16121
1538401015,16099,16099
1538402920,16084,16084
1538404844,16016,16016
1538406776,16029,16029
1538408677,16094,16094
1538410613,15757,15757
1538412515,15395,15395
1538414428,15764,15764
1538416364,15749,15749
1538418271,15632,15632
1538420193,15577,15577
1538422138,15591,15591
1538424124,15618,15618
1538425966,15651,15651
1538427948,15654,15654
1538430052,15659,15659
1538431958,15658,15658
1538433888,15650,15650
1538435815,15677,15677
1538437718,15689,15689
1538439653,14180,14180
1538441559,12878,12878
1538443480,14024,14024
1538445395,16952,16952
1538447798,17285,17285
1538449750,17177,17177
1538451652,17262,17262
1538453569,17295,17295
1538455712,17255,17255
1538457664,17278,17278
1538459549,17278,17278
1538461497,17236,17236
1538463385,17284,17284
1538465311,17364,17364
1538467314,17474,17474
1538469413,17536,17536
1538471343,17628,17628
1538473247,17695,17695
1538475180,17710,17710
1538477103,17696,17696
1538478990,17731,17731
1538480940,17770,17770
1538483093,17793,17793
1538485003,17833,17833
1538486901,17877,17877
1538488911,17880,17880
1538490756,17887,17887
1538492734,17900,17900
1538494617,18809,18809
1538496571,18701,18701
1538498446,18697,18697
1538500383,18381,18381
1538502289,17981,17981
1538504208,17983,17983
1538506133,17915,17915
1538508043,17920,17920
1538509964,17907,17907
1538511868,17913,17913
1538514101,17905,17905
1538515955,17882,17882
1538517885,17877,17877
1538519783,17875,17875
1538521743,17846,17846
1538523651,17867,17867
1538525571,17865,17865
1538527475,17800,17800
1538529421,15529,15529
1538531321,10381,10381
1538533253,8378,8378
1538535160,8358,8358
1538537081,8315,8315
1538538999,8273,8273
1538540916,8842,8842
1538543133,9734,9734
1538545021,9677,9677
1538547205,9714,9714
1538549090,9661,9661
1538551004,9548,9548
1538552926,9464,9464
1538554845,9342,9342
1538556769,9248,9248
1538558694,9170,9170
1538560608,9108,9108
1538562511,9072,9072
1538564505,9023,9023
1538566401,9025,9025
1538568353,9054,9054
1538570448,9016,9016
1538572348,8972,8972
1538574298,8955,8955
1538576191,8987,8987
1538578111,8978,8978
1538580047,8980,8980
1538581967,8887,8887
1538583882,8983,8983
1538585812,9585,9585
1538587712,9352,9352
1538589701,9329,9329
1538591564,9340,9340
1538593545,9328,9328
1538595386,9313,9313
1538597320,9331,9331
1538599483,9317,9317
1538601414,9307,9307
1538603313,9316,9316
1538605233,9305,9305
1538607160,9331,9331
1538609085,9312,9312
1538610994,9317,9317
1538612919,9316,9316
1538615095,9315,9315
1538616992,9318,9318
1538618919,9323,9323
1538620843,9314,9314
1538622752,9305,9305
1538624693,9309,9309
1538626602,9088,9088
1538628512,8332,8332
1538630421,8153,8153
1538632335,8111,8111
1538634276,8171,8171
1538636209,8187,8187
1538638122,8146,8146
1538640092,8200,8200
1538641968,8196,8196
1538643872,8209,8209
1538645808,8213,8213
1538647732,8212,8212
1538649658,8228,8228
1538651591,8215,8215
1538653484,8198,8198
1538655677,8202,8202
1538657561,8200,8200
1538659486,8192,8192
1538661438,8173,8173
1538663301,8148,8148
1538665309,9304,9304
1538667171,9248,9248
1538669124,10108,10108
1538671029,9689,9689
1538672939,9401,9401
1538674846,9411,9411
1538676758,9416,9416
1538678699,9476,9476
1538680599,9523,9523
1538682534,9510,9510
1538684457,9566,9566
1538686367,9559,9559
1538688282,9587,9587
1538690203,9592,9592
1538692134,9586,9586
1538694109,9583,9583
1538695966,9626,9626
1538697939,9836,9836
1538699782,10089,10089
1538701729,10247,10247
1538703881,10418,10418
1538705819,10423,10423
1538707764,10443,10443
1538709640,10437,10437
1538711559,10441,10441
1538713525,10405,10405
1538715396,10410,10410
1538717327,10439,10439
1538719293,10443,10443
1538721160,10397,10397
1538723123,10436,10436
1538724979,10417,10417
1538726937,10389,10389
1538728839,10433,10433
1538731017,10427,10427
1538732913,10438,10438
1538734844,10466,10466
1538736763,10436,10436
1538738676,10470,10470
1538740599,10479,10479
1538742532,10447,10447
1538744510,10448,10448
1538746362,10452,10452
1538748333,10463,10463
1538750445,10497,10497
1538752357,8954,8954
1538754301,7937,7937
1538756203,7731,7731
1538758354,8505,8505
1538760294,9068,9068
1538762210,9080,9080
1538764247,9001,9001
1538766116,9034,9034
1538767983,9058,9058
1538769910,9070,9070
1538771813,9056,9056
1538773714,9069,9069
1538775655,9081,9081
1538777574,9082,9082
1538779473,9099,9099
1538781405,9097,9097
1538783340,9000,9000
1538785254,8799,8799
1538787178,8592,8592
1538789143,8400,8400
1538791041,8269,8269
1538792957,8639,8639
1538794910,9030,9030
1538796769,9272,9272
1538798682,9257,9257
1538800620,9256,9256
