DateTime,AddedIPs,RemovedIPs
1538282677,11,13
1538284587,9,22
1538286513,20,17
1538288454,25,23
1538290361,18,12
1538292272,15,16
1538294198,14,18
1538296104,18,6
1538298084,19,15
1538299947,15,14
1538301871,22,15
1538303810,25,493
1538305817,19,18
1538307650,20,16
1538309800,26,26
1538311705,16,15
1538313639,14,25
1538315557,15,17
1538317475,25,20
1538319395,17,21
1538321303,21,23
1538323287,19,14
1538325167,18,15
1538327119,13,17
1538328995,16,23
1538330927,18,10
1538332831,11,25
1538334744,26,23
1538336669,9,22
1538338631,17,21
1538340524,13,29
1538342438,19,31
1538344349,11,18
1538346270,15,20
1538348207,16,13
1538350116,14,23
1538352110,18,14
1538353952,19,22
1538355902,10,23
1538357786,14,18
1538359717,20,18
1538361705,8,28
1538363561,13,26
1538365488,16,14
1538367564,6,19
1538369575,9,19
1538371953,9,34
1538373913,18,20
1538375800,9,26
1538377731,11,26
1538379621,12,15
1538381567,9,33
1538383465,16,24
1538385420,8,28
1538387303,8,11
1538389271,10,26
1538391169,11,22
1538393189,16,18
1538395319,12,28
1538397162,21,16
1538399134,15,15
1538401016,12,15
1538402921,5,30
1538404845,15,19
1538406777,15,22
1538408678,10,18
1538410614,9,15
1538412516,10,19
1538414429,12,19
1538416365,10,23
1538418272,15,17
1538420194,30,19
1538422139,14,18
1538424125,26,19
1538425967,20,15
1538427970,25,15
1538430065,19,20
1538431959,17,13
1538433889,15,13
1538435815,14,18
1538437719,20,13
1538439654,9,14
1538441560,15,13
1538443491,10,12
1538445396,18,15
1538447799,21,20
1538449752,13,15
1538451654,17,8
1538453570,7,15
1538455713,13,8
1538457665,10,12
1538459550,7,16
1538461503,15,12
1538463386,20,11
1538465312,11,25
1538467315,16,11
1538469420,19,22
1538471344,11,11
1538473248,21,9
1538475181,12,11
1538477104,5,8
1538478991,15,11
1538480941,12,14
1538483094,19,22
1538485003,14,5
1538486902,12,20
1538488911,10,8
1538490757,12,15
1538492736,95,25
1538494618,1821,14
1538496572,104,4
1538498447,9,7
1538500384,14,12
1538502290,16,14
1538504209,11,17
1538506134,11,18
1538508053,13,18
1538509965,12,31
1538511869,17,17
1538514102,7,28
1538515956,14,12
1538517888,4,19
1538519785,9,13
1538521744,16,23
1538523652,14,13
1538525573,8,15
1538527476,10,17
1538529422,13,11
1538531330,7,19
1538533255,10,19
1538535161,7,19
1538537083,14,14
1538539000,10,15
1538540917,16,14
1538543134,13,12
1538545022,10,17
1538547206,9,16
1538549091,8,11
1538551004,10,19
1538552927,15,19
1538554846,12,16
1538556770,12,13
1538558695,12,23
1538560608,11,11
1538562512,7,14
1538564507,11,14
1538566402,24,17
1538568354,41,17
1538570449,46,21
1538572349,31,10
1538574299,29,12
1538576192,30,10
1538578112,20,16
1538580048,18,28
1538581974,26,10
1538583884,17,10
1538585813,30,15
1538587713,10,21
1538589702,15,13
1538591565,15,12
1538593546,24,19
1538595387,21,9
1538597321,13,17
1538599484,26,8
1538601415,16,13
1538603314,8,13
1538605234,18,4
