DateTime,AddedIPs,RemovedIPs
1538197979,2,2
1538199876,3,3
1538201813,1,3
1538203714,1,3
1538205641,1,0
1538207555,4,3
1538209489,1,1
1538211415,2,0
1538213307,2,0
1538215345,0,1
1538217176,4,0
1538219338,2,3
1538221249,2,3
1538223160,0,3
1538225101,3,2
1538227023,1,0
1538228926,1,1
1538230850,3,1
1538232778,2,1
1538234683,1,0
1538236601,1,1
1538238514,1,1
1538240485,2,3
1538242366,2,0
1538244337,0,1
1538246203,2,0
1538248122,1,1
1538250039,0,1
1538251962,0,2
1538255806,1,0
1538261580,1,0
1538263479,1,0
1538265410,2,0
1538267306,2,0
1538269289,3,1
1538271155,2,3
1538273085,1,1
1538274981,2,3
1538276928,1,2
1538278852,1,0
1538280760,0,2
1538282677,1,1
1538284587,2,1
1538286514,3,3
1538288455,1,1
1538290361,0,1
1538292272,1,2
1538294199,0,3
1538296105,1,1
1538298084,1,2
1538299947,1,1
1538303810,2,4
1538305817,1,3
1538307650,1,2
1538309800,1,0
1538311705,0,3
1538313640,2,2
1538315558,3,0
1538317476,2,3
1538319395,1,2
1538321304,0,1
1538323287,0,2
1538325167,2,0
1538327119,2,2
1538328996,1,1
1538330927,0,1
1538332831,1,2
1538334745,1,1
1538338632,1,0
1538340525,1,0
1538342439,0,1
1538344349,4,0
1538346270,1,0
1538348207,0,1
1538350116,2,2
1538352111,2,1
1538353953,1,3
1538355903,0,3
1538357786,2,1
1538359717,0,1
1538361705,2,2
1538363562,0,1
1538365488,2,1
1538367564,1,0
1538369575,2,2
1538371953,2,3
1538373914,1,1
1538375800,1,1
1538377732,1,1
1538379629,1,0
1538381568,3,0
1538383465,1,0
1538385421,0,1
1538387303,2,1
1538389274,1,2
1538391170,1,0
1538393189,2,1
1538395319,2,1
1538397171,0,1
1538399135,0,1
1538401016,3,2
1538402921,2,2
1538404845,0,2
1538406777,1,1
1538410614,0,1
1538412516,3,2
1538414429,3,1
1538416365,4,1
1538418272,1,0
1538420194,2,1
1538422139,1,1
1538424126,1,0
1538425967,2,2
1538427972,3,1
1538430065,0,3
1538431959,1,2
1538433890,1,0
1538435816,1,2
1538437719,0,1
1538439655,0,1
1538441560,0,1
1538443493,2,1
1538445396,0,1
1538447799,0,2
1538449752,1,0
1538451655,0,2
1538453570,3,1
1538455713,0,2
1538457665,2,1
1538459550,2,1
1538461504,0,1
1538463387,1,2
1538465312,1,0
1538467316,3,3
1538469421,1,2
1538471344,1,0
1538473248,0,1
1538475181,2,1
1538477105,3,2
1538478991,1,1
1538480942,1,2
1538483094,2,1
1538485004,4,0
1538486902,1,3
1538488912,1,2
1538490757,1,0
1538492736,0,1
1538496573,1,0
1538498448,1,2
1538500384,1,3
1538502290,0,5
1538504209,0,1
1538506135,1,1
1538508053,2,2
1538511869,2,3
1538514103,1,3
1538515956,1,0
1538517891,1,1
1538519785,0,1
1538521744,0,1
1538525573,1,0
1538527476,1,0
1538529422,0,1
1538531330,0,1
1538533258,1,0
1538535161,0,1
1538539000,1,3
1538540917,1,0
1538543134,3,0
1538545022,0,1
1538547207,1,2
1538549091,0,1
1538551005,0,1
1538552927,1,3
1538554850,1,1
1538556770,1,1
1538558696,2,0
1538560609,3,1
1538562513,2,3
1538564511,1,1
1538566402,2,1
1538568354,0,1
1538570449,1,3
1538572349,0,3
1538574299,1,2
1538576193,1,0
1538578112,2,1
1538580048,6,0
1538581974,0,1
1538583885,0,1
1538587713,1,1
1538591565,1,0
1538593546,2,2
1538595387,2,1
1538597321,3,0
1538599485,2,3
1538601415,1,1
1538603315,4,1
1538605234,1,0
1538609086,1,0
1538610995,2,0
1538612921,1,2
1538618920,2,0
1538620844,0,1
1538622753,1,0
1538626603,0,2
1538628513,2,0
1538630422,3,4
1538632337,0,1
1538634277,4,0
1538640105,0,1
1538641969,3,1
1538643873,1,2
1538645825,2,1
1538647733,0,4
1538649659,0,1
1538651593,0,2
1538653485,3,1
1538655678,2,1
1538659487,0,1
1538661439,4,1
1538663302,0,1
1538665311,1,2
1538667172,0,5
1538669126,1,0
1538671031,2,0
1538674847,0,1
1538676759,5,1
1538680601,2,3
1538682546,1,1
