DateTime,AddedIPs,RemovedIPs
1538278854,9,10
1538280762,1,9
1538282678,3,9
1538284589,3,5
1538286517,5,8
1538288456,6,16
1538290363,4,16
1538292278,2,6
1538294200,4,2
1538296106,5,2
1538298086,2,3
1538299948,2,1
1538301876,5,1
1538303812,3,2
1538305819,0,4
1538307652,4,2
1538309802,1,10
1538311707,1,11
1538313641,5,2
1538315559,1,7
1538317477,1,3
1538319396,1,2
1538321305,1,0
1538323289,7,4
1538325169,10,1
1538327121,3,5
1538328998,1,7
1538330928,6,8
1538332833,13,6
1538334746,15,4
1538336670,9,2
1538338633,0,3
1538340528,6,2
1538342440,3,3
1538344350,13,5
1538346271,10,12
1538348208,5,3
1538350118,0,7
1538352112,2,12
1538353954,1,7
1538355906,3,7
1538357788,1,1
1538359718,1,0
1538361707,2,6
1538363564,2,4
1538365489,4,8
1538367565,1,1
1538369576,2,4
1538371955,3,2
1538373915,2,5
1538375802,4,8
1538377733,0,4
1538379631,1,2
1538381570,5,5
1538383466,2,5
1538385432,3,2
1538387304,1,1
1538389276,2,3
1538391171,4,3
1538393190,2,2
1538395321,1,2
1538397172,6,3
1538399136,4,3
1538401018,2,3
1538402923,4,0
1538404846,2,3
1538406778,3,4
1538408680,2,5
1538410616,1,7
1538412518,4,7
1538414430,5,2
1538416367,6,4
1538418273,5,13
1538420196,4,13
1538422141,5,12
1538424128,3,5
1538425968,6,3
1538427975,2,4
1538430067,1,8
1538431961,3,17
1538433892,9,8
1538435817,6,2
1538437721,5,1
1538439656,2,0
1538441561,1,2
1538443494,3,2
1538445398,3,3
1538447801,0,4
1538449753,2,0
1538451657,3,1
1538453572,1,2
1538455715,3,3
1538457667,2,0
1538459551,5,6
1538461506,3,6
1538465313,1,1
1538467317,3,3
1538469422,5,3
1538471346,3,5
1538473250,0,1
1538475182,3,1
1538477106,1,3
1538478994,3,5
1538480943,4,1
1538483096,6,4
1538485005,5,4
1538486904,2,2
1538488914,1,2
1538490768,5,2
1538492738,1,6
1538494619,1,1
1538496574,0,4
1538498449,2,2
1538500386,1,3
1538502291,6,6
1538504211,3,2
1538506136,8,3
1538508055,52,4
1538509968,3,2
1538511871,2,7
1538514104,4,4
1538515958,4,0
1538517893,12,1
1538519786,40,8
1538521746,28,5
1538523654,27,5
1538525575,25,2
1538527478,31,2
1538529423,18,1
1538531332,16,3
1538533259,15,3
1538535162,22,2
1538537086,14,2
1538539002,22,1
1538540919,15,1
1538543136,21,1
1538545024,16,0
1538547208,22,4
1538549092,31,1
1538551009,25,3
1538552929,12,3
1538554851,2,2
1538556772,2,7
1538558697,9,2
1538560610,4,2
1538562514,3,0
1538564513,1,2
1538566404,7,4
1538568356,1,3
1538570451,5,4
1538572351,3,2
1538574301,5,1
1538576195,7,3
1538578114,4,4
1538580050,4,0
1538581976,3,2
1538583888,15,2
1538585815,13,1
1538587715,6,4
1538589704,8,4
1538591567,7,7
1538593553,4,3
1538595388,9,54
1538597323,14,2
1538599486,23,3
1538601417,17,1
1538603316,6,4
1538605236,3,17
1538607162,2,27
1538609087,5,27
1538610996,8,21
1538612922,3,22
1538615129,6,16
1538616994,2,15
1538618922,2,14
1538620845,5,13
1538622754,2,9
1538624696,7,21
1538626609,5,18
1538628515,7,14
1538630423,6,15
1538632338,8,14
1538634278,9,30
1538636212,11,27
1538638125,13,26
1538640106,15,11
1538641970,9,3
1538643875,10,2
1538645827,5,6
1538647735,10,5
1538649661,2,3
1538651594,24,4
1538653487,30,8
1538655679,27,4
1538657564,13,5
1538659488,7,6
1538661441,4,4
1538663303,1,7
1538665313,8,5
1538667174,5,6
1538669128,6,9
1538671032,6,16
1538672942,3,10
1538674849,3,5
1538676760,15,11
1538678702,8,4
1538680602,6,8
1538682547,1,12
