DateTime,Entries,UniqueIPs
1538846912,8246,8246
1538847870,8276,8276
1538848838,8262,8262
1538849783,8253,8253
1538850754,8188,8188
1538851712,8249,8249
1538852676,8252,8252
1538853630,8235,8235
1538854593,8261,8261
1538855570,8245,8245
1538856522,8263,8263
1538857468,8205,8205
1538858432,8244,8244
1538859389,8251,8251
1538860353,8243,8243
1538861311,8252,8252
1538862274,8231,8231
1538863230,8215,8215
1538864184,8204,8204
1538865138,8230,8230
1538865852,8226,8226
1538866574,8186,8186
1538867536,8178,8178
1538868250,8230,8230
1538869000,8166,8166
1538869947,8177,8177
1538870916,8199,8199
1538871859,8161,8161
1538872830,8167,8167
1538873540,8144,8144
1538874253,8193,8193
1538875242,8217,8217
1538875945,8210,8210
1538876676,8212,8212
1538877643,8204,8204
1538878591,8209,8209
1538879548,8226,8226
1538880497,8151,8151
1538881472,8201,8201
1538882434,8195,8195
1538883145,8201,8201
1538883861,8225,8225
1538884571,8161,8161
1538885311,8212,8212
1538886264,8216,8216
1538887223,8187,8187
1538888195,8168,8168
1538889151,8201,8201
1538889862,8202,8202
1538890584,8212,8212
1538891305,8169,8169
1538892167,8184,8184
1538892994,8141,8141
1538893950,8196,8196
1538894907,8205,8205
1538895873,8217,8217
1538896830,8209,8209
1538897790,8226,8226
1538898766,8223,8223
1538899719,8228,8228
1538900668,8205,8205
1538901383,8227,8227
1538902116,8195,8195
1538902830,8252,8252
1538903558,8222,8222
1538904507,8242,8242
1538905469,8245,8245
1538906182,8222,8222
1538906913,8241,8241
1538907620,8237,8237
1538908353,8252,8252
1538909311,8236,8236
1538910272,8191,8191
1538910983,8252,8252
1538911703,8247,8247
1538912421,8191,8191
1538913145,8206,8206
1538914118,8236,8236
1538915078,8237,8237
1538916021,8224,8224
1538916985,8231,8231
1538917952,8263,8263
1538918912,8253,8253
1538919870,8233,8233
1538920833,8276,8276
1538921797,8260,8260
1538922754,8252,8252
1538923464,8258,8258
1538924189,8233,8233
1538924903,8280,8280
1538925625,8271,8271
1538926600,8269,8269
1538927548,8278,8278
1538928541,8272,8272
1538929465,8274,8274
1538930437,8249,8249
1538931388,8239,8239
1538932349,8295,8295
1538933308,8285,8285
1538934279,8264,8264
1538935484,8243,8243
1538936175,8255,8255
1538936893,8237,8237
1538937608,8277,8277
1538938331,8252,8252
1538939053,8218,8218
1538939790,8265,8265
1538940739,8277,8277
1538941451,8259,8259
1538942171,8265,8265
1538942895,8296,8296
1538943619,8269,8269
1538944334,8205,8205
1538945058,8200,8200
1538946064,8249,8249
1538946729,8244,8244
1538947471,8244,8244
1538948433,8266,8266
1538949140,8221,8221
1538949874,8238,8238
1538950584,8222,8222
1538951315,8225,8225
1538952271,8225,8225
