DateTime,AddedIPs,RemovedIPs
1538577078,7,9
1538578582,7,2
1538579669,15,7
1538581343,20,7
1538582190,2,0
1538584116,12,2
1538584961,3,5
1538585791,5,1
1538586875,2,7
1538587722,3,0
1538589381,6,7
1538591336,14,28
1538592797,11,7
1538594918,13,4
1538596350,16,7
1538597735,10,5
1538599234,14,5
1538600731,4,5
1538602225,4,2
1538602949,3,0
1538603800,2,1
1538604933,7,8
1538606445,3,4
1538607401,5,0
1538608478,3,7
1538610035,4,4
1538611832,8,8
1538613051,6,14
1538614585,5,18
1538615751,2,3
1538616512,3,0
1538617346,2,5
1538619274,4,1
1538620536,5,7
1538622874,8,12
1538624134,7,7
1538625387,4,5
1538626465,4,3
1538628158,12,8
1538629528,5,4
1538630065,1,0
1538630923,3,1
1538632795,8,8
1538634524,9,5
1538636737,9,8
1538638242,13,3
1538640104,16,7
1538641237,9,2
1538642555,6,6
1538643929,3,3
1538645583,5,4
1538646142,1,0
1538647560,3,8
1538648723,6,3
1538649937,21,14
1538651135,17,6
1538651663,6,1
1538655274,25,11
1538656116,4,1
1538657432,12,7
1538658636,7,3
1538659715,9,0
1538660552,3,6
1538662167,9,7
1538663752,11,7
1538664982,6,0
1538666061,7,5
1538667323,10,7
1538669436,8,6
1538670627,3,11
1538671356,2,3
1538672181,3,0
1538673276,6,3
1538674838,5,4
1538675788,2,1
1538676874,4,4
1538677728,2,0
1538679928,6,8
1538681122,3,2
1538682152,4,2
1538682989,1,1
1538684130,8,11
1538684925,3,0
1538686582,2,3
1538688515,24,5
1538689968,6,2
1538691338,5,4
1538692125,5,0
1538693783,14,11
1538694943,2,6
1538697397,12,7
1538699329,10,2
1538700537,5,7
1538701835,4,8
1538703046,7,3
1538704528,9,1
1538705737,10,2
1538707349,5,8
1538708615,9,3
1538710132,12,1
1538711597,15,1
1538713727,23,3
1538715391,7,5
1538716478,5,1
1538717341,8,2
1538718973,11,8
1538720139,11,5
1538721312,8,3
1538722530,12,1
1538723679,5,5
1538724935,9,3
1538726128,9,1
1538727346,14,5
1538728538,13,3
1538730312,5,5
1538731509,2,2
1538733403,3,7
1538734542,6,3
1538735728,1,9
1538736878,9,1
1538738926,5,3
1538739743,3,12
1538741440,4,10
1538742841,4,8
1538744647,9,8
1538745269,2,1
1538746111,6,2
1538747789,9,4
1538748864,3,3
1538750554,4,17
1538751934,5,5
1538752658,1,0
1538754984,8,11
1538756432,5,6
1538757640,3,6
1538759671,10,3
1538760779,3,7
1538762043,8,8
1538763274,9,21
1538764136,11,11
1538764953,8,45
1538766339,10,132
1538768555,24,25
1538769875,13,5
1538771426,25,4
1538772643,9,5
1538774064,17,7
1538774920,11,3
1538776228,16,9
1538777688,10,11
1538778532,3,1
1538780132,11,11
1538782137,16,2
1538782948,11,10
1538783799,16,1
1538784873,8,5
1538786442,7,7
1538787944,11,6
1538789731,16,8
1538792077,31,10
1538793641,23,6
1538794610,15,2
1538796534,20,11
1538799269,38,22
1538800853,20,4
1538801800,9,5
1538802937,17,1
1538803732,5,3
1538805385,12,11
1538806546,7,4
1538807735,3,5
1538809089,6,5
1538810438,7,8
1538811644,8,7
1538813681,9,9
1538814522,4,0
1538815824,7,6
1538817278,7,9
1538818928,8,11
1538820866,17,11
1538822560,4,7
1538823399,4,3
1538824464,4,6
1538826160,7,11
1538827804,10,82
1538828937,4,100
1538830593,8,6
1538831734,4,7
1538832925,2,8
1538834197,0,6
1538835341,5,7
1538836636,4,4
1538838189,5,5
1538839838,8,7
1538841360,17,1
1538842505,18,16
1538843704,5,8
1538844911,15,3
1538846065,16,7
1538846910,10,0
1538847753,8,12
1538848922,16,4
1538849669,12,1
1538850530,7,1
1538851825,4,4
1538853264,3,6
1538854831,6,3
1538856644,7,7
1538856875,1,0
1538858545,6,24
1538859933,4,0
1538861431,10,5
1538862160,5,3
1538863409,5,7
1538865640,9,6
1538867682,5,8
1538868520,0,1
1538870143,6,5
1538871276,2,6
1538872533,2,5
1538874337,0,9
1538876439,3,6
1538877406,10,3
1538878544,10,3
1538880041,20,9
1538882076,22,8
1538882918,7,0
1538884599,17,10
1538886538,11,1
1538888186,9,10
1538889287,6,5
1538890845,10,7
1538892648,19,12
1538892876,1,2
1538894129,7,9
1538895395,11,1
1538896463,3,6
1538897731,5,42
1538898985,8,2
1538900067,1,4
1538901512,4,12
1538902583,4,4
1538903728,5,2
1538905250,2,9
1538905350,0,1
1538906596,4,9
1538907924,4,3
1538908964,2,4
1538910864,3,7
1538911719,4,2
1538912562,3,9
1538914248,7,4
1538916151,6,6
1538917531,3,10
1538919041,11,4
1538919759,5,0
1538921204,10,6
1538922529,12,4
1538924540,9,8
1538925638,8,1
1538926137,3,2
1538927784,5,14
1538928876,6,5
1538930435,12,10
1538932464,6,8
1538936075,24,19
1538937756,24,10
1538939134,13,11
1538939670,6,0
1538940518,1,0
1538941359,8,7
1538942693,5,3
1538943275,9,0
1538944829,15,7
1538946341,15,11
1538947532,15,3
1538948558,4,7
1538950235,4,4
1538951734,8,7
1538952940,6,7
1538954930,12,14
1538956242,6,7
1538957674,14,7
1538958522,3,1
1538959827,13,4
1538961046,5,4
1538962837,9,13
1538964888,9,12
1538966159,6,10
1538967932,11,11
1538968473,1,2
1538970063,7,16
1538971842,15,11
1538973638,17,44
1538975134,8,7
1538975683,4,1
1538976820,6,6
1538978186,4,3
1538980127,11,3
1538981442,10,9
1538982644,10,8
1538983727,9,2
1538984556,10,4
1538985837,13,4
1538986470,3,3
1538987733,5,7
1538989379,10,4
1538990078,4,2
1538991756,9,11
1538992599,7,3
1538993665,3,7
1538995346,7,8
1538996185,3,0
1538998128,7,6
1539000384,5,14
1539000881,1,0
1539001987,6,9
1539002544,4,6
1539003932,3,6
1539005118,6,1
1539006145,6,6
1539007834,3,8
1539009037,4,8
1539010530,6,0
1539011741,2,12
1539013234,7,11
1539015042,13,11
1539016120,1,3
1539016954,1,18
1539018871,4,17
1539020223,6,13
1539021347,2,4
1539022543,5,1
1539023731,3,8
1539025166,7,4
1539026062,4,1
1539027331,7,7
1539028534,14,6
1539029737,14,6
1539031350,29,15
1539032187,18,2
1539034129,21,8
1539035476,8,4
1539036864,13,4
1539037727,7,1
1539039935,6,9
1539040472,2,1
1539041330,4,1
1539042154,2,6
1539044073,4,3
1539045748,11,4
1539047139,8,7
1539047664,3,5
1539049353,4,20
1539051274,5,12
1539052961,4,18
1539054340,5,11
1539055854,4,9
1539057335,10,6
1539058551,2,6
1539060061,2,8
1539061536,5,9
1539063073,7,10
1539065340,13,13
1539066520,6,5
1539068178,11,8
1539069345,13,18
1539070963,26,20
