DateTime,Entries,UniqueIPs
1538577078,8857,8857
1538578582,8862,8862
1538579669,8870,8870
1538581343,8883,8883
1538582190,8885,8885
1538584116,8895,8895
1538584961,8893,8893
1538585791,8897,8897
1538586875,8892,8892
1538587722,8895,8895
1538589381,8894,8894
1538591336,8880,8880
1538592797,8884,8884
1538594918,8893,8893
1538596350,8902,8902
1538597735,8907,8907
1538599234,8916,8916
1538600731,8915,8915
1538602225,8917,8917
1538602949,8920,8920
1538603800,8921,8921
1538604933,8920,8920
1538606445,8919,8919
1538607401,8924,8924
1538608478,8920,8920
1538610035,8920,8920
1538611832,8920,8920
1538613051,8912,8912
1538614585,8899,8899
1538615751,8898,8898
1538616512,8901,8901
1538617346,8898,8898
1538619274,8901,8901
1538620536,8899,8899
1538622874,8895,8895
1538624134,8895,8895
1538625387,8894,8894
1538626465,8895,8895
1538628158,8899,8899
1538629528,8900,8900
1538630065,8901,8901
1538630923,8903,8903
1538632795,8903,8903
1538634524,8907,8907
1538636737,8908,8908
1538638242,8918,8918
1538640104,8927,8927
1538641237,8934,8934
1538642555,8934,8934
1538643929,8934,8934
1538645583,8935,8935
1538646142,8936,8936
1538647560,8931,8931
1538648723,8934,8934
1538649937,8941,8941
1538651135,8952,8952
1538651663,8957,8957
1538655274,8971,8971
1538656116,8974,8974
1538657432,8979,8979
1538658636,8983,8983
1538659715,8992,8992
1538660552,8989,8989
1538662167,8991,8991
1538663752,8995,8995
1538664982,9001,9001
1538666061,9003,9003
1538667323,9006,9006
1538669436,9008,9008
1538670627,9000,9000
1538671356,8999,8999
1538672181,9002,9002
1538673276,9005,9005
1538674838,9006,9006
1538675788,9007,9007
1538676874,9007,9007
1538677728,9009,9009
1538679928,9007,9007
1538681122,9008,9008
1538682152,9010,9010
1538682989,9010,9010
1538684130,9007,9007
1538684925,9010,9010
1538686582,9009,9009
1538688515,9028,9028
1538689968,9032,9032
1538691338,9033,9033
1538692125,9038,9038
1538693783,9041,9041
1538694943,9037,9037
1538697397,9042,9042
1538699329,9050,9050
1538700537,9048,9048
1538701835,9044,9044
1538703046,9048,9048
1538704528,9056,9056
1538705737,9064,9064
1538707349,9061,9061
1538708615,9067,9067
1538710132,9078,9078
1538711597,9092,9092
1538713727,9112,9112
1538715391,9114,9114
1538716478,9118,9118
1538717341,9124,9124
1538718973,9127,9127
1538720139,9133,9133
1538721312,9138,9138
1538722530,9149,9149
1538723679,9149,9149
1538724935,9155,9155
1538726128,9163,9163
1538727346,9172,9172
1538728538,9182,9182
1538730312,9182,9182
1538731509,9182,9182
1538733403,9178,9178
1538734542,9181,9181
1538735728,9173,9173
1538736878,9181,9181
1538738926,9183,9183
1538739743,9174,9174
1538741440,9168,9168
1538742841,9164,9164
1538744647,9165,9165
1538745269,9166,9166
1538746111,9170,9170
1538747789,9175,9175
1538748864,9175,9175
1538750554,9162,9162
1538751934,9162,9162
1538752658,9163,9163
1538754984,9160,9160
1538756432,9159,9159
1538757640,9156,9156
1538759671,9163,9163
1538760779,9159,9159
1538762043,9159,9159
1538763274,9147,9147
1538764136,9147,9147
1538764953,9110,9110
1538766339,8988,8988
1538768555,8987,8987
1538769875,8995,8995
1538771426,9016,9016
1538772643,9020,9020
1538774064,9030,9030
1538774920,9038,9038
1538776228,9045,9045
1538777688,9044,9044
1538778532,9046,9046
1538780132,9046,9046
1538782137,9060,9060
1538782948,9061,9061
1538783799,9076,9076
1538784873,9079,9079
1538786442,9079,9079
1538787944,9084,9084
1538789731,9092,9092
1538792077,9113,9113
1538793641,9130,9130
1538794610,9143,9143
1538796534,9152,9152
1538799269,9168,9168
1538800853,9184,9184
1538801800,9188,9188
1538802937,9204,9204
1538803732,9206,9206
1538805385,9207,9207
1538806546,9210,9210
1538807735,9208,9208
1538809089,9209,9209
1538810438,9208,9208
1538811644,9209,9209
1538813681,9209,9209
