DateTime,Entries,UniqueIPs
1537931747,120,120
1537933362,119,119
1537935275,117,117
1537936856,114,114
1537938343,115,115
1537939857,113,113
1537942196,113,113
1537945011,97,97
1537946074,88,88
1537947337,85,85
1537948593,84,84
1537949679,57,57
1537950866,54,54
1537952131,55,55
1537953279,51,51
1537954546,48,48
1537955743,49,49
1537956943,47,47
1537958552,45,45
1537962163,44,44
1537968339,45,45
1537970203,46,46
1537972959,45,45
1537974344,47,47
1537976598,41,41
1537980990,40,40
1537983758,39,39
1537987351,38,38
1537988742,37,37
1537990197,38,38
1537994447,37,37
1537994560,39,39
1537997441,37,37
1538000149,36,36
1538001565,37,37
1538005245,36,36
1538008851,37,37
1538010348,36,36
1538012142,34,34
1538016937,35,35
1538018994,33,33
1538020614,32,32
1538023244,35,35
1538028650,34,34
1538037752,33,33
1538039758,34,34
1538043038,35,35
1538044951,36,36
1538045790,37,37
1538046954,35,35
1538048316,36,36
1538052639,37,37
1538060798,35,35
1538063341,33,33
1538070633,34,34
1538071837,35,35
1538085402,34,34
1538086477,32,32
1538088340,31,31
1538093680,32,32
1538095248,30,30
1538096746,31,31
1538100879,32,32
1538105396,33,33
1538108940,34,34
1538110600,36,36
1538114995,37,37
1538116953,39,39
1538119844,40,40
1538120550,41,41
1538122242,39,39
1538123443,44,44
1538127468,43,43
1538129670,45,45
1538132208,46,46
1538134844,47,47
1538137745,48,48
1538138843,47,47
1538139940,48,48
1538141737,49,49
1538146592,48,48
1538149350,47,47
1538152531,48,48
1538160168,47,47
1538165387,45,45
1538170949,46,46
1538172115,46,46
1538176473,47,47
1538184538,47,47
1538187047,48,48
1538191734,49,49
1538193345,46,46
1538194549,47,47
1538203548,48,48
1538210555,49,49
1538214161,48,48
1538219023,47,47
1538220937,48,48
1538231445,48,48
1538235645,140,140
1538236606,196,196
1538238532,274,274
1538239361,274,274
1538241282,273,273
1538242137,273,273
1538243538,272,272
1538244947,270,270
1538247409,272,272
1538249734,273,273
1538251611,273,273
1538254541,274,274
1538259339,276,276
1538261806,278,278
1538263725,277,277
1538265396,276,276
1538268999,275,275
1538270089,274,274
1538271653,272,272
1538272604,271,271
1538273750,273,273
1538274938,272,272
1538276748,273,273
1538278192,273,273
1538279749,272,272
1538281784,273,273
1538283045,274,274
1538284250,273,273
1538285395,272,272
1538289337,271,271
1538291747,273,273
1538293360,269,269
1538301399,269,269
1538303341,268,268
1538307021,267,267
1538309675,266,266
1538311534,265,265
1538320556,266,266
1538322042,256,256
1538323842,330,330
1538327138,329,329
1538328534,333,333
1538329648,382,382
1538331272,445,445
