DateTime,AddedIPs,RemovedIPs
1538592782,87,187
1538594890,135,104
1538596314,71,185
1538597706,135,160
1538599212,84,215
1538600706,75,93
1538602206,83,74
1538602927,32,0
1538603773,43,0
1538604906,38,91
1538606414,66,114
1538607366,48,0
1538608453,60,89
1538610012,116,73
1538611811,99,77
1538613025,87,65
1538614567,120,31
1538615707,54,59
1538616491,69,0
1538617327,38,88
1538619246,135,66
1538620516,60,103
1538622316,66,88
1538622847,30,0
1538624109,53,86
1538625367,57,25
1538626447,63,50
1538628135,78,123
1538629257,62,67
1538630046,45,0
1538630890,33,0
1538632778,99,202
1538634487,111,6
1538636707,110,265
1538638214,78,145
1538640081,157,138
1538641211,53,1
1538642526,81,130
1538643906,53,66
1538645559,53,98
1538646126,31,0
1538647544,67,120
1538648707,36,0
1538649913,50,96
1538651106,114,107
1538651647,46,0
1538655246,227,419
1538656091,55,1
1538657411,97,186
1538658607,52,79
1538659691,111,0
1538660526,58,163
1538662139,90,72
1538663713,120,89
1538664966,97,0
1538666045,59,88
1538667307,70,169
1538669406,138,129
1538670611,93,110
1538671327,51,21
1538672167,44,0
1538673247,74,76
1538674814,80,118
1538675766,48,24
1538676846,59,129
1538677705,62,0
1538679906,148,222
1538681106,57,1
1538682127,59,109
1538682966,78,0
1538684107,70,90
1538684891,40,1
1538686566,104,73
1538688491,183,76
1538689952,101,90
1538691307,79,62
1538692089,41,0
1538693767,95,89
1538694914,59,58
1538697366,152,114
1538699287,156,108
1538700512,110,146
1538701807,89,49
1538703017,91,79
1538704112,79,34
1538705412,123,157
1538707331,91,106
1538708574,60,55
1538709907,71,0
1538710088,5,0
1538711576,92,92
1538713692,102,57
1538715367,104,109
1538716447,70,67
1538717297,50,0
1538718954,152,153
1538720108,81,68
1538721294,89,94
1538722507,113,31
1538723653,95,65
1538724908,130,83
1538726106,111,30
1538727307,133,84
1538728508,57,99
1538730008,79,117
1538731207,90,3
1538732407,72,83
1538733374,53,19
1538734516,67,72
1538735706,70,114
1538736861,45,30
1538738894,128,67
1538739727,47,166
1538741414,98,100
1538742821,81,105
1538744630,117,785
1538745247,39,0
1538746089,95,1
1538747766,159,158
1538748846,82,243
1538750526,168,167
1538752630,155,240
1538754967,193,256
1538756406,84,62
1538757607,55,72
1538757734,6,33
1538759114,77,87
1538759646,26,0
1538760761,86,126
1538762026,84,0
1538763246,64,102
1538764114,42,1
1538764927,53,111
1538766307,104,142
1538767806,117,126
1538768526,62,28
1538769853,81,78
1538771407,106,107
1538772615,74,26
1538774047,100,69
1538774894,43,0
1538776207,74,103
1538777646,56,72
1538778489,23,0
1538780107,75,161
1538782087,112,75
1538782928,51,163
1538783766,49,1
1538784847,64,214
1538786408,144,123
1538787912,92,120
1538789712,134,112
1538792047,107,106
1538793616,120,74
1538794578,63,1
1538796493,119,100
1538799247,174,242
1538800816,62,86
1538801767,56,31
1538802909,61,64
1538803694,43,0
1538805367,70,102
1538806514,91,126
1538807713,68,93
1538809064,54,59
1538810407,96,74
1538811613,65,107
1538813647,102,116
1538814495,39,0
1538815807,60,94
1538817247,109,96
1538818859,71,105
1538820846,105,124
1538822534,89,219
1538823370,47,0
1538824446,49,89
1538826128,85,165
1538827252,60,104
1538828896,112,1
1538830567,142,140
1538831708,119,152
1538832907,97,166
1538834166,71,76
1538835314,100,112
1538836607,81,91
1538838164,85,127
1538839808,126,145
1538841651,104,131
1538842806,63,0
1538843940,70,135
1538846046,129,107
1538846887,55,0
1538847735,67,131
1538848904,98,69
1538849646,45,0
1538850508,69,0
1538851807,71,121
1538853246,90,115
1538854807,81,99
1538856615,141,131
1538856846,11,0
1538858528,102,187
1538859911,75,67
1538861410,75,81
1538862135,48,38
1538863337,76,66
1538865607,158,87
1538867647,103,124
1538868490,58,0
1538870116,105,140
1538871247,62,137
1538872508,101,132
1538874307,179,141
1538876413,112,149
1538877367,63,33
1538878508,73,67
1538880013,78,90
1538882047,89,111
1538882890,43,0
1538884567,97,145
1538886498,92,62
1538888167,100,183
1538889247,65,115
1538890813,69,124
1538892618,118,169
1538892846,22,0
1538894108,83,153
1538895366,79,56
1538896446,46,152
1538897707,89,160
1538898967,70,33
1538900046,76,76
1538901476,107,148
1538902566,86,35
1538903707,91,86
1538905214,132,117
1538905328,8,32
1538906562,75,79
1538907907,89,0
1538908928,59,158
1538910846,91,77
1538911695,51,0
1538912527,31,148
1538914207,90,93
1538916127,135,147
1538917506,90,188
1538919008,106,136
1538919727,25,0
1538921188,79,202
1538922487,75,0
1538924449,116,273
1538926097,95,0
1538927766,95,156
1538928853,81,84
1538930413,147,114
1538932446,124,151
1538936047,227,261
1538937727,97,179
1538939107,63,143
1538939647,23,0
1538940494,45,0
1538941333,71,178
1538942676,66,76
1538943253,15,0
1538944812,93,117
1538946307,93,80
1538947506,66,0
1538948534,65,89
1538950208,105,68
1538951707,124,87
1538952912,90,38
1538954888,559,78
1538956213,346,200
1538957647,223,63
1538958487,50,0
1538959808,93,182
1538961008,82,55
1538962813,339,102
1538964847,263,131
1538966138,72,104
1538967588,63,135
1538968446,61,11
1538970033,83,118
1538971808,97,96
1538973613,123,114
1538975108,77,97
1538975647,36,1
1538976789,79,123
1538978167,85,1
1538980088,103,100
1538981423,71,153
1538982615,94,82
1538983695,60,0
1538984527,45,129
1538985810,77,87
1538986447,30,0
1538987714,80,124
1538989354,116,103
1538990046,61,0
1538991729,102,126
1538992566,52,3
1538993646,75,85
1538994763,112,99
1538995327,68,34
1538996167,91,1
1538998095,141,91
1539000053,110,325
1539000846,34,1
1539001970,78,622
1539002526,24,204
1539003907,104,177
1539005101,80,1
1539006126,66,172
1539007807,88,93
1539009008,95,147
1539010507,95,2
1539011707,70,134
1539013207,93,129
1539015014,110,144
1539016086,80,0
1539016935,61,113
1539018308,122,181
1539018847,33,3
1539020199,117,160
1539021306,56,38
1539022506,71,97
1539023707,78,115
1539025144,99,126
1539026046,55,12
1539027306,96,116
1539028506,75,0
1539029708,84,111
1539031327,122,136
1539032167,70,0
1539034094,144,86
1539035459,173,108
1539036847,96,76
1539037687,41,1
1539039906,90,249
1539040447,24,0
1539041290,58,0
1539042127,23,157
1539044047,68,133
1539045727,77,121
1539047114,78,74
1539047645,31,0
1539049327,84,151
1539051248,105,84
1539052939,73,94
1539054311,75,78
1539055832,106,88
1539057308,136,33
1539058516,79,77
1539060015,114,78
1539061507,117,99
1539063034,107,99
1539065320,138,129
1539066487,58,0
1539068157,93,188
1539069316,77,77
1539070927,121,166
1539071775,70,0
1539072855,70,87
1539073689,58,1
1539076453,196,287
1539078123,116,162
1539079523,69,81
1539081734,109,128
1539082894,72,71
1539083646,67,1
1539084907,107,134
1539086112,89,3
1539088088,137,108
1539089779,112,144
1539090846,83,99
1539092407,101,111
1539094207,124,97
1539094446,13,1
1539095707,73,104
1539096967,89,47
1539098114,82,77
1539098905,163,0
1539101011,403,302
1539102497,203,1
1539104166,166,161
1539105307,124,105
1539106097,92,0
1539107313,137,201
1539108847,173,91
1539111834,294,231
1539113408,183,73
1539114131,76,50
1539114966,82,1
1539116046,102,85
1539117368,126,113
1539118600,98,42
1539119706,93,96
1539121206,121,97
1539123008,200,158
1539123246,21,0
1539124403,64,443
1539126053,111,459
1539126855,44,1
1539128707,120,266
1539130212,126,93
1539131290,80,0
1539132967,171,150
1539134107,94,445
1539137002,235,230
1539139211,185,121
1539140708,127,96
1539141248,65,2
1539142818,81,102
1539143767,78,60
1539144847,95,113
1539146408,137,103
1539147907,88,126
1539149289,87,0
1539150667,75,124
1539152048,99,85
1539153608,112,113
1539154567,83,48
1539155708,120,87
1539157214,166,113
1539159247,228,144
1539160507,174,114
1539162306,272,125
1539163647,154,4
1539164537,164,163
1539165708,295,114
1539166806,212,0
1539168008,170,119
1539169491,297,112
1539170046,143,0
1539171727,354,137
1539173409,385,86
1539173647,69,1
1539174488,159,1
1539175821,263,172
1539177012,218,64
1539178090,155,0
1539179300,212,136
1539180607,267,141
1539182527,642,114
1539183906,457,115
1539185408,159,134
1539187591,406,138
1539188894,122,1
1539190567,190,182
1539191647,140,73
1539193327,242,150
1539195008,106,94
1539196114,71,0
1539196928,46,207
1539198218,83,98
1539198846,31,1
1539200526,125,120
1539201646,117,152
1539202808,93,1
1539203288,47,1
1539204986,102,122
1539206046,76,224
1539207615,110,95
1539208567,55,24
1539209708,49,55
1539211217,85,92
1539212713,56,57
1539213247,33,2
1539214508,60,59
1539215707,71,35
1539216913,67,58
1539219308,233,106
1539221289,127,77
1539222967,111,109
1539224108,56,65
1539225616,94,102
1539226568,57,63
1539227647,47,90
1539228914,74,123
1539229328,21,0
1539230168,63,0
1539231307,86,128
1539232929,107,168
1539234307,104,65
1539234848,46,0
1539235689,61,0
1539236833,77,121
1539238180,117,55
1539239437,122,122
1539240907,123,41
1539242046,97,102
1539243736,134,148
