DateTime,Entries,UniqueIPs
1538581347,5118,5118
1538582194,5130,5130
1538584123,5086,5086
1538584965,5012,5012
1538585796,5018,5018
1538586879,4931,4931
1538587726,4938,4938
1538589386,4945,4945
1538591341,4950,4950
1538592801,4885,4885
1538594926,4895,4895
1538596358,4814,4814
1538597739,4798,4798
1538599239,4682,4682
1538600735,4696,4696
1538602230,4735,4735
1538602953,4749,4749
1538603804,4767,4767
1538604940,4761,4761
1538606450,4766,4766
1538607405,4778,4778
1538608482,4780,4780
1538610039,4817,4817
1538611836,4852,4852
1538613057,4919,4919
1538614589,4990,4990
1538615755,4999,4999
1538616517,5017,5017
1538617352,5013,5013
1538619279,5045,5045
1538620540,5029,5029
1538622879,5044,5044
1538624138,5041,5041
1538625393,5052,5052
1538626470,5058,5058
1538628163,5051,5051
1538629532,5065,5065
1538630070,5076,5076
1538630931,5081,5081
1538632800,5025,5025
1538634531,5032,5032
1538636741,4986,4986
1538638246,4930,4930
1538640110,4953,4953
1538641241,4961,4961
1538642560,4968,4968
1538643933,4984,4984
1538645587,4989,4989
1538646147,4992,4992
1538647564,5002,5002
1538648727,5008,5008
1538649942,4987,4987
1538651139,5001,5001
1538651667,5027,5027
1538655278,4844,4844
1538656120,4867,4867
1538657437,4814,4814
1538658641,4795,4795
1538659722,4852,4852
1538660557,4831,4831
1538662174,4838,4838
1538663756,4899,4899
1538664986,4955,4955
1538666066,4956,4956
1538667328,4926,4926
1538669440,4932,4932
1538670632,4958,4958
1538671360,4975,4975
1538672185,4999,4999
1538673280,4999,4999
1538674842,4980,4980
1538675791,4989,4989
1538676878,4924,4924
1538677733,4934,4934
1538679931,4894,4894
1538681126,4904,4904
1538682157,4873,4873
1538682993,4925,4925
1538684134,4934,4934
1538684934,4951,4951
1538686586,4990,4990
1538688523,5056,5056
1538689973,5077,5077
1538691342,5093,5093
1538692129,5108,5108
1538693788,5118,5118
1538694948,5130,5130
1538697402,5137,5137
1538699338,5179,5179
1538700547,5174,5174
1538701839,5209,5209
1538703051,5218,5218
1538704533,5251,5251
1538705743,5221,5221
1538707353,5234,5234
1538708623,5230,5230
1538710137,5250,5250
1538711602,5249,5249
1538713736,5258,5258
1538715395,5275,5275
1538716483,5296,5296
1538717348,5308,5308
1538718978,5314,5314
1538720144,5328,5328
1538721317,5329,5329
1538722535,5340,5340
1538723683,5357,5357
1538724941,5419,5419
1538726134,5448,5448
1538727351,5493,5493
1538728543,5466,5466
1538730324,5420,5420
1538731514,5445,5445
1538733409,5447,5447
1538734547,5447,5447
1538735732,5453,5453
1538736882,5450,5450
1538738934,5465,5465
1538739747,5448,5448
1538741445,5430,5430
1538742844,5409,5409
1538744656,5343,5343
1538745274,5353,5353
1538746122,5391,5391
1538747794,5441,5441
1538748869,5448,5448
1538750558,5482,5482
1538751938,5514,5514
1538752665,5537,5537
1538754989,5587,5587
1538756437,5599,5599
1538757646,5588,5588
1538757763,5573,5573
1538759676,5548,5548
1538760784,5508,5508
1538762047,5530,5530
1538763278,5519,5519
1538764142,5516,5516
1538764959,5536,5536
1538766343,5620,5620
1538768560,5611,5611
1538769880,5600,5600
1538771431,5554,5554
1538772649,5546,5546
1538774069,5531,5531
1538774929,5533,5533
1538776232,5532,5532
1538777693,5516,5516
1538778541,5522,5522
1538780137,5495,5495
1538782142,5487,5487
1538782953,5435,5435
1538783815,5449,5449
1538784878,5338,5338
1538786447,5384,5384
1538787949,5374,5374
1538789737,5393,5393
1538792081,5391,5391
1538793648,5425,5425
1538794615,5441,5441
1538796544,5469,5469
1538799275,5431,5431
1538800858,5417,5417
1538801805,5414,5414
1538802942,5401,5401
1538803743,5415,5415
1538805391,5405,5405
1538806551,5414,5414
1538807740,5410,5410
1538809132,5384,5384
1538810443,5416,5416
1538811648,5385,5385
1538813685,5371,5371
1538814529,5374,5374
1538815829,5364,5364
1538817281,5389,5389
1538818939,5370,5370
1538820871,5382,5382
1538822565,5321,5321
1538823403,5338,5338
1538824469,5333,5333
1538826165,5313,5313
1538827815,5380,5380
1538828941,5502,5502
1538830600,5509,5509
1538831738,5518,5518
1538832930,5510,5510
1538834202,5488,5488
1538835346,5450,5450
1538836647,5454,5454
1538838199,5431,5431
1538839842,5400,5400
1538841365,5422,5422
1538842514,5368,5368
1538843714,5318,5318
1538844922,5311,5311
1538846069,5306,5306
1538846921,5309,5309
1538847757,5312,5312
1538848926,5313,5313
1538849673,5322,5322
1538850535,5343,5343
1538851829,5334,5334
1538853269,5314,5314
1538854836,5290,5290
1538856651,5255,5255
1538856880,5257,5257
1538858550,5186,5186
1538859937,5164,5164
1538861435,5138,5138
1538862164,5135,5135
1538863415,5156,5156
1538865645,5161,5161
1538867687,5171,5171
1538868524,5190,5190
1538870147,5185,5185
1538871282,5167,5167
1538872538,5168,5168
1538874343,5200,5200
1538876444,5158,5158
1538877411,5165,5165
1538878548,5178,5178
1538880047,5146,5146
1538882081,5123,5123
1538882924,5130,5130
1538884604,5096,5096
1538886587,5057,5057
1538888191,5073,5073
1538889291,5039,5039
1538890850,4996,4996
1538892653,4964,4964
1538892882,4969,4969
1538894135,4940,4940
1538895400,4928,4928
1538896468,4881,4881
1538897736,4878,4878
1538898989,4899,4899
1538900071,4901,4901
1538901521,4894,4894
1538902587,4909,4909
1538903737,4914,4914
1538905255,4951,4951
1538905358,4951,4951
1538906604,4971,4971
1538907929,4999,4999
1538908968,5000,5000
1538910869,5013,5013
1538911730,5026,5026
1538912567,5013,5013
1538914252,5011,5011
1538916155,5012,5012
1538917536,4954,4954
1538919046,4925,4925
1538919762,4926,4926
1538921209,4833,4833
1538922537,4845,4845
1538924552,4797,4797
1538926146,4832,4832
1538926950,4822,4822
1538927788,4844,4844
1538928880,4867,4867
1538930440,4888,4888
1538932469,4900,4900
1538936079,4953,4953
1538937760,4874,4874
1538939139,4851,4851
1538939675,4845,4845
1538940528,4850,4850
1538941363,4836,4836
1538942698,4834,4834
1538943279,4832,4832
1538944833,4809,4809
1538946345,4803,4803
1538947537,4825,4825
1538948563,4829,4829
1538950241,4842,4842
1538951739,4859,4859
1538952944,4876,4876
1538954939,4904,4904
1538956246,4853,4853
