DateTime,Entries,UniqueIPs
1538579667,30939,30939
1538581341,30826,30826
1538582188,30995,30995
1538584111,31111,31111
1538584959,31007,31007
1538585789,31025,31025
1538586873,30908,30908
1538587711,30933,30933
1538589379,30918,30918
1538591330,30933,30933
1538592795,30855,30855
1538594911,30862,30862
1538596336,30761,30761
1538597730,30731,30731
1538599232,30602,30602
1538600729,30614,30614
1538602222,30650,30650
1538602947,30673,30673
1538603797,30704,30704
1538604928,30667,30667
1538606439,30651,30651
1538607395,30684,30684
1538608476,30676,30676
1538610033,30716,30716
1538611829,30754,30754
1538613046,30790,30790
1538614583,30879,30879
1538615742,30882,30882
1538616510,30913,30913
1538617344,30890,30890
1538619271,30929,30929
1538620533,30896,30896
1538622871,30904,30904
1538624132,30901,30901
1538625385,30923,30923
1538626463,30925,30925
1538628156,30892,30892
1538629526,30907,30907
1538630063,30927,30927
1538630918,30947,30947
1538632793,30854,30854
1538634522,30888,30888
1538636734,30756,30756
1538638238,30679,30679
1538640095,30668,30668
1538641231,30700,30700
1538642552,30672,30672
1538643927,30664,30664
1538645576,30642,30642
1538646140,30663,30663
1538647558,30633,30633
1538648721,30657,30657
1538649935,30615,30615
1538651133,30601,30601
1538651661,30634,30634
1538655271,30419,30419
1538656114,30458,30458
1538657430,30379,30379
1538658635,30339,30339
1538659712,30416,30416
1538660550,30346,30346
1538662159,30336,30336
1538663750,30375,30375
1538664980,30454,30454
1538666059,30442,30442
1538667321,30368,30368
1538669434,30365,30365
1538670625,30376,30376
1538671352,30399,30399
1538672179,30431,30431
1538673270,30417,30417
1538674836,30375,30375
1538675786,30381,30381
1538676871,30310,30310
1538677723,30340,30340
1538679925,30260,30260
1538681120,30286,30286
1538682150,30239,30239
1538682987,30298,30298
1538684126,30296,30296
1538684918,30322,30322
1538686580,30353,30353
1538688507,30406,30406
1538689966,30394,30394
1538691334,30400,30400
1538692114,30422,30422
1538693781,30417,30417
1538694941,30424,30424
1538697395,30437,30437
1538699322,30492,30492
1538700533,30469,30469
1538701832,30499,30499
1538703042,30495,30495
1538704525,30538,30538
1538705726,30494,30494
1538707347,30485,30485
1538708597,30486,30486
1538710120,30526,30526
1538711594,30523,30523
1538713721,30532,30532
1538715389,30539,30539
1538716476,30538,30538
1538717334,30572,30572
1538718971,30564,30564
1538720133,30576,30576
1538721309,30575,30575
1538722528,30627,30627
1538723677,30644,30644
1538724931,30694,30694
1538726125,30750,30750
1538727338,30802,30802
1538728535,30747,30747
1538730308,30711,30711
1538731507,30779,30779
1538733400,30772,30772
1538734538,30772,30772
1538735726,30760,30760
1538736876,30770,30770
1538738919,30815,30815
1538739740,30772,30772
1538741439,30771,30771
1538742838,30761,30761
1538744645,30158,30158
1538745268,30185,30185
1538746106,30256,30256
1538747782,30257,30257
1538748862,30111,30111
1538750547,30139,30139
1538751928,30021,30021
1538752649,30047,30047
1538754982,30003,30003
1538756430,30033,30033
1538757634,30033,30033
1538757754,30008,30008
1538759669,30019,30019
1538760777,29988,29988
1538762041,30055,30055
1538763272,30044,30044
1538764134,30073,30073
1538764949,30070,30070
1538766334,30161,30161
1538768553,30174,30174
1538769873,30175,30175
1538771423,30141,30141
1538772639,30159,30159
1538774062,30176,30176
1538774917,30194,30194
1538776226,30155,30155
1538777679,30133,30133
1538778524,30147,30147
1538780129,30092,30092
1538782125,30107,30107
1538782946,30006,30006
1538783794,30034,30034
1538784871,29897,29897
1538786439,29939,29939
1538787937,29921,29921
1538789729,29959,29959
1538792075,29926,29926
1538793639,29954,29954
1538794607,29991,29991
1538796527,30006,30006
1538799267,29955,29955
1538800852,29922,29922
1538801798,29941,29941
1538802933,29929,29929
1538803725,29955,29955
1538805383,29937,29937
1538806540,29910,29910
1538807732,29897,29897
1538809081,29904,29904
1538810433,29919,29919
1538811640,29877,29877
1538813679,29869,29869
1538814520,29888,29888
1538815822,29857,29857
1538817275,29873,29873
1538818917,29815,29815
1538820864,29820,29820
1538822558,29727,29727
1538823396,29763,29763
1538824462,29739,29739
1538826158,29672,29672
1538827799,29738,29738
1538828930,29890,29890
1538830588,29869,29869
1538831729,29850,29850
1538832924,29810,29810
1538834191,29800,29800
1538835339,29780,29780
1538836627,29779,29779
1538838183,29752,29752
1538839833,29723,29723
1538842830,29725,29725
1538843963,29683,29683
1538846062,29687,29687
1538846903,29717,29717
1538847751,29696,29696
1538848919,29720,29720
1538849667,29743,29743
1538850524,29785,29785
1538851823,29763,29763
1538853262,29752,29752
1538854829,29733,29733
1538856640,29704,29704
1538856872,29709,29709
1538858543,29654,29654
1538859931,29651,29651
1538861426,29642,29642
1538862157,29647,29647
1538863406,29667,29667
1538865637,29711,29711
1538867675,29716,29716
1538868512,29759,29759
1538870140,29738,29738
1538871274,29687,29687
1538872530,29677,29677
1538874335,29719,29719
1538876437,29695,29695
1538877397,29706,29706
1538878541,29710,29710
1538880039,29682,29682
1538882074,29642,29642
1538882916,29665,29665
1538884596,29627,29627
1538886530,29635,29635
1538888184,29584,29584
1538889282,29546,29546
1538890842,29486,29486
1538892646,29436,29436
1538892874,29448,29448
1538894127,29393,29393
1538895392,29398,29398
1538896461,29327,29327
1538897729,29306,29306
1538898982,29336,29336
1538900064,29329,29329
1538901498,29291,29291
1538902581,29321,29321
1538903724,29322,29322
1538905247,29349,29349
1538905344,29331,29331
1538906584,29330,29330
1538907922,29397,29397
1538908960,29316,29316
1538910862,29330,29330
1538911713,29364,29364
1538912556,29278,29278
1538914239,29253,29253
1538916149,29245,29245
1538917529,29152,29152
1538919034,29112,29112
1538919752,29127,29127
1538921203,28996,28996
1538922522,29052,29052
1538924529,28917,28917
1538925636,28956,28956
1538926131,28982,28982
1538927782,28925,28925
1538928874,28927,28927
1538930433,28913,28913
1538932462,28893,28893
1538936073,28870,28870
1538937754,28767,28767
1538939132,28687,28687
1538939669,28692,28692
1538940512,28726,28726
1538941357,28661,28661
1538942691,28637,28637
1538943273,28641,28641
1538944827,28599,28599
1538946339,28599,28599
1538947530,28628,28628
1538948556,28624,28624
1538950233,28660,28660
1538951732,28673,28673
1538952938,28713,28713
1538954924,29115,29115
1538956240,29275,29275
1538957671,29429,29429
1538958515,29457,29457
1538959825,29377,29377
1538961043,29414,29414
1538962834,29649,29649
1538964878,29769,29769
1538966156,29745,29745
1538967606,29684,29684
1538968471,29713,29713
1538970061,29699,29699
1538971839,29694,29694
1538973636,29727,29727
1538975131,29711,29711
1538975680,29728,29728
1538976817,29707,29707
1538978184,29765,29765
1538980121,29754,29754
1538981439,29688,29688
1538982642,29694,29694
1538983721,29732,29732
1538984553,29682,29682
1538985839,29658,29658
1538986468,29674,29674
1538987731,29634,29634
1538989373,29645,29645
