DateTime,AddedIPs,RemovedIPs
1538581336,27,26
1538582179,14,1
1538584106,23,20
1538584946,20,35
1538585780,15,0
1538586862,21,43
1538587705,5,1
1538589374,23,69
1538591320,42,70
1538592791,26,54
1538594900,40,26
1538596324,27,48
1538597719,31,35
1538599224,25,37
1538600717,24,48
1538602216,19,49
1538602937,5,0
1538603786,13,2
1538604919,19,31
1538606426,19,48
1538607384,15,5
1538608467,20,33
1538610024,32,23
1538611825,10,27
1538613042,15,17
1538614577,23,11
1538615727,12,23
1538616505,29,1
1538617338,4,25
1538619262,30,20
1538620528,19,34
1538622861,26,36
1538624121,11,43
1538625380,18,14
1538626459,18,12
1538628151,16,30
1538629513,31,35
1538630057,9,1
1538630903,8,0
1538632787,47,49
1538634507,62,4
1538636723,54,72
1538638227,30,30
1538640090,47,23
1538641221,14,4
1538642542,21,47
1538643918,16,22
1538645567,19,35
1538646135,5,1
1538647553,21,34
1538648716,5,0
1538649929,15,26
1538651121,44,34
1538651655,7,1
1538655258,60,50
1538656109,8,0
1538657422,21,35
1538658624,16,9
1538659708,24,2
1538660539,13,40
1538662148,39,16
1538663728,19,26
1538664975,8,0
1538666054,15,32
1538667316,20,39
1538669425,26,22
1538670620,19,29
1538671344,11,6
1538672175,10,2
1538673259,28,16
1538674824,32,30
1538675778,24,8
1538676860,32,31
1538677714,32,1
1538679917,75,58
1538681116,29,1
1538682140,37,45
1538682979,21,1
1538684118,19,36
1538684914,13,1
1538686576,22,27
1538688502,53,20
1538689962,46,26
1538691325,33,24
1538692100,14,2
1538693776,33,27
1538694928,16,15
1538697384,55,39
1538699308,44,55
1538700523,30,38
1538701827,17,6
1538703033,25,16
1538704513,22,7
1538705712,10,26
1538707342,18,31
1538708591,17,20
1538710104,17,1
1538711588,21,36
1538713711,22,17
1538715380,20,36
1538716463,13,20
1538717322,10,0
1538718966,48,44
1538720120,16,23
1538721304,21,27
1538722519,22,10
1538723666,32,16
1538724924,18,33
1538726120,23,12
1538727323,14,22
1538728524,22,15
1538731224,37,14
1538732426,18,12
1538733390,12,9
1538734531,10,16
1538735721,18,41
1538736870,9,11
1538738906,22,17
1538739735,10,72
1538741426,28,24
1538742833,17,28
1538744640,22,37
1538745259,11,2
1538746100,20,2
1538747777,24,30
1538748858,12,26
1538750535,24,33
1538752644,24,19
1538754977,31,39
1538756419,14,22
1538757623,14,24
1538757746,0,2
1538759661,23,22
1538760771,29,33
1538762036,13,1
1538763262,18,30
1538764128,12,1
1538764944,14,33
1538766323,28,38
1538768544,44,25
1538769865,19,25
1538771417,35,19
1538772630,28,3
1538774057,18,14
1538774913,13,0
1538776220,30,27
1538777665,22,16
1538778509,7,3
1538780124,14,45
1538782110,19,7
1538782940,11,23
1538783779,4,2
1538784860,13,24
1538786426,24,46
1538787925,18,19
1538789723,21,35
1538792068,43,25
1538793628,23,16
1538794593,13,2
1538796509,28,23
1538799261,31,61
1538800838,13,23
1538801784,4,7
1538802922,13,17
1538803720,11,2
1538805377,21,35
1538806528,27,42
1538807726,20,26
1538809075,12,30
1538810421,23,15
1538811626,20,22
1538813664,28,31
1538814514,12,0
1538815817,19,18
1538817264,21,22
1538818869,19,17
1538820859,37,45
1538822547,17,52
1538823388,11,2
1538824457,8,25
1538826143,21,32
1538827795,26,25
1538828910,13,3
1538830578,43,22
1538831720,10,19
1538832918,24,48
1538834178,15,5
1538835328,21,13
1538836617,10,21
1538838174,17,21
1538839820,34,29
1538841660,20,26
1538842822,15,2
1538843951,18,40
1538846057,35,34
1538846899,13,0
1538847746,4,42
1538848914,24,30
1538849659,12,1
1538850518,18,1
1538851817,21,48
1538853257,23,32
1538854818,27,28
1538856630,62,42
1538856861,5,0
1538858538,42,37
1538859922,20,18
1538861421,24,21
1538862153,11,6
1538863396,13,21
1538865626,50,29
1538867661,20,36
1538868507,10,0
1538870131,25,37
1538871263,14,35
1538872521,15,23
1538874326,37,33
1538876428,20,28
1538877383,20,11
1538878528,14,15
1538880029,28,24
1538882068,32,30
1538882906,10,0
