DateTime,Entries,UniqueIPs
1538581336,4566,4566
1538582179,4579,4579
1538584106,4582,4582
1538584946,4567,4567
1538585780,4582,4582
1538586862,4560,4560
1538587705,4564,4564
1538589374,4518,4518
1538591320,4490,4490
1538592791,4462,4462
1538594900,4476,4476
1538596324,4455,4455
1538597719,4451,4451
1538599224,4439,4439
1538600717,4415,4415
1538602216,4385,4385
1538602937,4390,4390
1538603786,4401,4401
1538604919,4389,4389
1538606426,4360,4360
1538607384,4370,4370
1538608467,4357,4357
1538610024,4366,4366
1538611825,4349,4349
1538613042,4347,4347
1538614577,4359,4359
1538615727,4348,4348
1538616505,4376,4376
1538617338,4355,4355
1538619262,4365,4365
1538620528,4350,4350
1538622861,4340,4340
1538624121,4308,4308
1538625380,4312,4312
1538626459,4318,4318
1538628151,4304,4304
1538629513,4300,4300
1538630057,4308,4308
1538630903,4316,4316
1538632787,4314,4314
1538634507,4372,4372
1538636723,4354,4354
1538638227,4354,4354
1538640090,4378,4378
1538641221,4388,4388
1538642542,4362,4362
1538643918,4356,4356
1538645567,4340,4340
1538646135,4344,4344
1538647553,4331,4331
1538648716,4336,4336
1538649929,4325,4325
1538651121,4335,4335
1538651655,4341,4341
1538655258,4351,4351
1538656109,4359,4359
1538657422,4345,4345
1538658624,4352,4352
1538659708,4374,4374
1538660539,4347,4347
1538662148,4370,4370
1538663728,4363,4363
1538664975,4371,4371
1538666054,4354,4354
1538667316,4335,4335
1538669425,4339,4339
1538670620,4329,4329
1538671344,4334,4334
1538672175,4342,4342
1538673259,4354,4354
1538674824,4356,4356
1538675778,4372,4372
1538676860,4373,4373
1538677714,4404,4404
1538679917,4421,4421
1538681116,4449,4449
1538682140,4441,4441
1538682979,4461,4461
1538684118,4444,4444
1538684914,4456,4456
1538686576,4451,4451
1538688502,4484,4484
1538689962,4504,4504
1538691325,4513,4513
1538692100,4525,4525
1538693776,4531,4531
1538694928,4532,4532
1538697384,4548,4548
1538699308,4537,4537
1538700523,4529,4529
1538701827,4540,4540
1538703033,4549,4549
1538704513,4564,4564
1538705712,4548,4548
1538707342,4535,4535
1538708591,4532,4532
1538710104,4548,4548
1538711588,4533,4533
1538713711,4538,4538
1538715380,4522,4522
1538716463,4515,4515
1538717322,4525,4525
1538718966,4529,4529
1538720120,4522,4522
1538721304,4516,4516
1538722519,4528,4528
1538723666,4544,4544
1538724924,4529,4529
1538726120,4540,4540
1538727323,4532,4532
1538728524,4539,4539
1538731224,4562,4562
1538732426,4568,4568
1538733390,4571,4571
1538734531,4565,4565
1538735721,4542,4542
1538736870,4540,4540
1538738906,4545,4545
1538739735,4483,4483
1538741426,4487,4487
1538742833,4476,4476
1538744640,4461,4461
1538745259,4470,4470
1538746100,4488,4488
1538747777,4482,4482
1538748858,4468,4468
1538750535,4459,4459
1538752644,4464,4464
1538754977,4456,4456
1538756419,4448,4448
1538757623,4438,4438
1538757746,4436,4436
1538759661,4437,4437
1538760771,4433,4433
1538762036,4445,4445
1538763262,4433,4433
1538764128,4444,4444
1538764944,4425,4425
1538766323,4415,4415
1538768544,4434,4434
1538769865,4428,4428
1538771417,4444,4444
1538772630,4469,4469
1538774057,4473,4473
1538774913,4486,4486
1538776220,4489,4489
1538777665,4495,4495
1538778509,4499,4499
1538780124,4468,4468
1538782110,4480,4480
1538782940,4468,4468
1538783779,4470,4470
1538784860,4459,4459
1538786426,4437,4437
1538787925,4436,4436
1538789723,4422,4422
1538792068,4440,4440
1538793628,4447,4447
1538794593,4458,4458
1538796509,4463,4463
1538799261,4433,4433
1538800838,4423,4423
1538801784,4420,4420
1538802922,4416,4416
1538803720,4425,4425
1538805377,4411,4411
1538806528,4396,4396
1538807726,4390,4390
1538809075,4372,4372
1538810421,4380,4380
1538811626,4378,4378
1538813664,4375,4375
1538814514,4387,4387
1538815817,4388,4388
1538817264,4387,4387
1538818869,4389,4389
1538820859,4381,4381
1538822547,4346,4346
1538823388,4355,4355
1538824457,4338,4338
1538826143,4327,4327
1538827795,4328,4328
1538828910,4338,4338
1538830578,4359,4359
1538831720,4350,4350
1538832918,4326,4326
1538834178,4336,4336
1538835328,4344,4344
1538836617,4333,4333
1538838174,4329,4329
1538839820,4334,4334
1538841660,4328,4328
1538842822,4341,4341
1538843951,4319,4319
1538846057,4320,4320
1538846899,4333,4333
1538847746,4295,4295
1538848914,4289,4289
1538849659,4300,4300
1538850518,4317,4317
1538851817,4290,4290
1538853257,4281,4281
1538854818,4280,4280
1538856630,4300,4300
1538856861,4305,4305
1538858538,4310,4310
1538859922,4312,4312
1538861421,4315,4315
1538862153,4320,4320
1538863396,4312,4312
1538865626,4333,4333
1538867661,4317,4317
1538868507,4327,4327
1538870131,4315,4315
1538871263,4294,4294
1538872521,4286,4286
1538874326,4290,4290
1538876428,4282,4282
1538877383,4291,4291
1538878528,4290,4290
1538880029,4294,4294
1538882068,4296,4296
1538882906,4306,4306
1538884585,4285,4285
1538886513,4298,4298
1538888178,4270,4270
1538889268,4258,4258
1538890829,4260,4260
1538892632,4251,4251
1538892862,4259,4259
1538894120,4249,4249
1538895384,4256,4256
1538896456,4225,4225
1538897719,4214,4214
1538898977,4220,4220
1538900059,4235,4235
1538901485,4244,4244
1538902576,4267,4267
1538903719,4268,4268
1538905227,4269,4269
1538905339,4263,4263
1538906579,4267,4267
1538907917,4287,4287
1538908946,4277,4277
1538910857,4278,4278
1538911707,4292,4292
1538912543,4268,4268
1538914226,4283,4283
1538916139,4279,4279
1538917520,4282,4282
1538919024,4286,4286
1538919739,4289,4289
1538921198,4292,4292
1538922506,4302,4302
1538924519,4291,4291
1538925627,4299,4299
1538926120,4301,4301
1538927777,4304,4304
1538928866,4294,4294
1538930424,4336,4336
1538932458,4327,4327
1538936063,4318,4318
1538937744,4326,4326
1538939124,4325,4325
1538939659,4335,4335
1538940507,4344,4344
1538941352,4305,4305
1538942686,4314,4314
1538943265,4315,4315
1538944822,4328,4328
1538946323,4334,4334
1538947523,4355,4355
1538948548,4337,4337
1538950228,4337,4337
1538951722,4359,4359
1538952924,4370,4370
1538954908,4399,4399
1538956235,4392,4392
1538957661,4390,4390
1538958502,4408,4408
1538959820,4395,4395
1538961030,4384,4384
1538962825,4384,4384
1538964863,4390,4390
1538966150,4387,4387
1538967599,4377,4377
1538968466,4392,4392
1538970050,4378,4378
1538971829,4382,4382
1538973624,4383,4383
1538975121,4378,4378
1538975667,4384,4384
1538976808,4364,4364
1538978179,4373,4373
1538980104,4370,4370
1538981435,4350,4350
1538982627,4352,4352
1538983709,4361,4361
1538984540,4328,4328
1538985829,4334,4334
1538986459,4344,4344
1538987725,4340,4340
1538989367,4335,4335
1538990061,4346,4346
1538991745,4337,4337
1538992586,4344,4344
1538993657,4341,4341
1538994784,4383,4383
1538995338,4407,4407
1538996178,4438,4438
1538998108,4466,4466
1539000366,4443,4443
1539000862,4443,4443
1539001980,4444,4444
1539002535,4444,4444
1539003918,4443,4443
1539005110,4465,4465
1539006138,4459,4459
1539007819,4462,4462
1539009022,4459,4459
1539010519,4497,4497
1539011724,4500,4500
1539013223,4487,4487
1539015025,4483,4483
1539016105,4518,4518
1539016947,4522,4522
1539018860,4578,4578
