DateTime,Entries,UniqueIPs
1538828375,21360,21360
1538829338,21093,21093
1538830295,20843,20843
1538831255,20658,20658
1538832215,20527,20527
1538833414,20401,20401
1538834853,20239,20239
1538835813,20167,20167
1538836536,20132,20132
1538837253,20029,20029
1538838220,19922,19922
1538839175,19860,19860
1538840133,19786,19786
1538841095,19740,19740
1538842053,19645,19645
1538843493,19568,19568
1538844213,19503,19503
1538844936,19461,19461
1538845894,19388,19388
1538846854,19350,19350
1538847812,19296,19296
1538849253,19228,19228
1538849973,19223,19223
1538850694,19212,19212
1538851654,19183,19183
1538852614,19164,19164
1538853574,19162,19162
1538854535,19160,19160
1538855494,19155,19155
1538856453,19157,19157
1538857414,19158,19158
1538858374,19160,19160
1538859332,19162,19162
1538860293,19156,19156
1538861253,19156,19156
1538862212,19153,19153
1538863653,19155,19155
1538864616,19163,19163
1538865335,19168,19168
1538866063,19167,19167
1538867013,19166,19166
1538867934,19157,19157
1538868936,19152,19152
1538869898,19154,19154
1538870855,19156,19156
1538871673,19155,19155
1538872322,19157,19157
1538875173,19148,19148
1538875893,19149,19149
1538876613,19150,19150
1538878534,19125,19125
1538879974,19124,19124
1538880750,19116,19116
1538881415,19114,19114
1538882374,19114,19114
1538883094,19111,19111
1538883751,19111,19111
1538884304,19111,19111
1538887411,19093,19093
1538888145,19079,19079
1538889099,19073,19073
1538889814,19078,19078
1538890534,19078,19078
1538891254,19072,19072
1538891974,19073,19073
1538892933,19078,19078
1538893894,19075,19075
1538894853,19097,19097
1538895815,19103,19103
1538896774,19104,19104
1538897735,19107,19107
1538898694,19112,19112
1538899653,19108,19108
1538900614,19098,19098
1538901335,19101,19101
1538902053,19093,19093
1538902774,19095,19095
1538903493,19101,19101
1538904452,19118,19118
1538905414,19134,19134
1538906132,19138,19138
1538906853,19148,19148
1538907573,19155,19155
1538908293,19158,19158
1538909252,19168,19168
1538910213,19161,19161
1538910933,19157,19157
1538911653,19157,19157
1538912373,19150,19150
1538913094,19147,19147
1538914052,19147,19147
1538915494,19148,19148
1538916213,19140,19140
1538916933,19143,19143
1538917892,19152,19152
1538918853,19156,19156
1538919812,19153,19153
1538920773,19153,19153
1538921734,19145,19145
1538922693,19135,19135
1538923413,19136,19136
1538924132,19139,19139
1538924854,19138,19138
1538925575,19139,19139
1538926533,19128,19128
1538927493,19116,19116
1538928453,19125,19125
1538929414,19122,19122
1538930373,19125,19125
1538931334,19136,19136
1538932293,19146,19146
1538933254,19138,19138
1538935894,19165,19165
1538936613,19163,19163
1538937334,19164,19164
1538938053,19167,19167
1538939253,19161,19161
1538940212,19160,19160
1538940933,19158,19158
1538941654,19153,19153
1538942613,19158,19158
1538943334,19160,19160
1538944053,19154,19154
1538944774,19164,19164
1538945493,19167,19167
1538946452,19179,19179
1538947413,19187,19187
1538948372,19198,19198
1538949096,19205,19205
1538949813,19203,19203
1538950536,19200,19200
1538951253,19205,19205
1538952212,19212,19212
1538953656,19213,19213
1538954373,19218,19218
1538955093,19229,19229
1538956054,19230,19230
1538957013,19230,19230
1538957973,19235,19235
1538958694,19239,19239
1538960853,19263,19263
1538961813,19275,19275
1538962774,19276,19276
1538963493,19279,19279
1538964213,19281,19281
1538964933,19282,19282
1538965653,19285,19285
1538966373,19298,19298
1538967096,19299,19299
1538968052,19307,19307
1538969013,19307,19307
1538969974,19307,19307
1538971172,19317,19317
1538971893,19325,19325
1538972614,19327,19327
1538973333,19340,19340
1538974294,19342,19342
1538975013,19339,19339
1538975734,19342,19342
1538976692,19351,19351
1538977653,19357,19357
1538978613,19363,19363
1538979334,19366,19366
1538980054,19370,19370
1538980772,19383,19383
1538981494,19388,19388
1538982214,19391,19391
1538982933,19398,19398
1538983653,19406,19406
1538984373,19407,19407
1538985334,19406,19406
1538986293,19410,19410
1538987013,19411,19411
1538987734,19414,19414
1538988452,19418,19418
1538989173,19411,19411
1538990133,19407,19407
1538991093,19415,19415
1538992052,19408,19408
1538993013,19417,19417
1538993973,19414,19414
1538994935,19405,19405
1538995895,19404,19404
1538997333,19405,19405
1538998053,19410,19410
1538998773,19418,19418
1538999492,19428,19428
1539000212,19429,19429
1539000933,19427,19427
1539001653,19423,19423
1539002613,19428,19428
1539003334,19428,19428
1539004052,19429,19429
1539004774,19432,19432
