DateTime,AddedIPs,RemovedIPs
1538182093,19,14
1538185949,18,13
1538187855,24,6
1538189794,16,10
1538191694,20,12
1538193634,17,2
1538195551,18,13
1538197475,17,8
1538201314,22,22
1538203226,16,14
1538205147,17,19
1538207077,19,31
1538208983,8,0
1538210897,16,13
1538212820,5,17
1538216653,16,14
1538218590,16,2
1538220486,26,10
1538222459,19,12
1538224334,9,13
1538226256,20,18
1538228179,20,14
1538230096,13,4
1538232008,8,15
1538233933,13,0
1538235848,28,6
1538237777,11,4
1538239701,20,6
1538241614,15,15
1538243524,9,12
1538245452,20,12
1538247366,6,15
1538249289,21,10
1538251462,6,5
1538253385,13,18
1538257210,6,15
1538259139,13,5
1538261055,13,9
1538262977,19,9
1538264892,17,8
1538266811,5,0
1538268731,9,0
1538270666,13,4
1538272575,6,10
1538274493,16,8
1538276439,6,0
1538278338,14,0
1538282186,20,6
1538284110,9,3
1538286010,17,12
1538289868,29,9
1538291785,25,8
1538293698,19,11
1538297547,8,27
1538299470,8,18
1538301373,2,0
1538303317,2,5
1538305247,3,8
1538307382,17,8
1538309314,25,10
1538311234,21,4
1538313136,19,6
1538315057,10,2
1538316993,12,5
1538318895,16,15
1538320831,9,8
1538322770,6,7
1538324662,18,20
1538328489,12,6
1538330441,3,23
1538334262,6,5
1538336189,8,0
1538338121,6,9
1538341952,7,11
1538343851,25,0
1538345783,11,18
1538347692,23,5
1538349634,6,28
1538351533,3,0
1538353471,9,18
1538355369,7,0
1538357309,13,15
1538359240,4,10
1538361161,19,7
1538363072,9,0
1538364973,12,0
1538366911,13,11
1538368824,19,4
1538370995,9,15
1538372900,16,19
1538374841,14,20
1538376738,14,14
1538380579,15,24
1538382493,13,13
1538388265,11,30
1538390192,8,9
1538392115,11,4
1538394031,11,0
1538398108,16,15
1538403853,13,44
1538405802,5,7
1538407938,9,18
1538410143,6,16
1538413935,12,27
1538415875,18,18
1538417794,5,6
1538419715,10,4
1538421629,4,10
1538423554,3,14
1538425463,13,14
1538427406,13,19
1538429550,8,10
1538431478,6,20
1538433383,5,12
1538435316,13,0
1538437224,11,17
1538439152,8,3
1538441057,7,11
1538442988,16,19
1538444903,9,8
1538446837,9,7
1538448731,5,12
1538450670,11,12
1538452585,19,14
1538454511,9,10
1538456424,11,16
1538458349,16,17
1538460252,10,20
1538462183,16,17
1538464351,15,17
1538466257,14,0
1538468434,10,11
1538470354,14,22
1538472269,8,23
1538474174,12,7
1538476108,16,3
1538478040,20,4
1538479951,23,3
1538482105,16,4
1538484012,16,11
1538485954,12,15
1538487861,21,6
1538489802,16,7
1538491703,17,24
1538493634,13,0
1538497468,12,13
1538501312,22,14
1538503235,16,16
1538505145,15,10
1538507064,19,21
1538509001,12,16
1538510900,10,0
1538512829,12,14
1538514980,8,15
1538516906,16,18
1538518832,14,17
1538520736,9,10
1538522665,10,11
1538524588,8,11
1538526492,17,9
1538528449,16,7
1538530339,16,10
1538532274,13,13
1538534424,20,14
1538538249,15,30
1538542238,14,35
1538544261,11,22
1538546186,13,22
1538548111,21,9
1538550038,22,14
1538551937,15,15
1538553863,16,11
1538555798,22,13
1538557720,11,26
1538559631,18,5
1538561549,20,10
1538563458,21,8
1538565401,17,13
1538567316,15,14
1538569461,16,0
1538571370,10,12
1538573306,23,5
1538575219,18,13
1538577151,18,2
1538579065,10,8
1538580992,20,4
1538582952,22,2
1538584824,14,19
1538586739,14,22
1538588670,16,14
