DateTime,AddedIPs,RemovedIPs
1538769410,68,64
1538770355,55,47
1538771298,73,55
1538772254,70,33
1538773220,68,53
1538774200,65,60
1538775141,79,61
1538776095,73,68
1538777082,67,49
1538778019,64,51
1538778996,62,71
1538779967,57,54
1538780939,51,75
1538781877,66,73
1538782813,64,72
1538783773,75,84
1538784756,62,84
1538785715,92,65
1538786676,68,84
1538787645,53,80
1538788584,53,75
1538789536,66,78
1538790494,56,56
1538791461,69,74
1538792411,64,59
1538793399,79,53
1538794358,59,72
1538795323,53,61
1538796271,46,56
1538797236,57,62
1538798198,55,69
1538799158,64,74
1538800092,72,75
1538801057,56,69
1538802019,68,79
1538802983,64,65
1538803944,75,62
1538804898,45,59
1538805862,61,57
1538806831,60,66
1538807798,62,52
1538808759,57,78
1538809699,60,59
1538810660,45,53
1538811615,74,10
1538812596,78,62
1538813538,62,58
1538814498,45,58
1538815481,60,69
1538816441,10,52
1538817380,14,76
1538818336,12,64
1538819294,10,67
1538820260,69,59
1538821212,82,70
1538822210,120,54
1538823137,106,81
1538824098,89,64
1538825054,66,53
1538826016,75,74
1538826983,78,68
1538827942,65,61
1538828894,67,66
1538829873,62,52
1538830817,60,69
1538831779,61,54
1538832737,62,74
1538833955,58,62
1538834911,52,62
1538835868,52,66
1538836812,60,64
1538837780,69,77
1538838748,82,58
1538839691,60,77
1538840658,58,60
1538841623,63,50
1538842579,59,67
1538843551,59,60
1538844490,57,53
1538845460,73,49
1538846418,49,79
1538847372,58,79
1538848332,69,63
1538849321,50,82
1538850253,65,86
1538851214,56,80
1538852173,51,51
1538853139,56,69
1538854095,63,73
1538855057,68,78
1538856017,58,43
1538856983,56,49
1538857940,75,79
1538858891,61,73
1538859860,48,50
1538860831,45,62
1538861779,43,61
1538862738,54,50
1538863718,56,67
1538864669,69,64
1538865624,52,52
1538866581,52,62
1538867543,56,70
1538868490,57,72
1538869457,59,70
1538870426,56,59
1538871386,59,56
1538872352,72,65
1538873291,62,69
1538874265,47,52
1538875249,55,75
1538876174,56,55
1538877155,67,60
1538878115,59,63
1538879053,52,53
1538880018,50,54
1538881006,57,54
1538881941,54,52
1538882889,52,62
1538883874,49,50
1538884830,53,70
1538885797,66,51
1538886754,67,61
1538887714,57,54
1538888663,66,76
1538889616,47,67
1538890592,51,64
1538891539,56,53
1538892501,60,75
1538893458,71,68
1538894418,52,70
1538895380,64,64
1538896345,48,74
1538897295,69,65
1538898256,61,67
1538899237,60,69
1538900185,46,56
1538901138,59,63
1538902122,62,56
1538903060,74,70
1538904010,60,54
1538904985,71,60
1538905932,45,49
1538906920,47,61
1538907853,59,51
1538908814,54,49
1538909769,64,54
1538910735,68,59
1538911710,53,4
1538912659,72,92
1538913660,54,49
1538914588,54,47
1538915553,73,62
1538916500,65,48
1538917478,52,7
1538918425,58,130
1538919381,67,59
1538920356,73,59
1538921295,42,3
1538922259,63,154
1538923214,56,61
1538924196,62,54
1538925131,65,6
1538926094,69,152
1538927054,60,2
1538928046,60,141
1538928983,81,7
1538929942,64,65
1538930893,54,74
1538931866,79,112
1538932815,61,6
1538933775,82,77
1538935491,61,167
1538936410,64,114
1538937385,49,144
1538938338,58,63
1538939309,46,69
1538940273,52,49
1538941212,62,63
1538942178,68,50
1538943132,67,40
1538944105,48,60
1538945067,62,71
1538946072,49,43
1538946988,50,51
1538947935,56,41
1538948893,33,44
1538949881,49,68
1538950812,50,47
1538951779,52,65
1538952733,42,60
1538953721,50,58
1538954652,55,64
1538955622,47,75
1538956571,48,56
1538957545,51,56
1538958493,61,73
1538959737,65,146
1538960918,54,92
1538961873,69,87
1538962826,72,90
1538963800,72,49
1538964735,76,89
1538965709,60,66
1538966662,72,73
1538967631,60,79
1538968591,69,72
1538969541,66,63
1538970496,118,66
1538971469,72,82
1538972409,66,68
1538973387,74,59
1538974358,77,91
1538975298,101,4
1538976257,83,92
1538977215,53,67
1538978174,49,62
1538979145,78,145
1538980100,74,3
1538981061,58,82
1538982018,92,65
1538982994,84,160
1538983943,79,57
1538984899,76,3
1538985857,67,76
1538986819,80,166
1538987791,81,13
1538988737,82,117
1538989698,77,4
1538990662,85,152
1538991612,73,6
1538992578,72,67
1538993539,81,114
1538994498,60,59
1538995473,65,74
1538996479,76,89
1538997395,76,80
1538998344,82,70
1538999293,71,7
1539000280,73,63
1539001222,73,85
1539002190,78,84
1539003133,85,67
1539004223,68,64
1539005286,70,110
1539006274,84,144
1539007226,67,13
1539008177,79,87
1539009139,67,89
1539010097,91,156
1539011081,64,4
1539012010,61,59
1539012971,75,63
1539013936,69,73
1539014945,85,53
1539015852,56,58
1539016811,85,67
1539017790,76,60
1539018733,74,58
1539019689,56,57
1539020673,60,63
1539021619,64,64
1539022586,67,52
1539023539,65,73
1539024514,61,54
1539025717,72,52
1539026688,84,67
1539027610,62,59
1539028576,54,63
1539029535,55,41
1539030506,67,97
1539031462,76,68
1539032422,74,71
1539033421,67,66
1539034340,82,69
1539035297,46,74
1539036266,71,55
1539037215,75,56
1539038191,65,58
1539039162,65,36
1539040096,93,64
1539041062,67,67
1539042011,83,77
1539042996,84,70
1539043943,77,65
1539044893,95,57
1539045855,79,57
1539046843,93,60
1539047780,64,66
1539048740,82,62
1539049696,92,56
1539050664,82,64
1539051616,77,51
1539052595,58,66
1539053532,65,67
1539054505,77,79
1539055454,82,60
1539056419,52,77
1539057373,62,45
1539058352,59,64
1539059302,69,66
1539060263,61,46
1539061234,70,43
1539062191,66,80
1539063136,65,78
1539064120,76,104
1539065306,85,81
1539066261,91,72
1539067213,83,65
1539068188,69,51
1539069135,83,81
1539070104,78,52
1539071053,76,61
1539072272,73,86
1539073217,83,72
1539074189,51,72
1539075132,66,67
1539076117,82,80
1539077055,69,104
1539078018,75,63
1539078973,76,70
1539079944,63,57
1539080890,87,84
1539081878,69,75
1539082832,75,52
1539083784,76,90
1539084752,84,64
1539085707,66,69
1539086657,57,55
1539087624,72,78
1539088592,77,77
1539089538,81,66
1539090495,62,58
1539091578,77,71
1539092671,56,81
1539093641,82,63
1539094588,73,74
1539095544,78,74
1539096493,89,78
1539097480,84,79
1539098659,87,76
1539099618,75,83
1539100593,71,85
1539101542,76,76
1539102491,91,96
1539103478,82,82
1539104436,72,81
1539105382,84,74
1539106339,94,72
1539107317,60,76
1539108258,67,59
1539109218,66,64
1539110180,81,109
1539111139,58,59
1539112115,69,81
1539113090,76,68
1539114030,59,60
1539114991,73,73
1539116208,77,91
1539117141,76,86
1539118092,68,75
1539119079,65,84
1539120010,70,69
1539120972,84,97
1539121956,63,56
1539123137,67,114
1539124111,138,63
1539125076,41,0
1539126023,71,106
1539126985,72,5
1539127940,78,67
1539128899,81,109
1539129864,63,49
1539130810,68,23
1539131804,78,152
1539132739,80,50
1539133698,69,5
1539134692,61,43
1539135612,77,15
1539136569,83,27
1539137553,71,19
1539138489,73,9
1539139456,62,13
1539140419,67,13
1539141402,59,25
1539142336,55,13
1539143296,99,78
1539144275,78,69
1539145217,71,86
1539146174,75,115
1539147156,79,75
1539148097,71,86
1539149057,67,85
1539150014,71,67
1539150994,69,78
1539151967,105,58
1539152897,89,77
1539153857,63,67
1539154825,60,69
1539155786,62,81
1539156740,79,64
1539157698,93,81
1539158660,64,67
1539159623,67,47
1539160592,107,79
1539161558,73,72
1539162495,98,71
1539163453,115,100
1539164422,102,91
1539165397,151,94
1539166343,98,86
1539167293,72,74
1539168256,85,78
1539169235,89,73
1539170198,74,60
1539171138,80,28
1539172097,81,50
1539173083,72,29
1539174018,87,91
1539174983,93,105
1539175931,85,94
1539176920,83,132
1539177876,106,119
1539178919,76,77
1539180034,74,70
1539180974,72,82
1539181937,74,89
1539182895,69,79
1539183878,76,59
1539185084,89,46
1539186011,77,68
1539186974,53,84
1539187967,62,73
1539189133,64,72
1539190095,72,92
1539191080,60,62
1539192010,80,66
1539192985,61,159
1539193942,74,63
1539194908,42,5
1539195851,75,51
1539196815,87,69
1539197794,65,79
1539198735,99,1180
1539199689,74,92
1539200673,76,86
1539201625,78,69
1539202580,74,84
1539203534,81,56
1539204514,57,89
1539205456,70,86
1539206410,63,70
1539207390,60,71
1539208333,67,61
1539209300,66,74
1539210272,82,66
1539211211,71,27
1539212172,60,32
1539213156,75,19
1539214090,79,18
1539215056,82,25
1539216031,75,43
1539216978,71,36
1539217937,90,92
1539218912,78,96
1539220113,70,52
1539221053,74,83
1539222014,71,88
1539222989,77,94
1539223963,67,91
1539224894,78,57
1539225856,81,51
1539226821,63,42
1539227797,69,43
1539228739,87,44
1539229693,69,107
1539230678,69,99
1539231609,81,94
1539232578,64,69
1539233550,68,82
1539234495,74,66
1539235456,75,78
1539236415,38,0
1539237375,59,64
1539238375,64,71
1539239300,60,57
1539240256,73,78
1539241216,44,62
1539242202,80,73
1539243139,64,87
1539244096,79,64
1539245075,66,51
1539246020,76,61
1539246970,65,72
1539247954,69,77
1539248929,60,68
1539249869,60,66
1539250817,81,79
1539251790,91,67
1539252735,81,79
