DateTime,Entries,UniqueIPs
1538769410,2962,2962
1538770355,2951,2951
1538771298,2971,2971
1538772254,2960,2960
1538773220,2961,2961
1538774200,2956,2956
1538775141,2964,2964
1538776095,2948,2948
1538777082,2951,2951
1538778019,2949,2949
1538778996,2949,2949
1538779967,2943,2943
1538780939,2939,2939
1538781877,2939,2939
1538782813,2932,2932
1538783773,2922,2922
1538784756,2913,2913
1538785715,2930,2930
1538786676,2878,2878
1538787645,2889,2889
1538788584,2871,2871
1538789536,2876,2876
1538790494,2869,2869
1538791461,2879,2879
1538792411,2876,2876
1538793399,2883,2883
1538794358,2911,2911
1538795323,2894,2894
1538796271,2886,2886
1538797236,2896,2896
1538798198,2899,2899
1538799158,2877,2877
1538800092,2889,2889
1538801057,2861,2861
1538802019,2851,2851
1538802983,2875,2875
1538803944,2873,2873
1538804898,2864,2864
1538805862,2873,2873
1538806831,2849,2849
1538807798,2837,2837
1538808759,2846,2846
1538809699,2828,2828
1538810660,2837,2837
1538811615,2857,2857
1538812596,2882,2882
1538813538,2837,2837
1538814498,2836,2836
1538815481,2837,2837
1538816441,2828,2828
1538817380,2817,2817
1538818336,2812,2812
1538819294,2811,2811
1538820260,2839,2839
1538821212,2795,2795
1538822210,2886,2886
1538823137,2867,2867
1538824098,2858,2858
1538825054,2826,2826
1538826016,2850,2850
1538826983,2853,2853
1538827942,2883,2883
1538828894,2852,2852
1538829873,2878,2878
1538830817,2880,2880
1538831779,2902,2902
1538832737,2880,2880
1538833955,2895,2895
1538834911,2891,2891
1538835868,2913,2913
1538836812,2920,2920
1538837780,2918,2918
1538838748,2910,2910
1538839691,2925,2925
1538840658,2891,2891
1538841623,2880,2880
1538842579,2877,2877
1538843551,2870,2870
1538844490,2884,2884
1538845460,2867,2867
1538846418,2849,2849
1538847372,2849,2849
1538848332,2856,2856
1538849321,2821,2821
1538850253,2824,2824
1538851214,2840,2840
1538852173,2841,2841
1538853139,2821,2821
1538854095,2815,2815
1538855057,2827,2827
1538856017,2846,2846
1538856983,2840,2840
1538857940,2836,2836
1538858891,2829,2829
1538859860,2853,2853
1538860831,2828,2828
1538861779,2825,2825
1538862738,2839,2839
1538863718,2849,2849
1538864669,2840,2840
1538865624,2828,2828
1538866581,2828,2828
1538867543,2843,2843
1538868490,2830,2830
1538869457,2798,2798
1538870426,2776,2776
1538871386,2763,2763
1538872352,2768,2768
1538873291,2727,2727
1538874265,2729,2729
1538875249,2730,2730
1538876174,2722,2722
1538877155,2687,2687
1538878115,2688,2688
1538879053,2703,2703
1538880018,2685,2685
1538881006,2682,2682
1538881941,2687,2687
1538882889,2694,2694
1538883874,2695,2695
1538884830,2701,2701
1538885797,2702,2702
1538886754,2696,2696
1538887714,2682,2682
1538888663,2689,2689
1538889616,2673,2673
1538890592,2668,2668
1538891539,2666,2666
1538892501,2681,2681
1538893458,2694,2694
1538894418,2682,2682
1538895380,2688,2688
1538896345,2673,2673
1538897295,2718,2718
1538898256,2727,2727
1538899237,2705,2705
1538900185,2720,2720
1538901138,2715,2715
1538902122,2729,2729
1538903060,2720,2720
1538904010,2730,2730
1538904985,2741,2741
1538905932,2772,2772
1538906920,2776,2776
1538907853,2781,2781
1538908814,2754,2754
1538909769,2724,2724
1538910735,2705,2705
1538911710,2706,2706
1538912659,2689,2689
1538913660,2710,2710
1538914588,2721,2721
1538915553,2708,2708
1538916500,2714,2714
1538917478,2720,2720
1538918425,2733,2733
1538919381,2725,2725
1538920356,2742,2742
1538921295,2748,2748
1538922259,2744,2744
1538923214,2744,2744
1538924196,2738,2738
1538925131,2746,2746
1538926094,2750,2750
1538927054,2750,2750
1538928046,2757,2757
1538928983,2783,2783
1538929942,2797,2797
1538930893,2787,2787
1538931866,2802,2802
1538932815,2788,2788
1538933775,2790,2790
1538935491,2761,2761
1538936410,2741,2741
1538937385,2744,2744
1538938338,2739,2739
1538939309,2730,2730
1538940273,2750,2750
1538941212,2738,2738
1538942178,2733,2733
1538943132,2727,2727
1538944105,2731,2731
1538945067,2735,2735
1538946072,2723,2723
1538946988,2729,2729
1538947935,2743,2743
1538948893,2735,2735
1538949881,2727,2727
1538950812,2725,2725
1538951779,2716,2716
1538952733,2720,2720
1538953721,2725,2725
1538954652,2731,2731
1538955622,2725,2725
1538956571,2717,2717
1538957545,2718,2718
1538958493,2698,2698
1538959737,2692,2692
1538960918,2662,2662
1538961873,2660,2660
1538962826,2661,2661
1538963800,2668,2668
1538964735,2666,2666
1538965709,2665,2665
1538966662,2664,2664
1538967631,2649,2649
1538968591,2659,2659
1538969541,2655,2655
1538970496,2686,2686
1538971469,2690,2690
1538972409,2691,2691
1538973387,2675,2675
1538974358,2678,2678
1538975298,2611,2611
1538976257,2634,2634
1538977215,2641,2641
1538978174,2636,2636
1538979145,2659,2659
1538980100,2651,2651
1538981061,2773,2773
1538982018,2774,2774
1538982994,2772,2772
1538983943,2768,2768
1538984899,2763,2763
1538985857,2762,2762
1538986819,2741,2741
1538987791,2753,2753
1538988737,2732,2732
1538989698,2677,2677
1538990662,2737,2737
1538991612,2773,2773
1538992578,2760,2760
1538993539,2751,2751
1538994498,2765,2765
1538995473,2777,2777
1538996479,2789,2789
1538997395,2814,2814
1538998344,2815,2815
1538999293,2824,2824
1539000280,2833,2833
1539001222,2840,2840
1539002190,2837,2837
1539003133,2843,2843
1539004223,2817,2817
1539005286,2804,2804
1539006274,2828,2828
1539007226,2834,2834
1539008177,2842,2842
1539009139,2855,2855
1539010097,2858,2858
1539011081,2854,2854
1539012010,2855,2855
1539012971,2865,2865
1539013936,2864,2864
1539014945,2861,2861
1539015852,2886,2886
1539016811,2885,2885
1539017790,2895,2895
1539018733,2890,2890
1539019689,2893,2893
1539020673,2885,2885
1539021619,2898,2898
1539022586,2894,2894
1539023539,2908,2908
1539024514,2922,2922
1539025717,2917,2917
1539026688,2928,2928
1539027610,2922,2922
1539028576,2934,2934
1539029535,2919,2919
1539030506,2940,2940
1539031462,2933,2933
1539032422,2935,2935
1539033421,2942,2942
1539034340,2939,2939
1539035297,2964,2964
1539036266,2961,2961
1539037215,2963,2963
1539038191,2970,2970
1539039162,2961,2961
1539040096,2974,2974
1539041062,2964,2964
1539042011,2968,2968
1539042996,2959,2959
1539043943,2939,2939
1539044893,2939,2939
1539045855,2933,2933
1539046843,2931,2931
1539047780,2931,2931
1539048740,2945,2945
1539049696,2954,2954
1539050664,2964,2964
1539051616,2957,2957
1539052595,2956,2956
1539053532,2929,2929
1539054505,2934,2934
1539055454,2984,2984
1539056419,2958,2958
1539057373,2937,2937
1539058352,2914,2914
1539059302,2938,2938
1539060263,2951,2951
1539061234,2917,2917
1539062191,2923,2923
1539063136,2963,2963
1539064120,2951,2951
1539065306,2949,2949
1539066261,2973,2973
1539067213,2949,2949
1539068188,2954,2954
1539069135,2944,2944
1539070104,2954,2954
1539071053,2956,2956
1539072272,2983,2983
1539073217,2981,2981
1539074189,2970,2970
1539075132,2999,2999
1539076117,2960,2960
1539077055,2988,2988
1539078018,2992,2992
1539078973,2986,2986
1539079944,3010,3010
1539080890,3030,3030
1539081878,3009,3009
1539082832,3031,3031
1539083784,3021,3021
1539084752,3033,3033
1539085707,3035,3035
1539086657,3026,3026
1539087624,3028,3028
1539088592,3026,3026
1539089538,3005,3005
1539090495,3025,3025
1539091578,3019,3019
1539092671,3030,3030
1539093641,3042,3042
1539094588,3013,3013
1539095544,3034,3034
1539096493,3036,3036
1539097480,3040,3040
1539098659,3030,3030
1539099618,3036,3036
1539100593,3032,3032
1539101542,3018,3018
1539102491,3004,3004
1539103478,3004,3004
1539104436,2990,2990
1539105382,2990,2990
1539106339,2986,2986
1539107317,2986,2986
1539108258,2976,2976
1539109218,2969,2969
1539110180,2982,2982
1539111139,2961,2961
1539112115,2969,2969
1539113090,2945,2945
1539114030,2963,2963
1539114991,2964,2964
1539116208,2967,2967
1539117141,2952,2952
1539118092,2953,2953
1539119079,2958,2958
1539120010,2951,2951
1539120972,2964,2964
1539121956,2971,2971
1539123137,2977,2977
1539124111,2985,2985
1539125076,2987,2987
1539126023,2978,2978
1539126985,2982,2982
1539127940,2975,2975
1539128899,2965,2965
1539129864,2959,2959
1539130810,2947,2947
1539131804,2939,2939
1539132739,2924,2924
1539133698,2918,2918
1539134692,2902,2902
1539135612,2914,2914
1539136569,2905,2905
1539137553,2919,2919
1539138489,2918,2918
1539139456,2930,2930
1539140419,2937,2937
1539141402,2933,2933
1539142336,2944,2944
1539143296,2977,2977
1539144275,2949,2949
1539145217,2963,2963
1539146174,2988,2988
1539147156,2975,2975
1539148097,2996,2996
1539149057,2964,2964
1539150014,2990,2990
1539150994,2973,2973
1539151967,2955,2955
1539152897,2950,2950
1539153857,2951,2951
1539154825,2964,2964
1539155786,2965,2965
1539156740,2970,2970
1539157698,2972,2972
1539158660,2971,2971
1539159623,2976,2976
1539160592,2973,2973
1539161558,3000,3000
1539162495,2984,2984
1539163453,2979,2979
1539164422,2975,2975
1539165397,3014,3014
1539166343,3019,3019
1539167293,3000,3000
1539168256,3024,3024
1539169235,3008,3008
1539170198,3007,3007
1539171138,3023,3023
1539172097,3031,3031
1539173083,3044,3044
1539174018,3047,3047
1539174983,3039,3039
1539175931,3039,3039
1539176920,3036,3036
1539177876,3043,3043
1539178919,3043,3043
1539180034,3065,3065
1539180974,3051,3051
1539181937,3049,3049
1539182895,3045,3045
1539183878,3047,3047
1539185084,3055,3055
1539186011,3055,3055
1539186974,3039,3039
1539187967,3059,3059
1539189133,3058,3058
1539190095,3062,3062
1539191080,3066,3066
1539192010,3068,3068
1539192985,3053,3053
1539193942,3061,3061
1539194908,3056,3056
1539195851,3041,3041
1539196815,3042,3042
1539197794,3044,3044
1539198735,3031,3031
1539199689,3038,3038
1539200673,3042,3042
1539201625,3031,3031
1539202580,3048,3048
1539203534,3041,3041
1539204514,3035,3035
1539205456,3042,3042
1539206410,3031,3031
1539207390,3052,3052
1539208333,3037,3037
1539209300,3034,3034
1539210272,3055,3055
1539211211,3059,3059
1539212172,3029,3029
1539213156,3045,3045
1539214090,3040,3040
1539215056,3053,3053
1539216031,3049,3049
1539216978,3034,3034
1539217937,2999,2999
1539218912,3029,3029
1539220113,3002,3002
1539221053,3010,3010
1539222014,2999,2999
1539222989,2999,2999
1539223963,2974,2974
1539224894,2981,2981
1539225856,2976,2976
1539226821,3005,3005
1539227797,2965,2965
1539228739,2982,2982
1539229693,3000,3000
1539230678,2989,2989
1539231609,2989,2989
1539232578,2991,2991
1539233550,3000,3000
1539234495,2986,2986
1539235456,3000,3000
1539236415,3011,3011
1539237375,3013,3013
1539238375,3020,3020
1539239300,2988,2988
1539240256,2989,2989
1539241216,2995,2995
1539242202,3001,3001
1539243139,3019,3019
1539244096,2985,2985
1539245075,2987,2987
1539246020,3015,3015
1539246970,3019,3019
1539247954,3029,3029
1539248929,3018,3018
1539249869,3009,3009
1539250817,3026,3026
1539251790,3022,3022
1539252735,3054,3054
