DateTime,Entries,UniqueIPs
1538769408,2218,2220
1538770353,2216,2218
1538771295,2214,2216
1538772252,2227,2229
1538773218,2232,2234
1538774199,2225,2227
1538775139,2239,2241
1538776094,2239,2241
1538777080,2231,2233
1538778017,2231,2233
1538778994,2239,2241
1538779964,2245,2247
1538780938,2256,2258
1538781876,2269,2271
1538782811,2286,2288
1538783771,2308,2311
1538784754,2324,2327
1538785713,2351,2354
1538786673,2305,2308
1538787643,2291,2294
1538788582,2258,2261
1538789534,2227,2230
1538790492,2204,2207
1538791459,2199,2201
1538792410,2195,2197
1538793397,2221,2223
1538794355,2232,2234
1538795321,2231,2233
1538796269,2231,2233
1538797234,2234,2236
1538798195,2233,2235
1538799156,2228,2230
1538800089,2226,2228
1538801055,2227,2229
1538802017,2229,2231
1538802981,2223,2225
1538803942,2216,2218
1538804896,2218,2220
1538805860,2213,2215
1538806828,2205,2207
1538807796,2216,2218
1538808756,2215,2217
1538809696,2202,2204
1538810656,2194,2196
1538811613,2197,2199
1538812594,2198,2200
1538813536,2205,2207
1538814497,2207,2209
1538815477,2198,2200
1538816437,2182,2184
1538817378,2183,2185
1538818334,2174,2176
1538819293,2158,2160
1538820259,2152,2154
1538821210,2168,2170
1538822209,2195,2198
1538823132,2220,2223
1538824096,2237,2240
1538825051,2241,2244
1538826015,2226,2229
1538826982,2217,2220
1538827940,2229,2232
1538828892,2220,2223
1538829870,2224,2227
1538830814,2230,2233
1538831778,2224,2227
1538832736,2222,2225
1538833952,2206,2209
1538834910,2210,2213
1538835866,2209,2212
1538836809,2219,2222
1538837779,2209,2212
1538838747,2214,2217
1538839690,2222,2225
1538840656,2229,2232
1538841621,2217,2220
1538842578,2210,2213
1538843550,2196,2199
1538844489,2206,2209
1538845458,2214,2217
1538846416,2214,2217
1538847370,2216,2219
1538848331,2214,2217
1538849319,2212,2215
1538850252,2208,2211
1538851212,2207,2210
1538852171,2208,2211
1538853137,2205,2208
1538854093,2203,2206
1538855054,2201,2204
1538856016,2196,2199
1538856981,2200,2203
1538857938,2202,2205
1538858890,2199,2202
1538859858,2196,2199
1538860829,2190,2193
1538861777,2188,2191
1538862735,2183,2186
1538863716,2177,2180
1538864667,2176,2179
1538865622,2181,2184
1538866579,2178,2181
1538867541,2170,2173
1538868488,2164,2167
1538869454,2151,2154
1538870423,2139,2142
1538871385,2132,2135
1538872350,2129,2132
1538873289,2118,2120
1538874259,2110,2112
1538875247,2099,2101
1538876172,2099,2101
1538877153,2105,2107
1538878112,2111,2114
1538879051,2100,2103
