DateTime,AddedIPs,RemovedIPs
1538769408,7,17
1538770353,11,34
1538771295,10,21
1538772252,13,20
1538773218,12,32
1538774199,12,20
1538775139,14,9
1538776094,6,19
1538777080,8,17
1538778017,8,18
1538778994,8,18
1538779964,6,23
1538780938,11,51
1538781876,13,0
1538782811,18,25
1538783771,23,26
1538784754,16,32
1538785713,30,24
1538786673,23,35
1538787643,33,30
1538788582,13,14
1538789534,22,11
1538790492,18,34
1538791459,24,24
1538792410,21,33
1538793397,46,21
1538794355,22,26
1538795321,10,22
1538796269,16,20
1538797234,14,16
1538798195,10,26
1538799156,11,25
1538800089,5,11
1538801055,17,21
1538802017,10,30
1538802981,14,18
1538803942,15,22
1538804896,17,22
1538805860,6,13
1538806828,8,29
1538807796,21,26
1538808756,12,19
1538809696,14,0
1538810656,4,30
1538811613,14,3
1538812594,12,0
1538813536,16,10
1538814497,8,5
1538815477,7,8
1538816437,0,22
1538817378,1,70
1538818334,0,66
1538819293,0,43
1538820259,3,26
1538821210,28,35
1538822209,54,25
1538823132,25,30
1538824096,29,38
1538825051,14,28
1538826015,8,29
1538826982,11,16
1538827940,12,0
1538828892,6,0
1538829870,15,0
1538830814,15,0
1538831778,8,0
1538832736,10,0
1538833952,9,50
1538834910,10,0
1538835866,13,69
1538836809,10,113
1538837779,12,85
1538838747,13,26
1538839690,8,0
1538840656,13,19
1538841621,8,18
1538842578,7,46
1538843550,8,33
1538844489,10,30
1538845458,13,27
1538846416,8,20
1538847370,5,31
1538848331,9,40
1538849319,10,32
1538850252,4,23
1538851212,12,36
1538852171,10,20
1538853137,4,23
1538854093,10,22
1538855054,6,20
1538856016,8,19
1538856981,15,24
1538857938,13,18
1538858890,9,21
1538859858,9,17
1538860829,3,21
1538861777,10,17
1538862735,4,28
1538863716,4,28
1538864667,7,26
1538865622,18,18
1538866579,11,31
1538867541,10,24
1538868488,8,76
1538869454,12,0
1538870423,14,23
1538871385,12,31
1538872350,21,36
1538873289,19,53
1538874259,17,37
1538875247,14,30
1538876172,21,29
1538877153,21,35
1538878112,17,35
1538879051,11,27
1538880017,14,18
1538881005,13,20
1538881940,16,20
1538882888,11,12
1538883872,11,23
1538884828,14,25
1538885795,8,29
1538886752,14,30
1538887712,8,25
1538888661,15,25
1538889614,5,10
1538890590,14,30
1538891536,17,23
1538892499,8,12
1538893456,17,26
1538894416,17,14
1538895378,17,26
1538896344,12,29
1538897293,8,13
1538898253,8,3
1538899235,8,2
1538900183,12,7
1538901137,16,5
1538902121,12,17
1538903058,12,33
1538904008,12,57
1538904983,23,39
1538905931,10,31
1538906918,9,16
1538907851,8,28
1538908813,16,33
1538909768,14,22
1538910734,8,37
1538911708,10,17
1538912657,17,14
1538913658,10,16
1538914587,9,21
1538915551,11,21
1538916498,13,31
1538917476,8,19
1538918423,13,30
1538919379,13,16
1538920353,15,31
1538921294,5,29
1538922257,8,22
1538923213,10,13
1538924194,16,24
1538925130,15,8
1538926091,6,21
1538927052,15,32
1538928044,5,37
1538928982,8,15
1538929940,12,23
1538930891,8,15
1538931864,6,26
1538932814,12,15
1538933773,11,17
1538935490,11,40
1538936408,9,0
1538937382,8,40
1538938336,5,0
1538939307,7,40
1538940271,6,9
1538941209,2,0
1538942176,9,14
1538943130,7,27
1538944104,5,38
1538945065,12,0
1538946070,14,41
1538946986,7,0
1538947933,5,14
1538948891,3,21
1538949879,9,38
1538950810,13,0
1538951777,5,14
1538952732,8,11
1538953719,9,25
1538954649,10,21
1538955620,9,30
1538956569,10,31
1538957543,7,36
1538958491,14,30
1538959735,10,27
1538960916,13,35
1538961870,15,15
1538962825,19,25
1538963798,20,24
1538964733,10,19
1538965707,11,13
1538966659,5,29
1538967630,17,25
1538968590,26,22
1538969539,12,16
1538970495,20,17
1538971466,8,21
1538972407,7,17
1538973385,15,22
1538974357,25,22
1538975296,67,10
1538976254,26,11
1538977212,22,22
1538978172,13,13
1538979144,13,19
1538980099,26,1
1538981059,12,1
1538982017,15,1
1538982992,6,2
1538983941,14,11
1538984897,6,29
1538985854,9,72
1538986816,12,54
1538987790,15,13
1538988735,13,15
1538989696,22,15
1538990660,36,12
1538991611,16,10
1538992576,19,20
1538993538,19,21
1538994497,17,14
1538995471,16,25
1538996477,23,27
1538997394,9,15
1538998342,12,16
1538999291,12,21
1539000278,12,31
1539001219,19,20
1539002188,8,28
1539003131,9,22
1539004220,19,16
1539005284,12,21
1539006273,13,29
1539007224,12,28
1539008175,17,27
1539009137,8,14
1539010094,12,21
1539011079,14,18
1539012008,16,16
1539012969,12,24
1539013934,12,12
1539014943,21,13
1539015851,14,40
1539016810,18,31
1539017789,12,14
1539018731,6,31
1539019687,10,27
1539020671,12,15
1539021618,11,13
1539022584,12,21
1539023537,13,14
1539024511,6,10
1539025714,18,18
1539026686,13,14
1539027608,15,28
1539028574,11,26
1539029533,6,23
1539030505,8,29
1539031459,12,17
1539032419,11,10
1539033420,17,14
1539034338,19,16
1539035295,5,28
1539036264,7,16
1539037213,13,13
1539038189,13,17
1539039160,8,17
1539040094,11,28
1539041060,9,16
1539042009,19,31
1539042995,19,28
1539043942,26,34
1539044892,19,30
1539045852,25,26
1539046842,36,17
1539047778,16,25
1539048739,34,24
1539049694,27,32
1539050663,29,36
1539051613,22,23
1539052593,19,23
1539053531,9,22
1539054503,22,21
1539055452,21,24
1539056417,9,12
1539057372,23,28
1539058350,20,27
1539059300,15,14
1539060261,21,16
1539061232,21,27
1539062189,26,24
1539063134,8,18
1539064118,19,2
1539065303,21,8
1539066259,19,38
1539067211,17,24
1539068186,19,19
1539069132,21,34
1539070103,17,22
1539071051,12,21
1539072269,12,23
1539073215,16,35
1539074187,18,27
1539075130,14,24
1539076116,14,27
1539077052,15,22
1539078016,12,32
1539078971,15,44
1539079942,5,19
1539080889,5,27
1539081877,20,24
1539082830,14,28
1539083783,18,25
1539084750,16,29
1539085705,7,31
1539086654,9,24
1539087622,7,28
1539088590,22,20
1539089535,18,22
1539090493,12,24
1539091577,7,32
1539092669,13,26
1539093639,14,48
1539094586,14,23
1539095542,10,0
1539096492,11,12
1539097479,8,42
1539098656,16,26
1539099616,9,22
1539100591,12,28
1539101540,11,26
1539102488,13,21
1539103477,12,25
1539104434,4,21
1539105380,6,20
1539106338,12,14
1539107315,12,18
1539108255,6,13
1539109216,6,14
1539110178,11,7
1539111137,12,15
1539112112,9,17
1539113089,23,19
1539114029,8,19
1539114990,15,15
1539116206,17,12
1539117139,7,14
1539118091,12,14
1539119076,12,17
1539120007,15,7
1539120971,19,13
1539121955,10,18
1539123136,12,20
1539124110,56,20
1539125075,15,14
1539126021,12,19
1539126983,19,18
1539127938,18,33
1539128897,8,27
1539129862,20,33
1539130808,20,29
1539131803,29,10
1539132736,25,22
1539133696,25,26
1539134691,39,24
1539135610,19,19
1539136567,27,28
1539137550,20,24
1539138487,29,22
1539139454,17,17
1539140418,22,13
1539141400,13,27
1539142335,12,32
1539143294,21,17
1539144274,26,12
1539145216,17,10
1539146172,19,16
1539147155,11,9
1539148095,16,15
1539149055,13,23
1539150013,8,7
1539150993,14,13
1539151964,29,23
1539152895,22,8
1539153854,19,20
1539154823,12,0
1539155784,10,14
1539156738,20,13
1539157696,23,22
1539158658,8,0
1539159621,12,24
1539160590,25,0
1539161556,11,29
1539162493,11,0
1539163451,22,34
1539164420,13,23
1539165395,15,18
1539166340,20,9
1539167291,17,18
1539168253,14,0
1539169233,25,56
1539170197,8,27
1539171136,17,0
1539172095,12,15
1539173081,12,23
1539174017,13,23
1539174980,13,32
1539175930,14,27
1539176917,12,40
1539177874,10,16
1539178916,17,19
1539180032,22,21
1539180973,9,19
1539181936,12,16
1539182894,8,22
1539183877,13,19
1539185082,22,18
1539186010,19,16
1539186972,7,18
1539187966,13,13
1539189132,17,14
1539190093,16,16
1539191077,14,12
1539192007,10,13
1539192983,11,18
1539193939,15,20
1539194907,9,6
1539195850,10,18
1539196814,14,15
1539197793,12,12
1539198732,16,12
1539199688,13,19
1539200671,10,15
1539201623,11,11
1539202579,23,16
1539203532,12,15
1539204512,7,10
1539205454,17,28
1539206408,13,0
1539207389,11,25
1539208330,7,8
1539209298,15,17
1539210271,15,11
1539211209,12,13
1539212170,16,23
1539213154,20,24
1539214088,10,21
1539215053,20,31
1539216030,18,31
1539216977,24,25
1539217936,23,31
1539218911,23,41
1539220111,23,44
1539221050,25,33
1539222013,20,29
1539222988,21,29
1539223960,24,30
1539224892,30,26
1539225853,32,25
1539226818,16,38
1539227796,18,22
1539228737,19,22
1539229691,22,23
1539230674,9,31
1539231607,21,20
1539232576,11,24
1539233549,18,20
1539234494,18,14
1539235454,19,29
1539236413,21,21
1539237372,11,17
1539238373,13,33
1539239298,23,26
1539240255,19,18
1539241214,9,22
1539242201,14,26
1539243137,10,23
1539244093,15,22
1539245073,13,23
1539246018,22,28
1539246969,15,22
1539247951,6,20
1539248927,16,21
1539249867,17,23
1539250816,19,25
1539251788,19,23
1539252733,21,27
