DateTime,AddedIPs,RemovedIPs
1538769408,7,8
1538770353,11,13
1538771295,10,11
1538772252,13,11
1538773218,12,12
1538774199,12,12
1538775139,14,9
1538776094,6,12
1538777080,8,9
1538778017,8,10
1538778994,8,8
1538779964,6,13
1538780938,11,14
1538781876,13,18
1538782811,18,14
1538783771,23,25
1538784754,16,26
1538785713,30,19
1538786673,23,24
1538787643,33,31
1538788582,13,25
1538789534,22,25
1538790492,18,21
1538791459,24,15
1538792410,21,10
1538793397,46,22
1538794355,22,15
1538795321,10,19
1538796269,16,14
1538797234,14,23
1538798195,10,20
1538799156,11,13
1538800089,5,8
1538801055,17,18
1538802017,10,6
1538802981,14,20
1538803942,15,20
1538804896,17,12
1538805860,6,18
1538806828,8,21
1538807796,21,21
1538808756,12,16
1538809696,14,18
1538810656,4,19
1538811613,14,13
1538812594,12,16
1538813536,16,17
1538814497,8,10
1538815477,7,13
1538816437,0,13
1538817378,1,10
1538818334,0,14
1538819293,0,9
1538820259,3,14
1538821210,28,12
1538822209,54,16
1538823132,25,11
1538824096,29,15
1538825051,14,19
1538826015,8,8
1538826982,11,12
1538827940,12,8
1538828892,6,8
1538829870,15,3
1538830814,15,5
1538831778,8,5
1538832736,10,5
1538833952,9,9
1538834910,10,15
1538835866,13,6
1538836809,10,8
1538837779,12,6
1538838747,13,8
1538839690,8,14
1538840656,13,37
1538841621,8,14
1538842578,7,17
1538843550,8,19
1538844489,10,17
1538845458,13,10
1538846416,8,19
1538847370,5,20
1538848331,9,15
1538849319,10,17
1538850252,4,6
1538851212,12,9
1538852171,10,7
1538853137,4,15
1538854093,10,6
1538855054,6,7
1538856016,8,8
1538856981,15,8
1538857938,13,11
1538858890,9,16
1538859858,9,8
1538860829,3,6
1538861777,10,7
1538862735,4,12
1538863716,4,4
1538864667,7,3
1538865622,18,9
1538866579,11,14
1538867541,10,14
1538868488,8,7
1538869454,12,25
1538870423,14,19
1538871385,12,29
1538872350,21,21
1538873289,19,28
1538874259,17,20
1538875247,14,23
1538876172,21,25
1538877153,21,55
1538878112,17,21
1538879051,11,4
1538880017,14,26
1538881005,13,10
1538881940,16,14
1538882888,11,12
1538883872,11,13
1538884828,14,10
1538885795,8,12
1538886752,14,14
1538887712,8,13
1538888661,15,10
1538889614,5,5
1538890590,14,18
1538891536,17,10
1538892499,8,8
1538893456,17,9
1538894416,17,18
1538895378,17,10
1538896344,12,8
1538897293,8,1
1538898253,8,9
1538899235,8,11
1538900183,12,9
1538901137,16,7
1538902121,12,5
1538903058,12,0
1538904008,12,0
1538904983,23,0
1538905931,10,0
1538906918,9,8
1538907851,8,26
1538908813,16,49
1538909768,14,36
1538910734,8,30
1538911708,10,10
1538912657,17,17
1538913658,10,13
1538914587,9,7
1538915551,11,10
1538916498,13,10
1538917476,8,9
1538918423,13,10
1538919379,13,12
1538920353,15,9
1538921294,5,6
1538922257,8,15
1538923213,10,11
1538924194,16,18
1538925130,15,7
1538926091,6,10
1538927052,15,9
1538928044,5,7
1538928982,8,17
1538929940,12,9
1538930891,8,2
1538931864,6,9
1538932814,12,11
1538933773,11,13
1538935490,11,17
1538936408,9,21
1538937382,8,9
1538938336,5,6
1538939307,7,13
1538940271,6,4
1538941209,2,9
1538942176,9,7
1538943130,7,12
1538944104,5,13
1538945065,12,9
1538946070,14,9
1538946986,7,9
1538947933,5,8
