DateTime,Entries,UniqueIPs
1538769410,35294,37192
1538770355,35299,37191
1538771298,35319,37193
1538772254,35533,37421
1538773220,35533,37417
1538774200,35352,37211
1538775141,35575,37456
1538776095,35616,37492
1538777082,35437,37284
1538778019,35476,37320
1538778996,35477,37311
1538779967,35482,37316
1538780939,35498,37338
1538781877,35443,37282
1538782813,35423,37262
1538783773,35622,37475
1538784756,35656,37506
1538785715,35679,37532
1538786676,35742,37605
1538787645,35734,37591
1538788584,35755,37614
1538789536,35776,37647
1538790494,35775,37658
1538791461,35801,37695
1538792411,35853,37748
1538793399,35916,37798
1538794358,35920,37808
1538795323,35961,37858
1538796271,35957,37842
1538797236,35996,37879
1538798198,36040,37928
1538799158,36043,37920
1538800092,36052,37932
1538801057,36043,37914
1538802019,36044,37921
1538802983,36101,37980
1538803944,36146,38020
1538804898,36128,37996
1538805862,36176,38045
1538806831,36094,37951
1538807798,36049,37888
1538808759,36038,37876
1538809699,36053,37895
1538810660,36063,37886
1538811615,36120,37954
1538812596,36209,38038
1538813538,36232,38066
1538814498,36195,38022
1538815481,36241,38063
1538816441,36067,37884
1538817380,36088,37908
1538818336,35929,37735
1538819294,35739,37538
1538820260,35755,37560
1538821212,35761,37574
1538822210,35661,37454
1538823137,35974,37785
1538824098,36019,37814
1538825054,36029,37824
1538826016,35801,37578
1538826983,36004,37794
1538827942,36010,37796
1538828894,35999,37771
1538829873,36029,37794
1538830817,35906,37675
1538831779,35956,37721
1538832737,35849,37606
1538833955,35573,37298
1538834911,35549,37272
1538835868,35471,37184
1538836812,35650,37380
1538837780,35360,37083
1538838748,35242,36962
1538839691,35442,37178
1538840658,35391,37139
1538841623,35310,37052
1538842579,35205,36938
1538843551,34815,36499
1538844490,34988,36684
1538845460,34831,36528
1538846418,34717,36406
1538847372,34535,36217
1538848332,34422,36103
1538849321,34353,36049
1538850253,34335,36039
1538851214,34307,36018
1538852173,34264,35992
1538853139,34163,35897
1538854095,34108,35848
1538855057,34131,35882
1538856017,34094,35850
1538856983,34100,35866
1538857940,34079,35854
1538858891,34068,35859
1538859860,34000,35800
1538860831,33966,35762
1538861779,33916,35716
1538862738,33856,35660
1538863718,33793,35608
1538864669,33800,35609
1538865624,33769,35586
1538866581,33748,35561
1538867543,33726,35548
1538868490,33679,35508
1538869457,33687,35520
1538870426,33657,35479
1538871386,33600,35416
1538872352,33573,35385
1538873291,33526,35344
1538874265,33492,35313
1538875249,33426,35247
1538876174,33406,35235
1538877155,33439,35272
1538878115,33413,35258
1538879053,33388,35234
1538880018,33383,35240
1538881006,33365,35234
1538881941,33336,35212
1538882889,33301,35174
1538883874,33252,35118
1538884830,33251,35120
1538885797,33232,35103
1538886754,33191,35066
1538887714,33202,35072
1538888663,33174,35057
1538889616,33149,35041
1538890592,33140,35039
1538891539,33169,35081
1538892501,33106,35026
1538893458,33069,34995
1538894418,33032,34968
1538895380,33025,34967
1538896345,33010,34961
1538897295,32980,34929
1538898256,32912,34868
1538899237,32848,34797
1538900185,32797,34745
1538901138,32812,34755
1538902122,32995,34951
1538903060,33173,35146
1538904010,33329,35324
1538904985,33499,35504
1538905932,33389,35393
1538906920,33285,35285
1538907853,33208,35207
1538908814,33078,35078
1538909769,32914,34917
1538910735,32896,34902
1538911710,32873,34887
1538912659,32887,34896
1538913660,32847,34861
1538914588,32823,34841
1538915553,32817,34845
1538916500,32771,34794
1538917478,32765,34780
1538918425,32702,34723
1538919381,32676,34697
1538920356,32666,34685
1538921295,32843,34876
1538922259,32779,34823
1538923214,32535,34567
1538924196,32524,34565
1538925131,32693,34753
1538926094,32485,34537
1538927054,32659,34724
1538928046,32402,34435
1538928983,32460,34514
1538929942,32671,34741
1538930893,32548,34612
1538931866,32594,34671
1538932815,32818,34906
1538933775,32665,34731
1538935491,32655,34712
1538936410,32622,34688
1538937385,32646,34690
1538938338,32649,34692
1538939309,32672,34709
1538940273,32677,34710
1538941212,32668,34702
1538942178,32644,34668
1538943132,32636,34653
1538944105,32658,34670
1538945067,32690,34697
1538946072,32704,34710
1538946988,32716,34724
1538947935,32741,34759
1538948893,32756,34777
1538949881,32787,34798
1538950812,32830,34824
1538951779,32828,34834
1538952733,32864,34860
1538953721,32859,34851
1538954652,32894,34880
1538955622,32903,34894
1538956571,32908,34915
1538957545,32920,34933
1538958493,32912,34924
1538959737,32732,34740
1538960918,32778,34784
1538961873,32856,34881
1538962826,32884,34916
1538963800,32963,34998
1538964735,33015,35040
1538965709,33091,35127
1538966662,33131,35168
1538967631,33202,35249
1538968591,33274,35344
1538969541,33370,35444
1538970496,33496,35578
1538971469,33540,35637
1538972409,33550,35671
1538973387,33612,35729
1538974358,33660,35779
1538975298,33790,35891
1538976257,33862,35949
1538977215,33899,35973
1538978174,33912,35985
1538979145,33946,36010
1538980100,33991,36055
1538981061,34045,36105
1538982018,34138,36193
1538982994,34198,36246
1538983943,34273,36316
1538984899,34340,36380
1538985857,34369,36408
1538986819,34395,36428
1538987791,34437,36474
1538988737,34437,36485
1538989698,34450,36489
1538990662,34486,36526
1538991612,34512,36543
1538992578,34582,36620
1538993539,34627,36661
1538994498,34650,36692
1538995473,34674,36721
1538996479,34714,36756
1538997395,34780,36827
1538998344,34852,36900
1538999293,34906,36948
1539000280,34968,36996
1539001222,35005,37049
1539002190,35035,37063
1539003133,35127,37161
1539004223,35170,37194
1539005286,35217,37224
1539006274,35258,37262
1539007226,35303,37318
1539008177,35325,37354
1539009139,35374,37404
1539010097,35456,37493
1539011081,35513,37555
1539012010,35526,37575
1539012971,35583,37641
1539013936,35613,37674
1539014945,35630,37699
1539015852,35593,37637
1539016811,35624,37664
1539017790,35579,37620
1539018733,35571,37603
1539019689,35570,37599
1539020673,35542,37550
1539021619,35724,37742
1539022586,35713,37721
1539023539,35727,37725
1539024514,35730,37726
1539025717,35527,37506
1539026688,35532,37521
1539027610,35732,37732
1539028576,35691,37672
1539029535,35475,37425
1539030506,35520,37462
1539031462,35718,37677
1539032422,35688,37649
1539033421,35507,37449
1539034340,35521,37443
1539035297,35523,37445
1539036266,35726,37672
1539037215,35566,37506
1539038191,35556,37505
1539039162,35618,37564
1539040096,35843,37798
1539041062,35684,37625
1539042011,35861,37826
1539042996,35712,37663
1539043943,35901,37867
1539044893,35723,37678
1539045855,35943,37916
1539046843,35970,37929
1539047780,36006,37942
1539048740,36038,37965
1539049696,36039,37968
1539050664,36048,37953
1539051616,36016,37911
1539052595,36011,37898
1539053532,36013,37899
1539054505,36037,37917
1539055454,35981,37844
1539056419,35902,37760
1539057373,35910,37767
1539058352,35895,37743
1539059302,35878,37710
1539060263,35812,37646
1539061234,35780,37616
1539062191,35781,37612
1539063136,35789,37622
1539064120,35791,37625
1539065306,35817,37666
1539066261,35838,37683
1539067213,35834,37673
1539068188,35841,37680
1539069135,35750,37567
1539070104,35701,37524
1539071053,35697,37497
1539072272,35472,37244
1539073217,35675,37463
1539074189,35597,37379
1539075132,35551,37326
1539076117,35311,37070
1539077055,35525,37295
1539078018,35290,37039
1539078973,35482,37244
1539079944,35229,36963
1539080890,35459,37211
1539081878,35178,36908
1539082832,35381,37120
1539083784,35370,37104
1539084752,35150,36880
1539085707,35116,36838
1539086657,35336,37075
1539087624,35051,36774
1539088592,35018,36730
1539089538,34980,36696
1539090495,35186,36920
1539091578,35223,36963
1539092671,35203,36934
1539093641,34959,36673
1539094588,34967,36677
1539095544,34952,36655
1539096493,35215,36939
1539097480,35222,36951
1539098659,35038,36758
1539099618,35053,36779
1539100593,35042,36759
1539101542,35078,36796
1539102491,35131,36834
1539103478,35162,36864
1539104436,35207,36906
1539105382,35270,36959
1539106339,35281,36978
1539107317,35274,36982
1539108258,35290,36996
1539109218,35327,37030
1539110180,35374,37076
1539111139,35370,37076
1539112115,35573,37304
1539113090,35362,37082
1539114030,35350,37077
1539114991,35361,37088
1539116208,35388,37114
1539117141,35361,37085
1539118092,35322,37038
1539119079,35289,36995
1539120010,35306,37020
1539120972,35279,36998
1539121956,35305,37032
1539123137,35298,37018
1539124111,35348,37075
1539125076,35295,37029
1539126023,35251,36983
1539126985,35299,37019
1539127940,35297,37022
1539128899,35282,37006
1539129864,35262,36981
1539130810,35272,36991
1539131804,35258,36981
1539132739,35269,36996
1539133698,35325,37050
1539134692,35334,37063
1539135612,35359,37090
1539136569,35364,37111
1539137553,35383,37121
1539138489,35422,37153
1539139456,35402,37128
1539140419,35424,37147
1539141402,35425,37145
1539142336,35421,37143
1539143296,35477,37203
1539144275,35481,37203
1539145217,35513,37241
1539146174,35568,37294
1539147156,35584,37313
1539148097,35592,37321
1539149057,35566,37291
1539150014,35579,37302
1539150994,35582,37317
1539151967,35632,37370
1539152897,35655,37394
1539153857,35624,37351
1539154825,35612,37330
1539155786,35614,37350
1539156740,35676,37417
1539157698,35693,37431
1539158660,35908,37661
1539159623,35711,37438
1539160592,35754,37472
1539161558,35767,37495
1539162495,35969,37711
1539163453,35976,37716
1539164422,35837,37572
1539165397,35900,37643
1539166343,36117,37877
1539167293,35852,37587
1539168256,36084,37841
1539169235,35942,37673
1539170198,35938,37699
1539171138,36178,37958
1539172097,36182,37964
1539173083,35917,37689
1539174018,36135,37926
1539174983,36153,37970
1539175931,36145,37976
1539176920,35873,37707
1539177876,36110,37960
1539178919,36075,37959
1539180034,36055,37936
1539180974,36022,37903
1539181937,35988,37887
1539182895,35679,37556
1539183878,35892,37789
1539185084,35590,37494
1539186011,35793,37709
1539186974,35661,37574
1539187967,35367,37257
1539189133,35363,37267
1539190095,35353,37259
1539191080,35328,37231
1539192010,35376,37270
1539192985,35312,37218
1539193942,35350,37256
1539194908,35316,37250
1539195851,35352,37284
1539196815,35392,37331
1539197794,35422,37365
1539198735,35450,37409
1539199689,35471,37436
1539200673,35494,37452
1539201625,35553,37519
1539202580,35785,37765
1539203534,35810,37787
1539204514,35677,37635
1539205456,35907,37880
1539206410,35936,37914
1539207390,35780,37748
1539208333,36023,38011
1539209300,35999,37992
1539210272,36041,38034
1539211211,36074,38081
1539212172,36150,38166
1539213156,36238,38254
1539214090,36297,38301
1539215056,36332,38331
1539216031,36379,38365
1539216978,36432,38420
1539217937,36466,38434
1539218912,36499,38464
1539220113,36362,38306
1539221053,36551,38512
1539222014,36395,38342
1539222989,36489,38442
1539223963,36530,38477
1539224894,36563,38513
1539225856,36772,38732
1539226821,36656,38605
1539227797,36885,38846
1539228739,36754,38706
1539229693,37007,38974
1539230678,36827,38781
1539231609,37039,39013
1539232578,36836,38770
1539233550,37060,39004
1539234495,37080,39019
1539235456,37117,39047
1539236415,37106,39027
1539237375,37051,38979
1539238375,36813,38720
1539239300,36791,38703
1539240256,36967,38898
1539241216,36959,38883
1539242202,36737,38643
1539243139,36961,38888
1539244096,36896,38825
1539245075,36601,38515
1539246020,36823,38749
1539246970,36852,38787
1539247954,36842,38778
1539248929,36582,38501
1539249869,36567,38477
1539250817,36776,38695
1539251790,36760,38682
1539252735,36647,38553
