DateTime,AddedIPs,RemovedIPs
1538769410,36,58
1538770355,30,67
1538771298,44,55
1538772254,37,42
1538773220,42,53
1538774200,36,41
1538775141,36,55
1538776095,47,42
1538777082,40,67
1538778019,36,56
1538778996,38,48
1538779967,31,47
1538780939,31,51
1538781877,38,0
1538782813,31,72
1538783773,45,52
1538784756,48,44
1538785715,58,59
1538786676,61,58
1538787645,34,65
1538788584,35,47
1538789536,44,51
1538790494,31,36
1538791461,48,57
1538792411,48,62
1538793399,56,58
1538794358,41,53
1538795323,36,64
1538796271,35,72
1538797236,40,47
1538798198,33,70
1538799158,32,62
1538800092,48,67
1538801057,31,75
1538802019,41,97
1538802983,44,75
1538803944,32,80
1538804898,24,105
1538805862,37,81
1538806831,26,91
1538807798,46,93
1538808759,41,108
1538809699,31,0
1538810660,22,80
1538811615,42,11
1538812596,43,13
1538813538,53,21
1538814498,34,29
1538815481,39,85
1538816441,0,76
1538817380,4,96
1538818336,6,76
1538819294,3,58
1538820260,32,56
1538821212,52,32
1538822210,68,65
1538823137,68,57
1538824098,54,95
1538825054,40,278
1538826016,45,264
1538826983,39,51
1538827942,47,38
1538828894,34,52
1538829873,33,42
1538830817,33,49
1538831779,41,48
1538832737,41,45
1538833955,38,100
1538834911,27,0
1538835868,25,54
1538836812,33,47
1538837780,46,104
1538838748,55,36
1538839691,34,0
1538840658,31,44
1538841623,27,45
1538842579,33,55
1538843551,34,34
1538844490,35,38
1538845460,43,41
1538846418,27,42
1538847372,30,33
1538848332,39,56
1538849321,29,42
1538850253,35,41
1538851214,38,38
1538852173,30,35
1538853139,26,49
1538854095,35,44
1538855057,36,32
1538856017,31,33
1538856983,35,42
1538857940,41,38
1538858891,34,42
1538859860,22,52
1538860831,22,41
1538861779,21,42
1538862738,32,45
1538863718,31,66
1538864669,42,44
1538865624,33,38
1538866581,33,31
1538867543,30,42
1538868490,30,22
1538869457,30,0
1538870426,34,46
1538871386,40,53
1538872352,46,46
1538873291,44,56
1538874265,27,34
1538875249,32,45
1538876174,36,32
1538877155,42,48
1538878115,26,32
1538879053,33,35
1538880018,30,30
1538881006,34,34
1538881941,29,51
1538882889,37,39
1538883874,23,39
1538884830,29,32
1538885797,37,51
1538886754,37,49
1538887714,32,36
1538888663,43,47
1538889616,36,50
1538890592,36,32
1538891539,32,34
1538892501,40,41
1538893458,43,28
1538894418,35,9
1538895380,48,20
1538896345,33,9
1538897295,44,13
1538898256,39,61
1538899237,40,59
1538900185,29,60
1538901138,36,72
1538902122,31,43
1538903060,38,50
1538904010,33,42
1538904985,49,53
1538905932,28,33
1538906920,24,56
1538907853,32,47
1538908814,30,37
1538909769,40,45
1538910735,38,49
1538911710,34,39
1538912659,45,50
1538913660,25,40
1538914588,31,63
1538915553,42,40
1538916500,46,38
1538917478,38,39
1538918425,34,36
1538919381,39,41
1538920356,51,30
1538921295,34,35
1538922259,29,44
1538923214,31,37
1538924196,35,34
1538925131,48,33
1538926094,38,38
1538927054,36,36
1538928046,32,44
1538928983,55,46
1538929942,32,49
1538930893,41,32
1538931866,43,34
1538932815,39,52
1538933775,46,56
1538935491,30,69
1538936410,34,0
1538937385,27,77
1538938338,33,0
1538939309,25,84
1538940273,30,45
1538941212,37,0
1538942178,41,35
1538943132,42,41
1538944105,30,88
1538945067,46,0
1538946072,31,73
1538946988,25,0
1538947935,30,35
1538948893,16,49
1538949881,35,76
1538950812,25,0
1538951779,26,36
1538952733,31,33
1538953721,31,54
1538954652,31,42
1538955622,22,37
1538956571,28,42
1538957545,26,40
1538958493,21,53
1538959737,25,40
1538960918,33,43
1538961873,29,42
1538962826,36,58
1538963800,29,41
1538964735,44,52
1538965709,30,38
1538966662,40,34
1538967631,36,40
1538968591,45,31
1538969541,32,39
1538970496,45,28
1538971469,33,38
1538972409,36,50
1538973387,45,24
1538974358,51,33
1538975298,97,29
1538976257,58,31
1538977215,30,38
1538978174,31,26
1538979145,45,39
1538980100,50,71
1538981061,40,39
1538982018,63,35
1538982994,52,43
1538983943,47,24
1538984899,48,42
1538985857,39,38
1538986819,51,47
1538987791,41,53
1538988737,41,60
1538989698,65,40
1538990662,43,56
1538991612,34,63
1538992578,37,91
1538993539,45,71
1538994498,33,69
1538995473,36,57
1538996479,42,75
1538997395,53,71
1538998344,61,71
1538999293,52,48
1539000280,46,52
1539001222,43,54
1539002190,51,54
1539003133,55,34
1539004223,30,62
1539005286,38,57
1539006274,46,48
1539007226,46,48
1539008177,48,59
1539009139,38,47
1539010097,50,48
1539011081,52,47
1539012010,32,45
1539012971,47,59
1539013936,43,36
1539014945,55,40
1539015852,32,55
1539016811,51,46
1539017790,41,68
1539018733,45,45
1539019689,34,52
1539020673,46,40
1539021619,35,47
1539022586,37,46
1539023539,48,47
1539024514,39,36
1539025717,37,1608
1539026688,41,39
1539027610,39,37
1539028576,25,42
1539029535,33,45
1539030506,36,41
1539031462,37,37
1539032422,42,46
1539033421,25,36
1539034340,42,31
1539035297,29,39
1539036266,40,28
1539037215,45,33
1539038191,37,49
1539039162,39,42
1539040096,63,43
1539041062,45,34
1539042011,40,34
1539042996,53,43
1539043943,56,36
1539044893,59,33
1539045855,57,34
1539046843,64,36
1539047780,54,35
1539048740,52,38
1539049696,50,53
1539050664,50,76
1539051616,47,39
1539052595,37,42
1539053532,42,40
1539054505,49,42
1539055454,33,33
1539056419,35,41
1539057373,43,53
1539058352,39,42
1539059302,39,42
1539060263,36,44
1539061234,52,41
1539062191,41,49
1539063136,39,46
1539064120,45,44
1539065306,49,43
1539066261,60,57
1539067213,51,38
1539068188,47,49
1539069135,38,40
1539070104,47,78
1539071053,44,45
1539072272,51,46
1539073217,46,38
1539074189,32,39
1539075132,48,62
1539076117,57,43
1539077055,52,52
1539078018,52,58
1539078973,43,54
1539079944,39,65
1539080890,61,77
1539081878,44,49
1539082832,39,55
1539083784,50,47
1539084752,50,53
1539085707,34,49
1539086657,31,50
1539087624,43,54
1539088592,37,53
1539089538,53,49
1539090495,36,55
1539091578,48,47
1539092671,33,63
1539093641,46,101
1539094588,51,58
1539095544,49,0
1539096493,48,64
1539097480,52,134
1539098659,52,57
1539099618,40,65
1539100593,44,56
1539101542,45,57
1539102491,53,59
1539103478,52,41
1539104436,47,50
1539105382,41,40
1539106339,59,47
1539107317,32,40
1539108258,43,55
1539109218,38,55
1539110180,56,42
1539111139,30,49
1539112115,35,804
1539113090,44,40
1539114030,28,51
1539114991,33,52
1539116208,36,47
1539117141,35,47
1539118092,33,44
1539119079,33,30
1539120010,37,38
1539120972,36,64
1539121956,37,47
1539123137,37,42
1539124111,103,59
1539125076,25,40
1539126023,34,43
1539126985,48,43
1539127940,37,55
1539128899,49,57
1539129864,35,55
1539130810,42,53
1539131804,38,58
1539132739,52,49
1539133698,54,52
1539134692,49,40
1539135612,56,40
1539136569,56,38
1539137553,53,40
1539138489,48,41
1539139456,44,35
1539140419,43,40
1539141402,39,50
1539142336,35,41
1539143296,37,32
1539144275,53,46
1539145217,35,45
1539146174,50,53
1539147156,36,57
1539148097,43,56
1539149057,35,40
1539150014,44,48
1539150994,42,65
1539151967,69,73
1539152897,55,50
1539153857,45,52
1539154825,38,0
1539155786,42,58
1539156740,47,52
1539157698,54,99
1539158660,42,0
1539159623,46,105
1539160592,59,0
1539161558,30,109
1539162495,40,0
1539163453,59,110
1539164422,53,55
1539165397,69,61
1539166343,50,48
1539167293,42,56
1539168256,40,0
1539169235,35,105
1539170198,38,78
1539171138,45,0
1539172097,39,49
1539173083,41,61
1539174018,42,59
1539174983,55,64
1539175931,51,62
1539176920,48,122
1539177876,63,57
1539178919,54,74
1539180034,43,58
1539180974,41,53
1539181937,41,58
1539182895,34,57
1539183878,46,59
1539185084,41,38
1539186011,41,68
1539186974,33,65
1539187967,37,67
1539189133,40,53
1539190095,44,58
1539191080,36,55
1539192010,44,57
1539192985,28,55
1539193942,41,52
1539194908,30,63
1539195851,41,62
1539196815,45,63
1539197794,40,55
1539198735,55,1853
1539199689,39,42
1539200673,36,48
1539201625,38,37
1539202580,37,41
1539203534,55,39
1539204514,36,63
1539205456,42,41
1539206410,37,0
