DateTime,AddedIPs,RemovedIPs
1538769410,1175,1175
1538770355,1160,1160
1538771298,1223,1223
1538772254,1219,1219
1538773220,1145,1145
1538774200,1176,1176
1538775141,1240,1240
1538776095,1261,1261
1538777082,1208,1208
1538778019,1200,1200
1538778996,1241,1241
1538779967,1217,1217
1538780939,1201,1201
1538781877,1169,1169
1538782813,1181,1181
1538783773,1206,1206
1538784756,1245,1245
1538785715,1303,1303
1538786676,1262,1262
1538787645,1212,1212
1538788584,1230,1230
1538789536,1268,1268
1538790494,1239,1239
1538791461,1227,1227
1538792411,1242,1242
1538793399,1247,1247
1538794358,1214,1214
1538795323,1244,1244
1538796271,1279,1279
1538797236,1268,1268
1538798198,1309,1309
1538799158,1298,1298
1538800092,1331,1331
1538801057,1325,1325
1538802019,1261,1261
1538802983,1315,1315
1538803944,1261,1261
1538804898,1237,1237
1538805862,1260,1260
1538806831,1250,1250
1538807798,1285,1285
1538808759,1285,1285
1538809699,1276,1276
1538810660,1174,1174
1538811615,1350,1350
1538812596,1652,1652
1538813538,1563,1563
1538814498,1338,1338
1538815481,1312,1312
1538816441,139,139
1538817380,155,155
1538818336,196,196
1538819294,199,199
1538820260,1510,1510
1538821212,1636,1636
1538822210,1624,1624
1538823137,1637,1637
1538824098,1436,1436
1538825054,1215,1215
1538826016,1178,1178
1538826983,1165,1165
1538827942,1210,1210
1538828894,1236,1236
1538829873,1231,1231
1538830817,1202,1202
1538831779,1186,1186
1538832737,1217,1217
1538833955,1207,1207
1538834911,1194,1194
1538835868,1213,1213
1538836812,1208,1208
1538837780,1208,1208
1538838748,1205,1205
1538839691,1188,1188
1538840658,1193,1193
1538841623,1235,1235
1538842579,1232,1232
1538843551,1168,1168
1538844490,1136,1136
1538845460,1145,1145
1538846418,1171,1171
1538847372,1177,1177
1538848332,1181,1181
1538849321,1192,1192
1538850253,1221,1221
1538851214,1212,1212
1538852173,1160,1160
1538853139,1172,1172
1538854095,1230,1230
1538855057,1214,1214
1538856017,1255,1255
1538856983,1229,1229
1538857940,1237,1237
1538858891,1216,1216
1538859860,1214,1214
1538860831,1206,1206
1538861779,1181,1181
1538862738,1171,1171
1538863718,1191,1191
1538864669,1238,1238
1538865624,1212,1212
1538866581,1192,1192
1538867543,1160,1160
1538868490,1228,1228
1538869457,1219,1219
1538870426,1195,1195
1538871386,1179,1179
1538872352,1215,1215
1538873291,1201,1201
1538874265,1219,1219
1538875249,1172,1172
1538876174,1181,1181
1538877155,1196,1196
1538878115,1183,1183
1538879053,1195,1195
1538880018,1208,1208
1538881006,1167,1167
1538881941,1167,1167
1538882889,1206,1206
1538883874,1231,1231
1538884830,1183,1183
1538885797,1225,1225
1538886754,1256,1256
1538887714,1263,1263
1538888663,1226,1226
1538889616,1248,1248
1538890592,1212,1212
1538891539,1227,1227
1538892501,1223,1223
1538893458,1237,1237
1538894418,1227,1227
1538895380,1197,1197
1538896345,1185,1185
1538897295,1192,1192
1538898256,1218,1218
1538899237,1238,1238
1538900185,1283,1283
1538901138,1267,1267
1538902122,1253,1253
1538903060,1247,1247
1538904010,1232,1232
1538904985,1222,1222
1538905932,1188,1188
1538906920,1172,1172
1538907853,1142,1142
1538908814,1184,1184
1538909769,1184,1184
1538910735,1214,1214
1538911710,1211,1211
1538912659,1228,1228
1538913660,1177,1177
1538914588,1209,1209
1538915553,1195,1195
1538916500,1226,1226
1538917478,1206,1206
1538918425,1172,1172
1538919381,1217,1217
1538920356,1186,1186
1538921295,1154,1154
1538922259,1178,1178
1538923214,1166,1166
1538924196,1104,1104
1538925131,1107,1107
1538926094,1141,1141
1538927054,1181,1181
1538928046,1163,1163
1538928983,1309,1309
1538929942,1291,1291
1538930893,1279,1279
1538931866,1311,1311
1538932815,1258,1258
1538933775,1314,1314
1538935491,1320,1320
1538936410,1226,1226
1538937385,1267,1267
1538938338,1268,1268
1538939309,1266,1266
1538940273,1278,1278
1538941212,1281,1281
1538942178,1273,1273
1538943132,1285,1285
1538944105,1270,1270
1538945067,1284,1284
1538946072,1276,1276
1538946988,1263,1263
1538947935,1311,1311
1538948893,1298,1298
1538949881,1280,1280
1538950812,1290,1290
1538951779,1315,1315
1538952733,1280,1280
1538953721,1232,1232
1538954652,1281,1281
1538955622,1269,1269
1538956571,1277,1277
1538957545,1350,1350
1538958493,1294,1294
1538959737,1306,1306
1538960918,1305,1305
1538961873,1310,1310
1538962826,1306,1306
1538963800,1336,1336
1538964735,1304,1304
1538965709,1307,1307
1538966662,1325,1325
1538967631,1316,1316
1538968591,1332,1332
1538969541,1382,1382
1538970496,1373,1373
1538971469,1330,1330
1538972409,1329,1329
1538973387,1370,1370
1538974358,1339,1339
1538975298,1356,1356
1538976257,1175,1175
1538977215,1168,1168
1538978174,1195,1195
1538979145,1186,1186
1538980100,1246,1246
1538981061,1382,1382
1538982018,1369,1369
1538982994,1397,1397
1538983943,1367,1367
1538984899,1373,1373
1538985857,1374,1374
1538986819,1374,1374
1538987791,1335,1335
1538988737,1362,1362
1538989698,1359,1359
1538990662,1328,1328
1538991612,1342,1342
1538992578,1356,1356
1538993539,1316,1316
1538994498,1299,1299
1538995473,1298,1298
1538996479,1352,1352
1538997395,1344,1344
1538998344,1320,1320
1538999293,1328,1328
1539000280,1318,1318
1539001222,1326,1326
1539002190,1351,1351
1539003133,1330,1330
1539004223,1308,1308
1539005286,1242,1242
1539006274,1284,1284
1539007226,1312,1312
1539008177,1317,1317
1539009139,1338,1338
1539010097,1315,1315
1539011081,1309,1309
1539012010,1249,1249
1539012971,1236,1236
1539013936,1270,1270
1539014945,1237,1237
1539015852,1191,1191
1539016811,1243,1243
1539017790,1190,1190
1539018733,1184,1184
1539019689,1208,1208
1539020673,1181,1181
1539021619,1141,1141
1539022586,1207,1207
1539023539,1201,1201
1539024514,1214,1214
1539025717,1206,1206
1539026688,1172,1172
1539027610,1210,1210
1539028576,1214,1214
1539029535,1201,1201
1539030506,1247,1247
1539031462,1244,1244
1539032422,1197,1197
1539033421,1208,1208
1539034340,1203,1203
1539035297,1208,1208
1539036266,1169,1169
1539037215,1203,1203
1539038191,1175,1175
1539039162,1180,1180
1539040096,1232,1232
1539041062,1211,1211
1539042011,1194,1194
1539042996,1220,1220
1539043943,1215,1215
1539044893,1215,1215
1539045855,1207,1207
1539046843,1196,1196
1539047780,1199,1199
1539048740,1225,1225
1539049696,1238,1238
1539050664,1221,1221
1539051616,1227,1227
1539052595,1233,1233
1539053532,1229,1229
1539054505,1242,1242
1539055454,1267,1267
1539056419,1274,1274
1539057373,1226,1226
1539058352,1180,1180
1539059302,1206,1206
1539060263,1241,1241
1539061234,1238,1238
1539062191,1213,1213
1539063136,1237,1237
1539064120,1210,1210
1539065306,1246,1246
1539066261,1258,1258
1539067213,1227,1227
1539068188,1237,1237
1539069135,1230,1230
1539070104,1205,1205
1539071053,1211,1211
1539072272,1282,1282
1539073217,1212,1212
1539074189,1244,1244
1539075132,1271,1271
1539076117,1239,1239
1539077055,1202,1202
1539078018,1212,1212
1539078973,1233,1233
1539079944,1233,1233
1539080890,1246,1246
1539081878,1259,1259
1539082832,1234,1234
1539083784,1237,1237
1539084752,1274,1274
1539085707,1283,1283
1539086657,1287,1287
1539087624,1298,1298
1539088592,1284,1284
1539089538,1286,1286
1539090495,1257,1257
1539091578,1294,1294
1539092671,1294,1294
1539093641,1278,1278
1539094588,1291,1291
1539095544,1303,1303
1539096493,1308,1308
1539097480,1294,1294
1539098659,1302,1302
1539099618,1308,1308
