DateTime,AddedIPs,RemovedIPs
1538944923,4,0
1538945523,4,70
1538946209,8,0
1538947442,95,0
1538947924,3,0
1538948523,3,1
1538949363,20,101
1538949812,3,0
1538951284,7,107
1538951523,5,0
1538952124,5,0
1538952723,4,0
1538953214,48,0
1538953325,3,0
1538953410,0,1
1538955123,98,18
1538956085,21,101
1538956324,12,0
1538957042,45,20
1538957523,2,0
1538958123,2,0
1538958724,37,0
1538959323,35,0
1538959923,9,0
1538960609,3,1
1538961365,1,141
1538961724,12,0
1538962323,3,0
1538962923,1,1
1538963762,65,0
1538964207,45,0
1538965324,2,0
1538965923,2,0
1538966524,1,0
1538967123,3,66
1538967618,79,0
1538967806,6,3
1538968323,1,1
1538968924,2,0
1538969523,83,17
1538970124,5,0
1538970724,4,0
1538971442,72,22
1538972525,3,0
1538972883,21,175
1538973723,21,0
1538974324,11,0
1538974923,13,0
1538975762,20,95
1538976125,8,0
1538977202,90,0
1538977323,3,0
1538977923,5,0
1538978550,12,2
1538979723,5,0
1538981043,75,9
1538981524,3,0
1538981762,0,111
1538982125,12,0
1538982147,0,2
1538982724,2,0
1538983323,15,1
1538983923,7,0
1538984523,1,0
1538984882,80,0
1538985123,8,0
1538985746,6,0
1538986924,5,0
1538988123,3,2
1538988484,0,52
1538988723,88,0
1538989324,12,0
1538989408,0,3
1538989924,7,2
1538990523,4,0
1538991124,6,0
1538991723,3,0
1538992563,77,115
1538992947,4,5
1538994123,13,0
1538994723,19,0
1538995324,5,0
1538995922,4,0
1538996447,55,0
1538996610,7,1
1538997123,7,0
1538997724,13,0
1538998323,60,58
1538998923,21,0
1538999524,5,0
1539000145,6,0
1539001323,2,1
1539002164,64,47
1539002523,5,0
1539003724,4,0
1539003747,0,2
1539004324,8,0
1539004923,16,0
1539005523,13,0
1539006006,65,48
1539006124,1,0
1539007324,2,0
1539007346,0,3
1539007922,74,19
1539008523,15,0
1539009724,10,0
1539011007,26,1
1539011763,0,105
1539012124,14,0
1539013323,8,1
1539013682,89,0
1539014524,19,0
1539015123,4,0
1539015725,4,1
1539016923,1,0
1539017523,73,134
1539018205,17,1
1539019323,11,0
1539020524,9,0
1539021123,7,0
1539021362,101,0
1539021723,16,0
1539021807,0,1
1539022323,3,0
1539022923,1,0
1539023282,403,83
1539024124,33,0
1539024725,18,0
1539025227,135,510
1539025407,15,1
1539025924,11,0
1539026524,5,0
1539027122,103,0
1539027723,12,0
1539029043,0,102
1539030124,5,1
1539030723,1,0
1539030962,101,0
1539031323,4,0
1539033364,84,206
1539033723,10,0
1539034923,5,0
1539035283,80,0
1539035523,1,0
1539036147,3,0
1539037324,1,0
1539037923,1,0
1539038523,2,0
1539039124,59,84
1539039723,6,0
1539039749,0,1
1539040325,5,0
1539040924,13,0
1539042123,2,0
1539042964,95,235
1539043408,6,1
1539043924,2,0
1539044523,4,0
1539044882,116,0
1539045124,6,0
1539045724,3,0
1539046323,5,0
1539046818,43,103
1539048123,1,0
1539048723,71,9
1539049324,14,0
1539049682,9,62
1539049923,2,0
1539050607,5,0
1539051123,5,0
1539051724,7,1
1539052323,4,1
1539052562,90,10
1539052923,1,0
1539053523,15,74
1539054206,26,1
1539054724,3,0
1539055324,14,0
1539056403,76,10
1539056523,6,0
1539057123,6,0
1539057805,10,7
1539058324,8,0
1539058924,17,0
1539059282,0,184
1539059523,3,0
1539060123,5,0
1539060723,2,0
1539061346,4,2
1539062164,81,1
1539062523,8,0
1539063723,3,0
1539064084,76,162
1539064323,5,0
1539065006,3,1
1539065524,7,0
1539066123,4,0
1539067323,14,0
1539068162,89,0
1539068605,3,1
1539069723,5,0
1539070323,2,0
1539070922,1,0
1539071523,3,0
1539072242,79,17
1539073209,0,92
1539073324,14,0
1539074164,102,0
1539074523,18,0
1539075808,3,0
1539076323,5,0
1539076924,7,0
1539077523,5,0
1539078002,54,15
1539078125,10,0
1539078724,17,0
1539079345,4,1
1539079923,47,18
1539080524,17,0
1539080883,18,96
1539081123,2,0
1539081724,2,0
1539082924,9,0
1539083008,0,4
1539084123,4,0
1539084395,2,0
1539085324,6,0
1539085683,73,50
1539085923,5,0
1539086557,8,0
1539087723,2,0
1539088923,11,0
1539089524,50,108
1539090124,12,0
1539090723,5,0
1539091325,12,0
1539091923,2,0
1539092523,8,0
1539093123,3,0
1539093612,76,0
1539093757,8,1
1539094324,5,0
1539094923,9,0
1539095524,57,15
1539096123,2,0
1539096723,6,0
1539097357,9,3
1539097925,3,0
1539098643,6,110
1539099123,1,0
1539099724,3,0
1539100326,3,0
1539100957,7,0
1539101523,79,0
1539102124,6,0
1539102723,1,0
1539103444,84,18
1539104524,2,0
1539105123,7,0
1539105363,18,69
1539105723,6,0
1539106923,8,0
1539107283,90,63
1539107523,17,0
1539108159,5,2
1539109204,0,86
1539109324,6,1
1539109924,6,0
1539110524,11,0
1539111123,100,0
1539111724,13,1
1539111819,0,4
1539112324,6,0
1539113043,4,82
1539113523,7,0
1539114123,6,1
1539114723,3,0
1539115357,10,0
1539115924,12,0
1539116524,8,0
1539116883,93,0
1539117725,8,1
1539118816,68,17
1539118958,10,3
1539119763,0,137
1539120123,6,0
1539120722,73,0
1539121324,6,1
1539122524,8,0
1539123724,4,0
1539124563,73,27
1539124923,4,0
1539126158,8,2
1539126724,1,0
1539127443,3,207
1539127924,11,0
1539128402,112,0
1539128524,5,0
1539129123,1,0
1539129820,11,1
1539130923,3,0
1539131763,3,122
1539132245,66,0
1539133323,4,0
1539133358,0,1
1539134524,4,0
1539135603,0,87
1539135723,4,0
1539136083,79,0
1539137020,5,0
1539138124,9,0
1539138724,13,0
1539139323,8,0
1539139923,73,8
1539140524,15,0
1539140619,0,13
1539141362,6,152
1539141723,8,0
1539142923,7,0
1539143763,90,0
1539144160,11,1
1539145210,0,105
1539145324,9,0
1539146523,12,0
1539147615,64,0
1539147723,1,0
1539147759,0,25
1539148325,2,2
1539148925,7,0
1539149523,25,46
1539150123,5,1
1539150723,21,0
1539151443,108,1
1539151923,5,0
1539152523,1,0
1539152886,0,142
1539153363,91,0
1539153724,5,1
1539154323,11,0
1539154958,8,4
1539155524,1,0
1539156123,11,0
1539156724,5,0
1539157202,80,20
1539157324,10,0
1539157923,18,0
1539158619,12,5
1539159723,3,0
1539160562,0,107
1539161043,58,2
1539162123,7,0
1539162219,0,22
1539162962,77,12
1539163323,22,0
1539163923,1,0
1539164523,3,0
1539165758,2,1
1539166923,6,0
1539167285,0,104
1539167524,11,0
1539168124,5,0
1539168722,74,0
1539169324,4,0
1539169359,1,1
1539169923,5,0
1539170524,5,0
1539171123,5,0
1539171724,7,0
1539172562,72,17
1539172960,5,1
1539174011,17,46
1539174124,4,0
1539174723,3,0
1539175323,2,0
1539176412,65,14
1539176524,3,0
1539176619,0,1
1539177842,2,97
1539178324,69,0
1539178923,6,0
1539179524,6,0
1539180159,3,1
1539181323,3,0
1539181682,0,72
1539181923,2,0
1539182403,72,0
1539182523,6,0
1539183123,7,0
1539183762,3,2
1539184323,74,13
1539185043,16,62
1539185525,2,0
1539186125,8,0
1539186724,2,0
1539187358,5,4
1539188643,236,70
1539189124,141,73
1539189724,2,0
1539190562,2,258
1539190959,7,1
1539192123,2,0
1539193324,1,0
1539194417,103,0
1539194524,2,0
1539195124,3,0
1539195724,8,0
1539196323,93,22
1539196924,3,0
1539197524,1,0
1539198217,3,2
1539198723,0,126
1539199323,8,0
1539200162,110,0
1539200524,3,0
1539201724,2,0
1539201824,0,2
1539202325,11,1
1539202924,6,0
1539204003,89,21
1539204123,2,0
1539204483,21,81
1539204724,1,0
1539205324,2,0
1539206403,0,97
1539206523,8,0
1539207123,3,0
1539207843,89,0
1539208923,2,0
1539210124,1,0
1539210724,3,5
1539211324,3,0
1539211682,52,26
1539211841,3,0
1539212622,2,1
1539213724,3,1
1539214083,0,226
1539214924,3,1
1539215524,6,1
1539216224,5,1
1539216724,3,0
1539217443,95,0
1539218523,4,1
1539218883,0,105
1539219619,61,0
1539219762,6,1
1539220324,1,0
1539220923,5,1
1539221524,76,11
1539222123,9,0
1539223424,3,0
1539223924,3,0
1539224642,4,149
1539225123,1,0
1539225362,82,0
1539225723,3,0
1539226923,5,0
1539227019,0,1
1539228123,4,0
1539228483,0,101
1539228725,4,0
1539229323,4,0
1539229923,4,0
1539230562,13,4
1539231124,158,0
1539231723,5,0
1539232323,13,98
1539232923,3,0
1539234124,4,0
1539234724,6,0
1539235323,2,0
1539235924,1,0
1539236404,94,82
1539236883,5,66
1539237124,3,0
1539237821,3,3
1539238925,3,0
1539239524,5,0
1539240123,7,0
1539241324,2,0
1539241360,2,0
1539242163,84,0
1539242642,8,69
1539243123,7,0
1539243723,3,0
1539244563,67,0
1539244958,2,1
1539245524,8,0
1539246123,15,0
1539247323,2,0
1539247923,2,1
1539248414,78,19
1539248560,5,2
1539249124,5,0
1539249724,12,0
1539250323,53,21
1539250808,21,94
1539250924,6,0
1539252220,7,1
1539252723,0,58
1539253324,14,0
