DateTime,AddedIPs,RemovedIPs
1538778489,78,72
1538779460,12,266
1538780107,75,160
1538781391,384,0
1538782239,109,74
1538783320,61,170
1538783766,48,1
1538785226,10,11
1538785845,311,203
1538787152,154,131
1538788503,89,117
1538789105,15,14
1538789712,134,110
1538791014,20,17
1538792920,127,124
1538793616,116,74
1538794840,82,20
1538796742,121,108
1538798663,21,15
1538799313,169,233
1538800602,17,13
1538801103,61,84
1538802524,17,20
1538802903,55,31
1538802909,61,63
1538803803,41,0
1538804561,8,25
1538805367,69,101
1538806828,22,30
1538807441,87,125
1538808756,81,115
1538810104,53,58
1538810654,110,86
1538812593,80,126
1538813710,98,115
1538814495,9,15
1538814641,37,0
1538816435,74,112
1538818333,121,116
1538818859,66,103
1538820257,19,849
1538822201,127,150
1538822534,87,217
1538823370,47,0
1538824095,383,0
1538825410,47,87
1538826013,29,14
1538827252,143,268
1538827938,22,10
1538828896,110,1
1538829869,22,11
1538830567,142,138
1538831777,22,12
1538832602,119,149
1538832907,97,165
1538833951,20,16
1538835342,67,76
1538835866,25,17
1538836242,100,110
1538836607,79,89
1538837771,32,15
1538838164,83,124
1538838910,0,507
1538839689,24,19
1538839808,124,144
1538841619,21,17
1538841651,101,128
1538843549,79,263
1538844303,70,135
1538845458,23,9
1538846046,124,107
1538847026,52,0
1538847370,29,13
1538847735,67,131
1538849318,118,84
1538850630,111,0
1538851212,21,16
1538851807,71,120
1538853137,20,22
1538853993,88,115
1538855053,11,15
1538855103,79,98
1538856981,156,147
1538857833,11,0
1538858889,17,18
1538859638,100,182
1538860829,102,90
1538862734,132,132
1538864103,75,64
1538864666,12,19
1538866572,170,111
1538867647,100,121
1538868488,340,0
1538868603,58,0
1538870423,113,151
1538872350,71,388
1538872508,100,130
1538874252,7,13
1538874903,179,139
1538876172,11,15
1538876413,110,146
1538877367,60,32
1538878112,10,12
1538879438,72,66
1538880017,9,15
1538881940,86,102
1538882135,86,109
1538882890,41,0
1538883860,14,18
1538884567,96,141
1538885795,13,16
1538886606,91,62
1538887713,9,5
1538888426,100,180
1538889614,23,15
1538889892,65,113
1538891105,67,123
1538891535,10,17
1538892949,116,166
1538893455,5,10
1538893808,20,0
1538894108,82,149
1538895378,15,24
1538895630,76,54
1538896502,46,151
1538897291,8,17
1538897707,82,157
1538899233,20,21
1538900102,69,32
1538900468,76,76
1538901135,14,16
1538901476,105,144
1538903056,13,14
1538903703,83,35
1538904981,115,109
1538905214,129,116
1538905502,8,31
1538906910,17,766
1538907303,73,78
1538908811,110,22
1538909104,59,157
1538910732,352,0
1538910846,91,77
1538911695,49,0
1538912655,27,10
1538913644,30,148
1538914585,18,10
1538915442,88,90
1538916496,152,153
1538918421,109,208
1538919727,130,135
1538920351,18,12
1538921703,77,199
1538922256,28,22
1538924186,95,16
1538924450,116,272
1538925305,0,249
1538926090,23,10
1538926209,94,0
1538928043,115,177
1538929939,99,356
1538930704,145,112
1538931863,15,13
1538932446,124,149
1538933772,15,11
1538935950,1039,13
1538937029,472,259
1538937855,19,18
1538937903,94,177
1538939788,80,157
1538940618,68,0
1538941706,14,18
1538942422,69,177
1538942676,64,76
1538943616,36,15
1538944223,502,0
1538945554,104,128
1538946307,91,79
1538947469,16,11
1538947826,64,0
1538949370,27,22
1538949635,64,89
1538951309,122,86
1538951707,375,86
1538953245,324,0
1538954103,89,36
1538955154,569,82
1538957076,365,200
1538958274,475,62
1538958487,49,0
1538959727,25,17
1538960434,93,180
1538961303,79,52
1538961869,19,20
1538962813,336,98
1538963791,23,16
1538965706,272,146
1538966138,72,101
1538967629,15,17
1538968503,62,135
1538968614,61,10
1538969539,12,5
1538970033,82,114
1538971459,18,19
1538972458,95,92
1538973385,17,18
1538973613,121,113
1538975296,16,15
1538975702,75,95
1538976630,35,1
1538977212,20,9
1538977503,76,121
1538979143,109,12
1538980202,102,99
1538981052,24,17
1538981423,71,150
1538982990,32,14
1538983842,91,81
1538984895,133,143
1538986503,76,85
1538986814,52,14
1538987714,79,123
1538988734,24,12
1538989354,115,99
1538990658,88,12
1538991904,100,124
1538992574,20,23
1538992832,50,2
1538994495,97,869
1538994763,111,99
1538995327,68,33
1538996475,413,1
1538998341,165,101
1539000270,22,12
1539000846,139,317
1539002186,110,589
1539002526,22,181
1539004113,33,10
1539004502,101,175
1539006019,114,17
1539007931,86,179
1539008111,255,0
1539009017,86,93
1539009855,25,7
1539009903,94,146
1539011369,94,2
1539011788,25,10
1539012622,68,130
1539013691,21,9
1539014423,89,124
1539015302,109,139
1539015625,21,10
1539016217,335,0
1539017531,20,12
1539018024,61,109
1539018308,119,179
1539019456,45,24
1539019819,0,763
1539020199,116,157
1539021383,20,13
1539021624,56,38
1539023288,25,7
1539023423,70,95
1539024304,77,114
1539025241,30,17
1539026102,91,124
1539027143,67,23
1539027306,94,116
1539029077,43,14
1539030188,325,0
1539030979,118,379
1539031327,115,132
1539032167,68,0
1539033411,37,29
1539034203,136,85
1539035294,34,23
1539036027,167,107
1539037212,27,20
1539037687,377,328
1539039153,26,16
1539040507,83,243
1539041059,322,0
1539041426,53,0
1539042987,24,12
1539043252,23,155
1539044103,65,637
1539044891,24,10
1539045727,72,115
1539046841,23,7
1539047114,74,74
1539047861,31,0
1539048738,19,13
1539049327,71,147
1539050662,27,14
1539051248,100,81
1539052586,13,10
1539053104,68,91
1539054502,18,5
1539054909,67,77
1539056416,117,93
1539057308,129,33
1539058344,15,7
1539058516,78,77
1539060260,11,11
1539060304,109,75
1539062189,129,113
1539063035,106,96
1539064110,18,13
1539065726,130,125
1539066259,27,6
1539068186,74,18
1539068433,89,165
1539070093,85,87
1539071103,114,163
1539072267,101,17
1539072912,64,84
1539074185,88,22
1539076107,17,21
1539077435,188,284
1539078014,21,24
1539078304,115,158
1539079940,18,970
1539080107,68,79
1539081868,23,30
1539081903,108,127
1539083781,597,69
1539084190,66,1
1539085697,131,158
1539086422,87,3
1539087620,33,28
1539088203,137,106
1539089533,18,22
1539089779,110,142
1539091474,18,18
1539091834,83,98
1539092407,97,109
1539093638,41,20
1539094507,120,600
1539095540,43,16
1539095707,73,104
1539097470,25,15
1539098103,844,47
1539098114,79,74
1539099019,157,0
1539099614,18,20
1539101538,17,22
1539101703,397,298
1539102616,203,1
1539103469,22,17
1539104166,164,160
1539105378,25,21
1539106097,211,104
1539107307,23,15
1539107313,132,192
1539109214,201,116
1539111136,27,21
1539111834,284,227
1539113087,18,30
1539114303,255,114
1539114988,24,25
1539116131,79,1
1539116901,26,23
1539117026,101,81
1539117368,125,110
1539118835,17,30
1539118838,96,42
1539120738,105,117
1539121504,118,96
1539122667,15,19
1539123303,199,411
1539123437,20,0
1539124586,23,35
1539125103,64,441
1539126516,473,0
1539126903,108,454
1539127122,42,1
1539128432,16,30
1539128707,117,263
1539130352,13,21
1539131434,202,343
1539132262,12,17
1539132967,171,145
1539134179,13,23
1539135046,94,442
1539136116,20,18
1539137002,224,221
1539138019,15,8
1539139958,189,129
1539140708,123,94
1539141858,75,11
1539142818,77,101
1539143775,18,25
1539144708,77,53
1539145707,11,16
1539145834,94,103
1539146408,136,101
1539147631,14,26
1539148503,83,122
1539149553,20,17
1539150303,84,0
1539151469,89,137
1539153395,129,108
1539153902,108,110
1539154567,74,46
1539155319,22,27
1539156636,115,83
1539157227,23,27
1539159153,186,128
1539159247,218,143
1539161057,36,23
1539161104,163,107
1539163003,296,141
1539164892,168,22
1539165635,162,161
1539165708,292,112
1539166827,21,1013
1539167403,208,0
1539168748,21,24
1539169236,169,119
1539170103,295,112
1539170661,585,1
1539171727,351,135
1539172580,25,19
1539173702,381,81
1539174515,99,28
1539174603,157,1
1539176426,285,190
1539178358,395,76
1539180505,245,156
1539182431,298,145
1539182527,625,113
1539184337,18,531
1539184507,420,115
1539186256,16,12
1539186302,156,134
1539187851,402,135
1539188675,37,16
1539190572,142,14
1539190841,189,182
1539192493,158,88
1539193327,240,148
1539194438,16,21
1539195303,607,342
1539196354,336,17
1539198262,63,220
1539198846,114,95
1539200174,21,20
1539200526,125,120
1539202109,11,25
1539202808,205,152
1539203288,44,1
1539204012,24,26
1539204986,95,119
1539205952,27,21
1539207857,97,233
1539207902,107,93
1539209779,79,43
1539210625,49,307
1539211707,26,24
1539212713,138,144
1539213619,398,0
1539213699,33,2
1539215552,79,72
1539215707,69,34
1539217466,9,22
1539219640,318,175
1539221572,147,96
1539223477,123,125
1539225386,64,71
1539225616,93,101
1539227297,9,15
1539227705,55,61
1539229231,124,219
1539229328,21,0
1539230168,62,0
1539231141,14,13
1539231429,83,121
1539233055,10,12
1539233106,101,166
1539234997,113,73
1539235831,106,0
1539236912,12,17
1539237624,75,115
1539238830,18,24
1539238862,116,51
1539239437,119,112
1539240751,12,16
1539241234,119,41
1539242672,23,20
1539243030,96,95
1539244574,157,164
1539245451,70,0
1539246506,91,111
1539246807,125,174
1539248426,9,23
1539248428,93,1
1539250352,125,129
1539250814,123,101
1539252259,26,909
1539252847,196,115
