DateTime,AddedIPs,RemovedIPs
1538868723,3,0
1538869323,9,0
1538870526,2,0
1538871125,11,0
1538871724,8,0
1538872323,12,0
1538872923,9,0
1538873523,5,0
1538874123,7,0
1538874724,2,0
1538875324,4,0
1538875924,1,0
1538876523,3,0
1538877123,2,0
1538877723,9,0
1538878324,5,0
1538878925,2,0
1538880123,10,0
1538880724,5,1
1538881323,28,0
1538881925,1,0
1538882523,20,0
1538883723,3,0
1538884924,5,0
1538885524,2,0
1538886124,7,0
1538886723,6,0
1538887324,5,0
1538887923,6,0
1538888524,3,0
1538889723,5,0
1538890923,6,0
1538891523,6,0
1538892124,3,0
1538892724,5,0
1538893323,8,0
1538893924,5,0
1538894523,3,0
1538895124,7,0
1538895724,5,0
1538896324,2,0
1538896923,7,0
1538897524,1,0
1538898124,6,0
1538899325,1,0
1538899924,4,0
1538900523,3,0
1538901724,4,1
1538902323,9,0
1538902923,3,0
1538904123,5,0
1538904724,4,1
1538905324,4,0
1538906525,5,0
1538907123,4,0
1538907723,5,0
1538908323,5,0
1538908923,7,0
1538910123,1,0
1538911323,4,0
1538911923,9,0
1538912523,8,0
1538913724,4,0
1538914325,6,0
1538914924,12,0
1538915523,5,0
1538916123,4,0
1538916723,4,0
1538917324,3,0
1538918525,1,0
1538919123,3,0
1538919723,3,0
1538920924,3,0
1538921523,7,0
1538922124,5,0
1538923324,7,0
1538923924,5,0
1538924524,4,0
1538925723,3,0
1538926324,4,0
1538926923,4,0
1538928123,7,1
1538928723,9,0
1538929323,3,0
1538930523,3,0
1538931124,5,1
1538931724,3,0
1538932924,8,1
1538934125,20,0
1538935323,8,0
1538936523,4,0
1538937723,2,0
1538938323,3,0
1538938924,4,0
1538939524,4,0
1538940123,22,0
1538940723,8,0
1538941323,5,0
1538941923,2,0
1538942523,4,0
1538943723,12,0
1538944923,4,0
1538945523,4,0
1538946124,8,0
1538947323,2,0
1538947924,3,0
1538948523,3,1
1538949723,3,0
1538950924,7,1
1538951523,5,0
1538952124,5,0
1538952723,4,0
1538953325,3,0
