DateTime,AddedIPs,RemovedIPs
1538284111,21,21
1538286012,42,23
1538287933,53,21
1538289869,23,16
1538291785,16,29
1538293697,11,26
1538295634,12,23
1538297547,23,25
1538299470,15,19
1538301373,19,31
1538303317,13,1172
1538305247,524,0
1538307382,37,21
1538309314,23,15
1538311235,44,21
1538313137,42,18
1538315057,40,16
1538316993,27,18
1538318895,26,19
1538320831,20,12
1538322771,8,14
1538324663,23,14
1538326589,13,16
1538328489,33,19
1538330441,30,16
1538332352,41,30
1538334263,14,20
1538336190,38,21
1538338122,72,47
1538340031,39,28
1538341953,40,26
1538343852,31,29
1538345784,35,38
1538347693,20,28
1538349635,465,0
1538351534,33,13
1538353472,13,10
1538355370,26,18
1538357311,31,15
1538359241,34,14
1538361163,19,16
1538363074,22,16
1538364974,31,12
1538366913,24,13
1538368825,19,15
1538370996,29,19
1538372902,19,13
1538374842,27,20
1538376739,29,21
1538378664,18,19
1538380580,22,40
1538382493,25,30
1538384472,29,28
1538386350,24,28
1538388265,27,1187
1538390193,38,20
1538392116,504,0
1538394032,43,18
1538396233,27,46
1538398109,21,23
1538400033,29,32
1538401933,5,9
1538403854,6,19
1538405803,23,16
1538407939,43,17
1538410144,27,18
1538412030,10,14
1538413936,46,23
1538415876,43,40
1538417795,25,45
1538419716,28,23
1538421630,18,16
1538423555,36,10
1538425464,40,15
1538427407,29,23
1538429551,37,18
1538431479,21,17
1538433383,12,20
1538435317,450,0
1538437225,12,15
1538439152,28,36
1538441058,29,21
1538442989,22,34
1538444905,14,8
1538446838,12,19
1538448732,14,11
1538450671,6,16
1538452587,20,9
1538454512,12,11
1538456426,16,18
1538458351,17,41
1538460253,29,20
1538462184,33,49
1538464351,33,20
1538466258,21,12
1538468435,24,15
1538470354,34,21
1538472269,15,17
1538474174,23,16
1538476109,39,1335
1538478040,606,0
1538479952,39,31
1538482106,51,37
1538484012,36,10
1538485955,33,37
1538487862,18,24
1538489803,28,30
1538491704,19,17
1538493635,24,26
1538495556,24,24
1538497469,23,23
1538499386,22,31
1538501313,25,17
1538503237,16,32
1538505147,21,16
1538507065,20,23
1538509003,28,24
1538510901,21,21
1538512831,25,22
1538514981,18,31
1538516908,16,22
1538518833,23,39
1538520738,22,28
1538522667,536,0
1538524590,18,36
1538526494,13,12
1538528450,20,29
1538530341,16,22
1538532276,19,27
1538534426,32,19
1538536332,32,18
1538538251,17,22
1538540201,26,28
1538542240,29,25
1538544263,18,19
1538546189,20,29
1538548113,25,15
1538550040,21,25
1538551938,18,18
1538553863,21,21
1538555798,23,24
1538557721,20,22
1538559632,25,24
1538561550,15,1117
1538563459,27,30
1538565402,525,0
1538567317,43,13
1538569462,38,23
1538571371,41,43
1538573307,30,21
1538575220,35,23
1538577152,32,10
1538579067,25,16
1538580993,34,13
1538582953,27,22
1538584825,39,14
1538586740,36,17
1538588671,50,16
1538590586,60,26
1538592494,46,10
1538594656,72,37
1538596604,65,34
1538598496,46,14
1538600432,25,44
1538602341,24,9
1538604257,30,30
1538606189,35,33
1538608115,460,0
1538610017,20,10
1538611937,23,20
1538613869,21,24
1538616025,43,27
1538617932,27,17
1538619856,33,8
1538621789,25,17
1538623691,17,10
1538625637,18,23
