DateTime,Entries,UniqueIPs
1538799305,16464,16464
1538800205,16769,16769
1538801105,17039,17039
1538802005,17304,17304
1538802905,17568,17568
1538803805,17890,17890
1538804704,17953,17953
1538805603,17666,17666
1538806504,17366,17366
1538807404,17065,17065
1538808303,16800,16800
1538809203,16518,16518
1538810103,16451,16451
1538811003,16124,16124
1538811903,15892,15892
1538812803,15657,15657
1538813703,15325,15325
1538814602,15286,15286
1538815502,15060,15060
1538816403,14963,14963
1538817303,14713,14713
1538818202,14503,14503
1538819102,14234,14234
1538820002,13958,13958
1538820902,13700,13700
1538821802,13439,13439
1538822702,13502,13502
1538823602,13613,13613
1538824502,13714,13714
1538825403,13688,13688
1538826302,13666,13666
1538827203,13812,13812
1538828102,13904,13904
1538829002,13981,13981
1538829902,14032,14032
1538830802,14056,14056
1538831702,14116,14116
1538832602,14074,14074
1538833502,14303,14303
1538834402,14346,14346
1538835303,14388,14388
1538836202,14429,14429
1538837102,14231,14231
1538838002,14226,14226
1538838902,14215,14215
1538839802,14309,14309
1538840703,14340,14340
1538841602,14305,14305
1538842502,14342,14342
1538843402,14295,14295
1538844302,14363,14363
1538845202,14452,14452
1538846102,14541,14541
1538847003,14691,14691
1538847902,14836,14836
1538848802,14839,14839
1538849702,15011,15011
1538850603,15052,15052
1538851502,15006,15006
1538852402,14947,14947
1538853302,14931,14931
1538854202,14959,14959
1538855102,14897,14897
1538856003,14692,14692
1538856902,14727,14727
1538857802,14586,14586
1538858702,14428,14428
1538859602,14321,14321
1538860502,14203,14203
1538861402,14077,14077
1538862303,13781,13781
1538863203,13551,13551
1538864101,13466,13466
1538865002,13311,13311
1538865902,13121,13121
1538866802,12840,12840
1538867702,12711,12711
1538868603,12570,12570
1538869502,12259,12259
1538870403,12080,12080
1538871302,11998,11998
1538872202,11635,11635
1538873102,11383,11383
1538874002,12028,12028
1538874901,11875,11875
1538875802,11718,11718
1538876702,11456,11456
1538877602,11268,11268
1538878503,13674,13674
1538879402,14880,14880
1538880302,14581,14581
1538881202,14403,14403
1538882102,14259,14259
1538883002,14042,14042
1538883902,13819,13819
1538884802,13712,13712
1538885702,13627,13627
1538886602,13560,13560
1538887502,13453,13453
1538888402,13396,13396
1538889302,13404,13404
1538890203,13317,13317
1538891102,13170,13170
1538892002,13303,13303
1538892902,13253,13253
1538893802,13197,13197
1538894703,13315,13315
1538895602,13440,13440
1538896502,13637,13637
1538897403,13765,13765
1538898303,13917,13917
1538899202,14123,14123
1538900103,14357,14357
1538901003,15827,15827
1538901902,17368,17368
1538902802,18542,18542
1538903704,19762,19762
1538904603,20553,20553
1538905502,21145,21145
1538906403,21801,21801
1538907302,22399,22399
1538908203,22902,22902
1538909103,23428,23428
1538910004,24043,24043
1538910903,24525,24525
1538911804,25077,25077
1538912703,25540,25540
1538913604,26009,26009
1538914504,26307,26307
1538915404,26801,26801
1538916304,24530,24530
1538917204,22530,22530
1538918105,18982,18982
1538919005,16697,16697
1538919905,14046,14046
1538920805,11455,11455
1538921704,8857,8857
1538922606,8406,8406
1538923507,9323,9323
1538924406,9852,9852
1538925307,10164,10164
1538926207,10547,10547
1538927106,10905,10905
1538928007,11153,11153
1538928908,11576,11576
1538929807,11868,11868
1538930707,12196,12196
1538931606,12601,12601
1538932508,12869,12869
1538933408,13131,13131
1538935207,13841,13841
1538936106,14306,14306
1538937007,14579,14579
1538937907,14898,14898
1538938808,15215,15215
1538939707,15515,15515
1538940606,15875,15875
