DateTime,Entries,UniqueIPs
1538692569,4928,4928
1538700005,4927,4927
1538701451,4923,4923
1538701924,4921,4921
1538702405,4923,4923
1538702887,4921,4921
1538703364,4917,4917
1538703853,4920,4920
1538704328,4916,4916
1538704815,4919,4919
1538705290,4917,4917
1538705768,4922,4922
1538706246,4919,4919
1538706727,4919,4919
1538707205,4920,4920
1538707690,4920,4920
1538708167,4917,4917
1538708647,4921,4921
1538709125,4919,4919
1538709611,4917,4917
1538710087,4924,4924
1538710565,4923,4923
1538711049,4921,4921
1538711530,4922,4922
1538712080,4922,4922
1538712489,4925,4925
1538712967,4924,4924
1538713446,4919,4919
1538713928,4921,4921
1538714404,4921,4921
1538714886,4924,4924
1538715366,4919,4919
1538715850,4926,4926
1538716326,4927,4927
1538716804,4926,4926
1538717300,4925,4925
1538717769,4929,4929
1538718246,4926,4926
1538718725,4928,4928
1538719233,4933,4933
1538719687,4931,4931
1538720168,4929,4929
1538720644,4932,4932
1538721130,4927,4927
1538721608,4930,4930
1538722086,4928,4928
1538722565,4931,4931
1538723048,4931,4931
1538723768,4927,4927
1538724248,4926,4926
1538724726,4927,4927
1538725205,4931,4931
1538725689,4925,4925
1538726166,4926,4926
1538726646,4928,4928
1538727126,4929,4929
1538727604,4930,4930
1538728089,4932,4932
1538728564,4932,4932
1538729529,4931,4931
1538730015,4932,4932
1538730486,4933,4933
1538738166,4932,4932
1538739129,4933,4933
1538747285,4932,4932
1538747765,4933,4933
1538753767,4932,4932
1538754726,4933,4933
1538761204,4932,4932
1538763369,4933,4933
1538771284,4933,4933
1538772246,4933,4933
1538775609,4932,4932
1538776084,4933,4933
1538776565,4932,4932
1538778005,4933,4933
1538784725,4932,4932
1538785688,4933,4933
1538788086,4925,4925
1538788568,4929,4929
1538789047,4928,4928
1538789525,4925,4925
1538790009,4928,4928
1538790485,4926,4926
1538790968,4927,4927
1538791446,4930,4930
1538791925,4925,4925
1538792405,4927,4927
1538792891,4928,4928
1538793366,4926,4926
1538793845,4926,4926
1538794328,4930,4930
1538794833,4929,4929
1538795287,4927,4927
1538795767,4924,4924
1538796245,4927,4927
1538796731,4925,4925
1538797205,4929,4929
1538797689,4926,4926
1538798164,4926,4926
1538798649,4929,4929
1538799126,4931,4931
1538799620,4924,4924
1538800085,4924,4924
1538800568,4926,4926
1538801048,4926,4926
1538801528,4926,4926
1538802011,4922,4922
1538802489,4923,4923
1538802969,4924,4924
1538803447,4923,4923
1538803928,4925,4925
1538804407,4924,4924
1538804888,4921,4921
1538805365,4921,4921
1538805848,4924,4924
1538806328,4923,4923
1538806806,4920,4920
1538807288,4921,4921
1538807766,4920,4920
1538808249,4923,4923
1538808729,4923,4923
1538809214,4923,4923
1538809686,4925,4925
1538810170,4920,4920
1538810648,4925,4925
1538811125,4923,4923
1538811606,4922,4922
1538812089,4922,4922
1538812568,4921,4921
1538813047,4921,4921
1538813525,4922,4922
1538814012,4922,4922
1538814487,4925,4925
1538814968,4926,4926
1538815927,4927,4927
1538822165,4926,4926
1538824085,4927,4927
1538829849,4926,4926
1538830327,4927,4927
1538830808,4926,4926
1538831291,4927,4927
1538837286,4926,4926
1538837768,4927,4927
1538844970,4926,4926
1538845926,4927,4927
1538853125,4926,4926
1538854568,4927,4927
1538860810,4926,4926
1538862728,4927,4927
1538868484,4926,4926
1538868969,4927,4927
1538875213,4925,4925
1538875686,4920,4920
1538876165,4918,4918
1538876650,4920,4920
1538877126,4921,4921
1538877613,4919,4919
1538878086,4919,4919
1538878566,4917,4917
1538879045,4916,4916
1538879529,4916,4916
1538880005,4916,4916
1538880487,4916,4916
1538880969,4917,4917
1538881447,4918,4918
1538881927,4918,4918
1538882409,4922,4922
1538882885,4921,4921
1538883364,4923,4923
1538883847,4923,4923
1538884324,4920,4920
1538884824,4923,4923
1538885285,4925,4925
1538885769,4925,4925
1538886244,4927,4927
1538886728,4924,4924
1538887205,4922,4922
1538887688,4924,4924
1538888164,4927,4927
1538888649,4923,4923
1538889125,4926,4926
1538889607,4928,4928
1538890089,4922,4922
1538890564,4924,4924
1538891045,4922,4922
1538891526,4926,4926
1538892014,4926,4926
1538892486,4925,4925
1538892969,4927,4927
1538893446,4922,4922
1538893929,4926,4926
1538894408,4925,4925
1538894886,4911,4911
1538895368,4926,4926
1538895845,4926,4926
1538896332,4925,4925
1538896809,4925,4925
1538897288,4923,4923
1538897766,4925,4925
1538898245,4923,4923
1538898728,4923,4923
1538899229,4917,4917
1538899686,4919,4919
1538900171,4919,4919
1538900648,4922,4922
1538901127,4923,4923
1538901604,4924,4924
1538906415,4923,4923
1538908806,4924,4924
1538913627,4923,4923
1538914087,4924,4924
1538918886,4923,4923
1538920810,4924,4924
1538926567,4923,4923
1538927526,4924,4924
1538933285,4923,4923
1538933766,4924,4924
1538935457,4923,4923
1538935928,4922,4922
1538936405,4923,4923
1538936889,4924,4924
1538942649,4923,4923
1538944085,4924,4924
1538952250,4923,4923
1538954167,4924,4924
1538960889,4915,4915
1538961371,4916,4916
1538961845,4921,4921
1538962326,4921,4921
1538962804,4919,4919
1538963290,4922,4922
1538963767,4925,4925
1538964246,4923,4923
1538964725,4923,4923
1538965208,4923,4923
1538965688,4920,4920
1538966164,4921,4921
1538966647,4922,4922
1538967129,4922,4922
1538967622,4923,4923
1538968085,4923,4923
1538968568,4925,4925
1538969048,4925,4925
1538969528,4924,4924
1538970004,4922,4922
1538970488,4923,4923
1538970969,4922,4922
1538971447,4920,4920
1538971925,4921,4921
1538972404,4923,4923
1538972888,4922,4922
1538973365,4924,4924
1538973846,4919,4919
1538974328,4926,4926
1538974836,4926,4926
1538975286,4925,4925
1538975770,4926,4926
1538976248,4924,4924
1538976726,4924,4924
1538977205,4923,4923
1538977690,4922,4922
1538978166,4926,4926
1538978646,4923,4923
1538979130,4921,4921
1538979845,4924,4924
1538980328,4921,4921
1538980805,4920,4920
1538981525,4922,4922
1538982010,4922,4922
1538982488,4924,4924
1538982965,4925,4925
1538983448,4925,4925
1538983925,4920,4920
1538984404,4922,4922
1538984889,4924,4924
1538985364,4926,4926
1538985846,4928,4928
1538986324,4927,4927
1538986810,4929,4929
1538987287,4928,4928
1538987764,4930,4930
1538990165,4929,4929
1538991604,4930,4930
1539000724,4929,4929
1539001687,4930,4930
1539009604,4929,4929
1539011528,4930,4930
1539023044,4929,4929
1539023528,4929,4929
1539024005,4930,4930
1539029527,4929,4929
1539030004,4930,4930
1539039128,4929,4929
1539041050,4930,4930
1539047286,4921,4921
1539047769,4924,4924
1539048248,4925,4925
1539048727,4922,4922
1539049206,4926,4926
1539049689,4924,4924
1539050165,4922,4922
1539050649,4924,4924
1539051124,4922,4922
1539051610,4923,4923
1539052087,4924,4924
1539052565,4924,4924
1539053046,4922,4922
1539053525,4925,4925
1539054012,4923,4923
1539054486,4925,4925
1539054969,4925,4925
1539055445,4923,4923
1539055925,4921,4921
1539056409,4920,4920
1539056889,4926,4926
1539057365,4919,4919
1539057849,4921,4921
1539058329,4927,4927
1539058805,4924,4924
1539059290,4927,4927
1539059765,4928,4928
1539060251,4925,4925
1539060729,4925,4925
1539061225,4927,4927
1539061685,4930,4930
1539062173,4930,4930
1539062645,4929,4929
1539063124,4928,4928
1539063609,4928,4928
1539064088,4929,4929
1539064565,4928,4928
1539065289,4927,4927
1539065771,4926,4926
1539066250,4925,4925
1539066727,4925,4925
1539067205,4923,4923
1539067685,4925,4925
1539068167,4929,4929
1539068649,4925,4925
1539069126,4929,4929
1539069604,4927,4927
1539070090,4928,4928
1539070566,4924,4924
1539071045,4926,4926
1539071768,4926,4926
1539072260,4924,4924
1539072726,4918,4918
1539073212,4921,4921
1539073688,4922,4922
1539074171,4923,4923
1539081848,4922,4922
1539082324,4923,4923
1539090971,4922,4922
1539092170,4923,4923
1539094087,4922,4922
1539094569,4923,4923
1539098168,4922,4922
1539099127,4923,4923
1539108724,4922,4922
1539109684,4923,4923
1539116166,4922,4922
1539116644,4923,4923
1539124568,4922,4922
1539126010,4923,4923
1539132250,4922,4922
1539133686,4916,4916
1539134166,4920,4920
1539134644,4918,4918
1539135128,4917,4917
1539135606,4918,4918
1539136086,4920,4920
1539136564,4918,4918
1539137046,4918,4918
1539137525,4917,4917
1539138007,4919,4919
1539138484,4920,4920
1539138966,4918,4918
1539139448,4916,4916
1539139930,4919,4919
1539140411,4920,4920
1539140885,4920,4920
1539141369,4919,4919
1539141849,4919,4919
1539142326,4915,4915
1539142805,4918,4918
1539143289,4920,4920
1539143767,4914,4914
1539144245,4917,4917
1539144728,4920,4920
1539145213,4915,4915
1539145687,4916,4916
1539146165,4918,4918
1539146645,4920,4920
1539147130,4921,4921
1539147620,4922,4922
1539148086,4920,4920
1539148569,4923,4923
1539149046,4922,4922
1539149527,4920,4920
1539150008,4919,4919
1539150485,4922,4922
1539150967,4922,4922
1539151451,4921,4921
1539151925,4921,4921
1539152404,4919,4919
1539152892,4919,4919
1539153367,4919,4919
1539153846,4922,4922
1539154329,4921,4921
1539154820,4922,4922
1539155286,4921,4921
1539155770,4919,4919
1539156244,4919,4919
1539156729,4923,4923
1539157206,4922,4922
1539157688,4922,4922
1539158168,4919,4919
1539158647,4924,4924
1539159126,4924,4924
1539159618,4926,4926
1539160084,4928,4928
1539160565,4930,4930
1539162486,4929,4929
1539162970,4930,4930
1539166334,4929,4929
1539166807,4930,4930
1539170167,4929,4929
1539170649,4930,4930
1539177365,4929,4929
1539177848,4930,4930
1539192489,4929,4929
1539193445,4930,4930
1539199210,4929,4929
1539199684,4930,4930
1539205284,4929,4929
1539206406,4928,4928
1539206888,4930,4930
1539211205,4929,4929
1539213129,4930,4930
1539216965,4929,4929
1539218405,4930,4930
1539220085,4920,4920
1539220569,4924,4924
1539221044,4923,4923
1539221530,4922,4922
1539222005,4919,4919
1539222485,4924,4924
1539222964,4923,4923
1539223452,4923,4923
1539223925,4921,4921
1539224405,4920,4920
1539224889,4921,4921
1539225365,4921,4921
1539225847,4921,4921
1539226329,4922,4922
1539226812,4920,4920
1539227287,4920,4920
1539227766,4922,4922
1539228244,4924,4924
1539228728,4923,4923
1539229209,4924,4924
1539229685,4919,4919
1539230165,4922,4922
1539230645,4924,4924
1539231127,4926,4926
1539231604,4927,4927
1539232088,4922,4922
1539232564,4925,4925
1539233047,4924,4924
1539233524,4924,4924
1539234016,4925,4925
1539234485,4922,4922
1539234969,4922,4922
1539235448,4923,4923
1539235928,4921,4921
1539236406,4925,4925
1539236888,4920,4920
1539237365,4922,4922
1539237849,4927,4927
1539238327,4927,4927
1539238807,4926,4926
1539239289,4925,4925
1539239768,4927,4927
1539240248,4924,4924
1539240728,4922,4922
1539241208,4923,4923
1539241690,4920,4920
1539242168,4923,4923
1539242645,4921,4921
1539243128,4922,4922
1539243606,4923,4923
1539244085,4921,4921
1539244570,4923,4923
1539245045,4922,4922
1539245527,4921,4921
1539246013,4925,4925
1539246490,4926,4926
1539246964,4927,4927
1539253205,4926,4926
