DateTime,AddedIPs,RemovedIPs
1538860923,24,36
1538861524,25,0
1538862124,22,26
1538863323,26,18
1538863924,25,27
1538864524,16,27
1538865723,18,21
1538866923,16,21
1538868124,12,38
1538868723,17,18
1538869323,29,22
1538870526,14,45
1538871125,22,0
1538871724,22,15
1538872323,30,0
1538872923,22,0
1538873523,19,27
1538874123,23,0
1538874724,20,19
1538875324,14,29
1538875924,10,0
1538876523,6,35
1538877123,13,0
1538877723,16,57
1538878324,22,26
1538878925,10,27
1538880123,19,19
1538880724,18,0
1538881323,24,0
1538881925,16,23
1538882523,18,21
1538883723,15,56
1538884924,22,20
1538885524,21,24
1538886124,22,0
1538886723,16,23
1538887324,18,32
1538887923,15,33
1538888524,14,22
1538889723,16,26
1538890923,16,39
1538891523,19,25
1538892124,15,34
1538892724,15,0
1538893323,18,21
1538893924,17,16
1538894523,11,15
1538895124,17,39
1538895724,27,0
1538896324,15,26
1538896923,19,23
1538897524,11,24
1538898124,15,28
1538899325,13,77
1538899924,12,0
1538900523,15,25
1538901724,13,24
1538902323,18,18
1538902923,20,0
1538904123,32,69
1538904724,22,0
1538905324,14,44
1538906525,16,31
1538907123,19,15
1538907723,17,22
1538908323,17,0
1538908923,9,29
1538910123,14,24
1538911323,11,26
1538911923,23,57
1538912523,27,0
1538913724,15,66
1538914325,30,37
1538914924,40,27
1538915523,24,0
1538916123,14,33
1538916723,18,0
1538917324,17,14
1538918525,10,20
1538919123,13,12
1538919723,16,14
1538920924,9,16
1538921523,31,30
1538922124,11,42
1538923324,13,16
1538923924,16,12
1538924524,20,26
1538925723,16,41
1538926324,23,27
1538926923,13,0
1538928123,14,30
1538928723,16,30
1538929323,7,25
1538930523,9,26
1538931124,23,48
1538931724,15,20
1538932924,9,60
1538934125,20,0
1538935323,20,67
1538936523,24,36
1538937723,16,48
1538938323,10,0
1538938924,18,0
1538939524,26,44
1538940123,49,16
1538940723,21,0
1538941323,37,37
1538941923,23,28
1538942523,15,0
1538943723,27,91
1538944923,20,85
1538946124,16,62
1538947323,16,63
1538947924,18,0
1538948523,21,0
1538949723,12,42
1538950924,25,32
1538951523,24,0
1538952124,6,29
1538952723,19,22
1538953325,21,0
1538953925,32,21
1538954523,28,22
1538955123,22,26
1538955724,19,19
1538956324,33,0
1538956924,34,0
1538957523,29,26
1538958123,21,11
1538959323,20,52
1538959923,13,0
1538960523,22,29
1538961123,10,37
1538961724,22,26
1538962323,31,0
1538962923,14,0
1538964124,53,79
1538965324,30,17
1538966524,24,61
1538967123,27,54
1538967724,24,31
1538968323,27,0
1538968924,30,39
1538969523,16,38
1538970124,17,0
1538970724,11,62
1538971323,11,0
1538972525,17,76
1538973723,44,35
1538974324,20,32
1538974923,11,29
1538975525,16,16
1538976125,18,32
1538977323,15,21
1538977923,47,37
1538978523,30,0
1538979723,17,39
1538980924,11,74
1538981524,14,43
1538982125,36,0
1538983323,33,86
1538984523,13,30
1538985123,27,0
1538985723,37,20
1538986924,22,52
1538988123,33,74
1538988723,24,33
1538989324,39,0
1538989924,20,37
1538990523,28,60
1538991124,29,0
1538991723,12,19
1538992323,8,0
1538992925,38,30
1538994123,35,0
1538994723,33,32
1538995324,21,68
1538996524,17,0
1538997123,38,29
1538997724,35,18
1538998923,45,27
1538999524,26,30
1539000124,39,46
1539001323,11,75
1539001923,23,0
1539002523,17,21
1539003724,14,32
1539004324,27,13
1539004923,40,29
1539005523,40,0
1539006124,16,59
1539007324,15,0
1539008523,27,72
1539009724,19,39
1539010924,28,16
1539012124,52,36
1539013323,22,37
1539014524,17,22
1539015123,19,23
1539015725,12,26
1539016923,16,54
1539017523,19,0
1539018124,12,47
1539019323,19,0
1539020524,30,32
1539021123,17,19
1539021723,27,0
1539022323,9,20
1539022923,14,15
1539024124,29,33
1539024725,31,13
1539025324,29,40
1539025924,17,18
1539026524,15,24
1539027723,20,17
1539028923,2,35
1539030124,13,32
1539031323,13,47
1539033124,25,56
1539033723,22,0
1539034923,11,16
1539035523,26,38
1539036124,21,25
1539037324,17,14
1539037923,19,0
1539038523,18,27
1539039123,17,0
1539039723,28,0
1539040325,15,10
1539040924,28,56
1539042123,14,25
1539042723,24,26
1539043325,27,0
1539044523,13,42
1539045124,16,0
1539045724,31,0
1539046323,19,37
1539046923,25,0
1539048123,15,90
1539048723,20,0
1539049324,26,22
1539049923,14,0
1539050523,34,12
1539051123,27,0
1539051724,24,15
1539052323,28,19
1539052923,27,0
1539053523,38,19
1539054123,37,0
1539054724,41,27
1539055324,38,31
1539056523,14,43
1539057123,37,0
1539057724,36,29
1539058324,19,0
1539058924,35,0
1539059523,29,49
1539060123,14,0
1539060723,20,68
1539061324,26,13
1539061924,15,0
1539062523,23,22
1539063723,17,0
1539064323,18,22
1539064924,14,16
1539065524,18,13
1539066123,33,21
1539067323,18,0
1539068523,26,87
1539069723,18,28
1539070323,21,33
1539070922,19,0
1539071523,17,31
1539072123,15,16
1539073324,33,65
1539073924,37,47
1539074523,35,0
1539075725,18,43
1539076323,23,32
1539076924,27,23
1539077523,38,12
1539078125,24,37
1539078724,33,0
1539079324,21,52
1539080524,38,23
1539081724,22,62
1539082924,32,0
1539084123,29,60
1539085324,31,15
1539085923,10,48
1539086523,28,0
1539087723,10,62
1539088923,29,67
1539089524,13,0
1539090124,18,31
1539090723,19,57
1539091325,39,25
1539091923,9,0
1539092523,19,0
1539093723,24,41
1539094324,20,10
1539094923,28,0
1539096123,15,57
1539096723,24,0
1539097325,27,0
1539097925,10,28
1539098524,24,22
1539099724,20,21
1539100326,22,28
1539100925,31,0
1539101523,17,25
1539102124,19,27
1539103324,23,88
1539104524,6,35
1539105123,13,22
1539105723,25,21
1539106923,26,35
1539107523,27,28
1539108123,18,0
1539109324,12,64
1539109924,19,25
1539110524,25,0
1539111724,25,42
1539112324,21,58
1539112924,32,38
1539113523,31,0
1539114123,13,53
1539114723,23,7
1539115326,45,0
1539115924,21,42
1539116524,14,15
1539117725,29,71
1539118925,24,19
1539120123,17,64
1539121324,28,32
1539122524,30,28
1539123724,27,45
1539124326,33,19
1539124923,9,0
1539126123,21,19
1539126724,13,16
1539127324,25,42
1539127924,20,16
1539128524,30,13
1539129123,22,0
1539129725,24,32
1539130923,21,0
1539131524,26,9
1539132125,25,19
1539133323,7,0
1539134524,25,37
1539135723,27,25
1539136924,15,29
1539138124,28,61
1539138724,31,17
1539139323,17,23
1539139923,11,0
1539140524,22,0
1539141124,20,16
1539141723,25,9
1539142923,24,0
1539144124,23,48
1539145324,23,43
1539146523,21,0
1539147723,20,41
1539148325,31,59
1539148925,6,18
1539150123,16,7
1539150723,34,40
1539151324,12,7
1539151923,15,0
1539152523,17,0
1539153124,15,54
1539153724,21,22
1539154323,22,17
1539154923,16,0
1539155524,15,80
1539156123,26,0
1539156724,18,24
1539157324,24,0
1539157923,40,52
1539158524,28,0
1539159723,17,21
1539160923,19,59
1539162123,24,0
1539162724,38,38
1539163323,29,0
1539163923,16,24
1539164523,12,27
1539165724,19,36
1539166923,13,28
1539167524,33,26
1539168124,33,0
1539169324,13,53
1539169923,23,26
1539170524,17,15
1539171123,26,18
1539171724,29,0
1539172324,17,20
1539172923,21,16
1539174124,8,18
1539174723,15,14
1539175323,6,0
1539176524,10,40
1539177125,5,27
1539177723,10,22
1539178324,17,0
1539178923,25,18
1539179524,23,0
1539180125,12,12
1539181323,7,31
1539181923,17,0
1539182523,24,19
1539183123,22,19
1539183724,18,0
1539184923,28,24
1539185525,9,0
1539186125,12,10
1539186724,16,29
1539187324,14,0
1539188523,19,93
1539189124,20,0
1539189724,10,0
1539190323,23,24
1539190923,19,15
1539192123,9,50
1539193324,27,32
1539194524,28,22
1539195124,13,41
1539195724,17,0
1539196323,22,52
1539196924,46,0
1539197524,22,22
1539198124,26,0
1539199323,18,30
1539200524,18,35
1539201724,10,0
1539202325,15,15
1539202924,21,19
1539204123,25,12
1539204724,18,19
1539205324,12,0
1539206523,14,45
1539207123,24,36
1539207724,22,39
1539208923,34,27
1539210124,20,50
1539210724,24,23
1539211324,19,15
1539212524,13,26
1539213724,19,38
1539214924,23,17
1539215524,31,33
1539216125,27,58
1539216724,34,0
1539217324,26,9
1539218523,29,22
1539219124,34,53
1539219724,21,41
1539220324,29,22
1539220923,31,0
1539222123,23,48
1539223324,28,31
1539223924,30,25
1539224524,35,39
1539225723,39,75
1539226923,24,0
1539228123,22,30
1539228725,27,24
1539229323,33,0
1539229923,38,29
1539230524,35,31
1539231723,21,41
1539232923,23,63
1539234124,29,21
1539234724,19,20
1539235323,17,58
1539235924,38,0
1539236524,28,34
1539237124,14,0
1539237724,24,24
1539238925,18,51
1539239524,30,44
1539240123,21,44
1539241324,27,20
1539241923,21,25
1539242523,27,0
1539243123,36,20
1539243723,17,23
1539244924,21,41
1539245524,23,34
1539246123,31,34
1539247323,24,72
1539247923,29,31
1539248523,22,14
1539249124,32,0
1539249724,35,28
1539250924,21,22
1539252124,21,20
1539253324,35,52
