DateTime,AddedIPs,RemovedIPs
1538860923,80,80
1538861524,80,80
1538862124,80,80
1538863323,80,80
1538863924,80,80
1538864524,80,80
1538865723,80,80
1538866923,80,80
1538868124,80,80
1538868723,67,67
1538869323,80,80
1538870526,80,80
1538871125,79,79
1538871724,80,80
1538872323,80,80
1538872923,80,80
1538873523,80,80
1538874123,80,80
1538874724,80,80
1538875324,80,80
1538875924,80,80
1538876523,80,80
1538877123,80,80
1538877723,80,80
1538878324,80,80
1538878925,80,80
1538880123,80,80
1538880724,80,80
1538881323,80,80
1538881925,80,80
1538882523,80,80
1538883723,80,80
1538884924,79,79
1538885524,80,80
1538886124,80,80
1538886723,80,80
1538887324,80,80
1538887923,80,80
1538888524,80,80
1538889723,80,80
1538890923,80,80
1538891523,80,80
1538892124,80,80
1538892724,79,79
1538893323,79,79
1538893924,79,79
1538894523,80,80
1538895124,80,80
1538895724,80,80
1538896324,80,80
1538896923,80,80
1538897524,80,80
1538898124,80,80
1538899325,80,80
1538899924,80,80
1538900523,80,80
1538901724,80,80
1538902323,80,80
1538902923,80,80
1538904123,80,80
1538904724,80,80
1538905324,79,79
1538906525,80,80
1538907123,80,80
1538907723,79,79
1538908323,80,80
1538908923,80,80
1538910123,80,80
1538911323,80,80
1538911923,80,80
1538912523,80,80
1538913724,80,80
1538914325,80,80
1538914924,79,79
1538915523,80,80
1538916123,79,79
1538916723,79,79
1538917324,80,80
1538918525,80,80
1538919123,80,80
1538919723,79,79
1538920924,80,80
1538921523,80,80
1538922124,80,80
1538923324,80,80
1538923924,79,79
1538924524,80,80
1538925723,80,80
1538926324,79,79
1538926923,79,79
1538928123,80,80
1538928723,80,80
1538929323,80,80
1538930523,80,80
1538931124,80,80
1538931724,80,80
1538932924,80,80
1538934125,80,80
1538935323,80,80
1538936523,80,80
1538937723,80,80
1538938323,80,80
1538938924,80,80
1538939524,80,80
1538940123,80,80
1538940723,80,80
1538941323,80,80
1538941923,80,80
1538942523,80,80
1538943723,80,80
1538944923,80,80
1538946124,80,80
1538947323,80,80
1538947924,80,80
1538948523,80,80
1538949723,80,80
1538950924,80,80
1538951523,80,80
1538952124,80,80
1538952723,80,80
1538953325,79,79
1538953925,80,80
1538954523,80,80
1538955123,80,80
1538955724,80,80
1538956324,80,80
1538956924,80,80
1538957523,80,80
1538958123,80,80
1538959323,80,80
1538959923,80,80
1538960523,77,77
1538961123,80,80
1538961724,80,80
1538962323,80,80
1538962923,80,80
1538964124,80,80
1538965324,80,80
1538966524,80,80
1538967123,80,80
1538967724,80,80
1538968323,80,80
1538968924,80,80
1538969523,80,80
1538970124,80,80
1538970724,80,80
1538971323,79,79
1538972525,80,80
1538973723,80,80
1538974324,79,79
1538974923,80,80
1538975525,80,80
1538976125,80,80
1538977323,80,80
1538977923,80,80
1538978523,80,80
1538979723,80,80
1538980924,80,80
1538981524,79,79
1538982125,80,80
1538983323,80,80
1538984523,80,80
1538985123,80,80
1538985723,80,80
1538986924,80,80
1538988123,80,80
1538988723,80,80
1538989324,80,80
1538989924,80,80
1538990523,80,80
1538991124,80,80
1538991723,80,80
1538992323,80,80
1538992925,80,80
1538994123,80,80
1538994723,80,80
1538995324,80,80
1538996524,80,80
1538997123,80,80
1538997724,80,80
1538998923,80,80
1538999524,80,80
1539000124,80,80
1539001323,79,79
1539001923,80,80
1539002523,80,80
1539003724,80,80
1539004324,80,80
1539004923,79,79
1539005523,79,79
1539006124,80,80
1539007324,80,80
1539008523,80,80
1539009724,80,80
1539010924,80,80
1539012124,80,80
1539013323,80,80
1539014524,80,80
1539015123,79,79
1539015725,80,80
1539016923,80,80
1539017523,80,80
1539018124,80,80
1539019323,80,80
1539020524,80,80
1539021123,80,80
1539021723,80,80
1539022323,80,80
1539022923,80,80
1539024124,80,80
1539024725,80,80
1539025324,80,80
1539025924,80,80
1539026524,80,80
1539027723,80,80
1539028923,80,80
1539030124,80,80
1539031323,80,80
1539033124,80,80
1539033723,80,80
1539034923,80,80
1539035523,80,80
1539036124,80,80
1539037324,80,80
1539037923,80,80
1539038523,80,80
1539039123,80,80
1539039723,80,80
1539040325,80,80
1539040924,79,79
1539042123,80,80
1539042723,80,80
1539043325,80,80
1539044523,80,80
1539045124,79,79
1539045724,80,80
1539046323,80,80
1539046923,80,80
1539048123,80,80
1539048723,80,80
1539049324,80,80
1539049923,80,80
1539050523,80,80
1539051123,80,80
1539051724,80,80
1539052323,80,80
1539052923,80,80
1539053523,80,80
1539054123,80,80
1539054724,80,80
1539055324,80,80
1539056523,80,80
1539057123,80,80
1539057724,80,80
1539058324,80,80
1539058924,80,80
1539059523,80,80
1539060123,80,80
1539060723,80,80
1539061324,80,80
1539061924,80,80
1539062523,80,80
1539063723,80,80
1539064323,80,80
1539064924,80,80
1539065524,80,80
1539066123,80,80
1539067323,80,80
1539068523,80,80
1539069723,80,80
1539070323,80,80
1539070922,80,80
1539071523,80,80
1539072123,80,80
1539073324,80,80
1539073924,80,80
1539074523,80,80
1539075725,80,80
1539076323,80,80
1539076924,79,79
1539077523,79,79
1539078125,80,80
1539078724,80,80
1539079324,80,80
1539080524,79,79
1539081724,80,80
1539082924,80,80
1539084123,80,80
1539085324,80,80
1539085923,80,80
1539086523,80,80
1539087723,80,80
1539088923,80,80
1539089524,80,80
1539090124,80,80
1539090723,80,80
1539091325,80,80
1539091923,80,80
1539092523,80,80
1539093723,80,80
1539094324,80,80
1539094923,79,79
1539096123,80,80
1539096723,80,80
1539097325,80,80
1539097925,80,80
1539098524,80,80
1539099724,80,80
1539100326,80,80
1539100925,80,80
1539101523,80,80
1539102124,80,80
1539103324,80,80
1539104524,80,80
1539105123,80,80
1539105723,78,78
1539106923,80,80
1539107523,80,80
1539108123,80,80
1539109324,80,80
1539109924,80,80
1539110524,80,80
1539111724,80,80
1539112324,79,79
1539112924,80,80
1539113523,80,80
1539114123,80,80
1539114723,80,80
1539115326,80,80
1539115924,80,80
1539116524,80,80
1539117725,80,80
1539118925,80,80
1539120123,80,80
1539121324,80,80
1539122524,80,80
1539123724,80,80
1539124326,80,80
1539124923,80,80
1539126123,80,80
1539126724,80,80
1539127324,80,80
1539127924,79,79
1539128524,80,80
1539129123,80,80
1539129725,79,79
1539130923,80,80
1539131524,80,80
1539132125,77,77
1539133323,79,79
1539134524,80,80
1539135723,80,80
1539136924,80,80
1539138124,80,80
1539138724,80,80
1539139323,80,80
1539139923,80,80
1539140524,80,80
1539141124,80,80
1539141723,80,80
1539142923,79,79
1539144124,80,80
1539145324,80,80
1539146523,80,80
1539147723,80,80
1539148325,80,80
1539148925,80,80
1539150123,80,80
1539150723,80,80
1539151324,80,80
1539151923,80,80
1539152523,80,80
1539153124,80,80
1539153724,80,80
1539154323,80,80
1539154923,80,80
1539155524,80,80
1539156123,80,80
1539156724,80,80
1539157324,80,80
1539157923,80,80
1539158524,80,80
1539159723,80,80
1539160923,80,80
1539162123,80,80
1539162724,80,80
1539163323,80,80
1539163923,80,80
1539164523,80,80
1539165724,80,80
1539166923,80,80
1539167524,80,80
1539168124,78,78
1539169324,80,80
1539169923,80,80
1539170524,80,80
1539171123,79,79
1539171724,80,80
1539172324,80,80
1539172923,80,80
1539174124,80,80
1539174723,80,80
1539175323,80,80
1539176524,80,80
1539177125,80,80
1539177723,80,80
1539178324,80,80
1539178923,79,79
1539179524,79,79
1539180125,79,79
1539181323,80,80
1539181923,80,80
1539182523,80,80
1539183123,80,80
1539183724,79,79
1539184923,80,80
1539185525,80,80
1539186125,80,80
1539186724,80,80
1539187324,80,80
1539188523,80,80
1539189124,80,80
1539189724,80,80
1539190323,80,80
1539190923,80,80
1539192123,80,80
1539193324,80,80
1539194524,80,80
1539195124,80,80
1539195724,80,80
1539196323,80,80
1539196924,80,80
1539197524,80,80
1539198124,80,80
1539199323,80,80
1539200524,80,80
1539201724,80,80
1539202325,80,80
1539202924,80,80
1539204123,80,80
1539204724,80,80
1539205324,80,80
1539206523,80,80
1539207123,80,80
1539207724,80,80
1539208923,80,80
1539210124,80,80
1539210724,80,80
1539211324,80,80
1539212524,80,80
1539213724,80,80
1539214924,80,80
1539215524,80,80
1539216125,80,80
1539216724,80,80
1539217324,80,80
1539218523,80,80
1539219124,79,79
1539219724,80,80
1539220324,79,79
1539220923,80,80
1539222123,79,79
1539223324,80,80
1539223924,80,80
1539224524,80,80
1539225723,80,80
1539226923,80,80
1539228123,80,80
1539228725,80,80
1539229323,80,80
1539229923,80,80
1539230524,80,80
1539231723,80,80
1539232923,80,80
1539234124,80,80
1539234724,80,80
1539235323,80,80
1539235924,80,80
1539236524,80,80
1539237124,80,80
1539237724,80,80
1539238925,80,80
1539239524,80,80
1539240123,80,80
1539241324,80,80
1539241923,80,80
1539242523,80,80
1539243123,80,80
1539243723,80,80
1539244924,80,80
1539245524,80,80
1539246123,80,80
1539247323,80,80
1539247923,80,80
1539248523,80,80
1539249124,80,80
1539249724,80,80
1539250924,80,80
1539252124,80,80
